year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2013,1750486000,304412000,342921000,24572307000,14176453000,8285733000,484989000,-82610000,0.65
2014,1760787000,319808000,636183000,25818223000,15183599000,9336977000,704531000,-78610000,1.25
2015,2197074000,380172000,869439000,31394767000,18420836000,11626831000,963410000,-83351000,1.66
2016,2533135000,668378000,1209932000,30249932000,18458140000,10573271000,1417005000,-101677000,2.29
2017,2618134000,1954031000,1652325000,29481075000,18705741000,9095239000,1687246000,-110635000,3.1
2018,2804449000,1687998000,1649361000,38417664000,25800888000,11039315000,1803559000,-915698000,2.91
2019,3330621000,1849766000,1572959000,40031850000,26071784000,11721622000,2264034000,-322303000,2.41
2020,4438735000,2118944000,1481814000,56065005000,36324580000,16677282000,2937005000,-1248294000,1.97
2021,4759440000,3206996000,2939723000,58486220000,37742210000,17223661000,2996042000,-498992000,3.86
2022,5973692000,3467538000,3364856000,87897448000,57863093000,22337500000,4126430000,-550592000,4.15
2023,8023469000,3707792000,3059214000,93020840000,57823720000,28021188000,5373058000,0,3.3
2024,8201610000,4415920000,3731635000,95328909000,58616770000,30654297000,4912209000,0,4.03
