year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2013,597003300000,210068900000,183977600000,1262800700000,834113000000,210807600000,347383537000,-290345134000,35.5
2014,762835000000,295870300000,254301400000,1494853000000,1022360700000,213713800000,421523731000,-292399514000,49.05
2015,843512500000,320047800000,302850900000,1657397400000,1194970100000,191997600000,529879438000,-261800705000,58.4
2016,947909200000,377957800000,331713700000,1886296700000,1359845800000,153115400000,539834592000,-333093675000,63.95
2017,977442600000,385559200000,344998300000,1991732000000,1494446500000,91800000000,585318167000,-335888470000,66.5
2018,1031361800000,383623500000,363052700000,2090031200000,1661105100000,56900000000,573954308000,-322682187000,70
2019,1069985400000,372701100000,353948000000,2264725000000,1614387300000,25100000000,615138744000,-469752019000,68.25
2020,1339254800000,566783700000,510744000000,2760600500000,1835763800000,256072700000,822666212000,-521474525000,98.5
2021,1587415000000,649980900000,592359200000,3725302200000,2151682500000,613379700000,1112160722000,-849436459000,114.2
2022,2263891300000,1121278900000,992923400000,4964459100000,2917832400000,839096400000,1610599188000,-1089626456000,191.45
2023,2161736000000,921466000000,851740000000,5532196600000,3453866500000,918282800000,1241967300000,-955398400000,164.25
2024,2894308000000,1322053000000,1158380200000,6691764700000,4279271600000,958428900000,1826177000000,-956007000000,223.4
