year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2013,12205000000,2832000000,2125000000,18938000000,10807000000,4158000000,3384000000,-412000000,1.94
2014,13045000000,3947000000,2821000000,17722000000,10390000000,3641000000,3892000000,-385000000,2.61
2015,13000000000,4274000000,2986000000,16230000000,9946000000,3120000000,4268000000,-551000000,2.86
2016,13370000000,4855000000,3595000000,16431000000,10473000000,2978000000,4614000000,-531000000,3.54
2017,14961000000,6083000000,3682000000,17642000000,10337000000,3577000000,5363000000,-695000000,3.68
2018,15784000000,6713000000,5580000000,17137000000,8994000000,4319000000,7189000000,-1131000000,5.71
2019,14383000000,5723000000,5017000000,18018000000,8907000000,5303000000,6649000000,-847000000,5.33
2020,14461000000,5894000000,5595000000,19351000000,9187000000,6248000000,6139000000,-649000000,6.05
2021,18344000000,8960000000,7769000000,24676000000,13333000000,7241000000,8756000000,-2462000000,8.38
2022,20028000000,10140000000,8749000000,27207000000,14577000000,8579000000,8720000000,-2797000000,9.51
2023,17519000000,7331000000,6510000000,32348000000,16897000000,11102000000,6420000000,-5071000000,7.13
2024,15641000000,5465000000,4799000000,35509000000,16903000000,13509000000,6318000000,-4820000000,5.24
