year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2013,122489000000,9623000000,5625000000,81882000000,33324000000,14891000000,6991000000,-1161000000,5.59
2014,130474000000,10274000000,5619000000,86382000000,33842000000,16007000000,8051000000,-1447000000,5.78
2015,157107000000,11021000000,5813000000,111383000000,35461000000,25331000000,9740000000,-1556000000,6.1
2016,184840000000,12930000000,7017000000,122679000000,40409000000,25777000000,9795000000,-1705000000,7.37
2017,201159000000,15209000000,10558000000,139057000000,52022000000,28835000000,13596000000,-2023000000,10.95
2018,226247000000,17344000000,11986000000,152221000000,56227000000,34581000000,15713000000,-2063000000,12.45
2019,242155000000,19685000000,13839000000,173889000000,62162000000,36808000000,18463000000,-2071000000,14.55
2020,257141000000,22405000000,15403000000,197289000000,70539000000,38648000000,22174000000,-2051000000,16.28
2021,287597000000,23970000000,17285000000,212206000000,76479000000,42383000000,22343000000,-2454000000,18.33
2022,324162000000,28435000000,20120000000,245705000000,86347000000,54513000000,26206000000,-2802000000,21.54
2023,371622000000,32358000000,22381000000,273720000000,98919000000,58263000000,29068000000,-3386000000,24.12
2024,400278000000,32287000000,14405000000,298278000000,102591000000,72359000000,24204000000,-3499000000,15.64
