year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2013,11778000000,7239000000,4980000000,35956000000,26870000000,0,3022000000,-471000000,1.9
2014,12702000000,7697000000,5438000000,38569000000,27413000000,0,7205000000,-553000000,2.16
2015,13880000000,9064000000,6328000000,39367000000,29842000000,0,6584000000,-414000000,2.58
2016,15082000000,7883000000,5991000000,64035000000,32912000000,15882000000,5574000000,-523000000,2.49
2017,18358000000,12144000000,6699000000,67977000000,32760000000,16618000000,9208000000,-707000000,2.8
2018,20609000000,12954000000,10301000000,69225000000,34006000000,16630000000,12713000000,-718000000,4.43
2019,22977000000,15001000000,12080000000,72574000000,34684000000,16729000000,12784000000,-756000000,5.32
2020,21846000000,14081000000,10866000000,80919000000,36210000000,21071000000,10440000000,-736000000,4.9
2021,24105000000,15804000000,12311000000,82896000000,37589000000,19978000000,15227000000,-705000000,5.63
2022,29310000000,18813000000,14957000000,85501000000,35581000000,20200000000,18849000000,-970000000,7.01
2023,32653000000,21000000000,17273000000,90499000000,38733000000,20463000000,20755000000,-1059000000,8.29
2024,35926000000,23595000000,19743000000,94511000000,39137000000,20836000000,19950000000,-1257000000,9.74
