year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2013,120550000000,31690000000,11497000000,274098000000,95416000000,89658000000,38818000000,-17184000000,4.01
2014,127079000000,18892000000,9625000000,232616000000,13676000000,110536000000,30631000000,-17545000000,2.42
2015,131620000000,32806000000,17879000000,244175000000,17842000000,103240000000,39027000000,-17775000000,4.38
2016,125980000000,25910000000,13127000000,244180000000,24032000000,105433000000,21689000000,-17593000000,3.22
2017,126034000000,26519000000,30101000000,257143000000,44687000000,113642000000,24318000000,-17830000000,7.37
2018,130863000000,30007000000,15528000000,264829000000,54710000000,105873000000,34339000000,-18087000000,3.76
2019,131868000000,31029000000,19265000000,291727000000,62835000000,100712000000,35746000000,-18837000000,4.66
2020,128292000000,29867000000,17801000000,316481000000,69272000000,123173000000,41768000000,-20318000000,4.3
2021,133613000000,31965000000,22065000000,366596000000,83200000000,143425000000,39539000000,-20286000000,5.32
2022,136835000000,30467000000,21256000000,379680000000,92463000000,140676000000,37141000000,-26740000000,5.06
2023,133974000000,28831000000,11614000000,380255000000,93799000000,137701000000,37475000000,-18767000000,2.76
2024,134788000000,30604000000,17506000000,384711000000,100575000000,121381000000,36912000000,-17990000000,4.15
