year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2013,468651000000,27725000000,16999000000,203105000000,82257000000,38394000000,25591000000,-12898000000,1.68
2014,476294000000,26872000000,16022000000,204751000000,82830000000,41771000000,23257000000,-13115000000,1.63
2015,485651000000,27147000000,16363000000,203490000000,85937000000,40889000000,28564000000,-12174000000,1.69
2016,482130000000,24105000000,14694000000,199581000000,83611000000,38214000000,27552000000,-11477000000,1.53
2017,485873000000,22764000000,13643000000,198825000000,80535000000,36015000000,31530000000,-10619000000,1.47
2018,500343000000,20437000000,9862000000,204522000000,80822000000,30045000000,28337000000,-10051000000,1.1
2019,514405000000,21957000000,6670000000,219295000000,79634000000,43520000000,27753000000,-10344000000,0.76
2020,523964000000,20568000000,14881000000,236495000000,81552000000,43714000000,25255000000,-10705000000,1.74
2021,559151000000,22548000000,13510000000,252496000000,87531000000,41194000000,36074000000,-10264000000,1.63
2022,572754000000,25942000000,13673000000,244860000000,91891000000,34864000000,24181000000,-13106000000,1.63
2023,611289000000,20428000000,11680000000,243197000000,83991000000,34649000000,28841000000,-16857000000,1.43
2024,648125000000,27012000000,15511000000,252399000000,90571000000,36132000000,35726000000,-20606000000,1.92
