Date,Value
2013-06-01,0.3
2013-07-01,0.3
2013-08-01,0.3
2013-09-01,0.3
2013-10-01,0.3
2013-11-01,0.3
2013-12-01,0.3
2014-01-01,0.3
2014-02-01,0.3
2014-03-01,0.3
2014-04-01,0.3
2014-05-01,0.3
2014-06-01,0.3
2014-07-01,0.3
2014-08-01,0.3
2014-09-01,0.3
2014-10-01,0.3
2014-11-01,0.3
2014-12-01,0.3
2015-01-01,0.3
2015-02-01,0.3
2015-03-01,0.3
2015-04-01,0.3
2015-05-01,0.3
2015-06-01,0.3
2015-07-01,0.3
2015-08-01,0.3
2015-09-01,0.3
2015-10-01,0.3
2015-11-01,0.3
2015-12-01,0.3
2016-01-01,0.3
2016-02-01,0.3
2016-03-01,0.3
2016-04-01,0.3
2016-05-01,0.3
2016-06-01,0.3
2016-07-01,0.3
2016-08-01,0.3
2016-09-01,0.3
2016-10-01,0.3
2016-11-01,0.3
2016-12-01,0.3
2017-01-01,0.3
2017-02-01,0.3
2017-03-01,0.3
2017-04-01,0.3
