Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,6.63,6.69,6.43,6.49,6.49,5653809
1994-01-04,6.49,6.69,6.43,6.63,6.63,4354191
1994-01-05,6.69,6.88,6.66,6.77,6.77,12894161
1994-01-06,6.74,6.74,6.63,6.69,6.69,6276664
1994-01-07,6.66,6.77,6.66,6.69,6.69,3770097
1994-01-10,6.72,6.74,6.66,6.74,6.74,6853629
1994-01-11,6.72,6.77,6.69,6.77,6.77,4376467
1994-01-12,6.77,6.8,6.6,6.66,6.66,4109148
1994-01-13,6.63,6.66,6.55,6.58,6.58,4171077
1994-01-14,6.6,6.72,6.6,6.66,6.66,3525945
1994-01-17,6.69,6.74,6.66,6.69,6.69,3249715
1994-01-18,6.66,6.77,6.63,6.69,6.69,6266862
1994-01-19,6.72,6.74,6.49,6.55,6.55,7873008
1994-01-20,6.49,6.6,6.35,6.6,6.6,4977491
1994-01-21,6.6,6.6,6.46,6.46,6.46,5502774
1994-01-24,6.43,6.49,6.32,6.35,6.35,4186225
1994-01-25,6.35,6.46,6.32,6.38,6.38,7376684
1994-01-26,6.35,6.46,6.32,6.41,6.41,3702376
1994-01-27,6.38,6.55,6.32,6.52,6.52,5683215
1994-01-28,6.6,6.63,6.52,6.58,6.58,4664281
1994-01-31,6.58,6.74,6.55,6.63,6.63,7522373
1994-02-01,6.69,6.74,6.58,6.69,6.69,5986177
1994-02-02,6.69,6.8,6.69,6.77,6.77,6178201
1994-02-03,6.74,6.77,6.66,6.74,6.74,5729995
1994-02-04,6.72,6.77,6.46,6.52,6.52,5005114
1994-02-07,6.46,6.66,6.41,6.63,6.63,4784130
1994-02-08,6.6,6.63,6.52,6.58,6.58,5736678
1994-02-09,6.6,6.66,6.55,6.58,6.58,3574954
1994-02-10,6.55,6.58,6.41,6.41,6.41,4561363
1994-02-11,6.43,6.55,6.35,6.52,6.52,2912001
1994-02-14,6.55,6.72,6.55,6.66,6.66,4810862
1994-02-15,6.66,6.74,6.52,6.6,6.6,7891274
1994-02-16,6.6,6.66,6.46,6.46,6.46,5225207
1994-02-17,6.49,6.52,6.32,6.38,6.38,6584082
1994-02-18,6.38,6.43,6.35,6.35,6.35,4818436
1994-02-22,6.38,6.43,6.35,6.38,6.38,5028282
1994-02-23,6.35,6.43,6.29,6.32,6.32,5815092
1994-02-24,6.27,6.29,6.04,6.1,6.1,6507450
1994-02-25,6.13,6.24,6.1,6.18,6.18,3257735
1994-02-28,6.18,6.29,6.18,6.21,6.21,3518678
1994-03-01,6.24,6.29,6.15,6.27,6.27,4458000
1994-03-02,6.1,6.15,6.04,6.1,6.1,7726873
1994-03-03,6.1,6.1,5.87,6.01,6.01,6487846
1994-03-04,5.99,6.07,5.96,5.99,5.99,5254612
1994-03-07,6.04,6.18,6.04,6.15,6.15,4112266
1994-03-08,6.13,6.21,6.1,6.21,6.21,4276668
1994-03-09,6.15,6.35,6.13,6.32,6.32,4825564
1994-03-10,6.32,6.38,6.24,6.29,6.29,4630421
1994-03-11,6.24,6.38,6.24,6.32,6.32,3820442
1994-03-14,6.32,6.38,6.32,6.35,6.35,3999992
1994-03-15,6.35,6.43,6.32,6.41,6.41,5327234
1994-03-16,6.41,6.43,6.29,6.35,6.35,3426146
