Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,5.61,5.61,5.58,5.58,5.58,142256
1994-01-04,5.61,5.65,5.61,5.65,5.65,86569
1994-01-05,5.63,5.65,5.58,5.65,5.65,28350
1994-01-06,5.65,5.7,5.65,5.7,5.7,265275
1994-01-07,5.75,5.93,5.75,5.9,5.9,139219
1994-01-10,5.88,6.17,5.88,6.17,6.17,56194
1994-01-11,6.1,6.12,6.02,6.02,6.02,39994
1994-01-12,5.95,5.95,5.88,5.88,5.88,9619
1994-01-13,5.88,5.88,5.63,5.68,5.68,39994
1994-01-14,5.68,5.75,5.65,5.73,5.73,175669
1994-01-17,5.78,5.78,5.78,5.78,5.78,2531
1994-01-18,5.48,5.61,5.48,5.58,5.58,157444
1994-01-19,5.58,5.58,5.58,5.58,5.58,550800
1994-01-20,5.61,5.88,5.61,5.85,5.85,59231
1994-01-21,5.9,5.98,5.9,5.95,5.95,45563
1994-01-24,6,6.32,6,6.25,6.25,334125
1994-01-25,6.25,6.42,6.25,6.3,6.3,69356
1994-01-26,6.3,6.35,6.3,6.32,6.32,41006
1994-01-27,6.37,6.4,6.32,6.4,6.4,50625
1994-01-28,6.42,6.42,6.4,6.42,6.42,48600
1994-01-31,6.42,6.52,6.37,6.4,6.4,34425
1994-02-01,6.37,6.37,6.32,6.37,6.37,20756
1994-02-02,6.35,6.37,6.35,6.35,6.35,8606
1994-02-03,6.35,6.42,6.32,6.32,6.32,43031
1994-02-04,6.3,6.3,6.1,6.12,6.12,44044
1994-02-07,6.07,6.07,5.88,5.98,5.98,30881
1994-02-08,6.02,6.15,6.02,6.1,6.1,24806
1994-02-09,6.05,6.1,6.05,6.1,6.1,29363
1994-02-10,6.05,6.05,5.95,5.98,5.98,39994
1994-02-11,5.98,6.05,5.95,6,6,101756
1994-02-14,5.98,6.02,5.98,5.98,5.98,104288
1994-02-15,5.98,5.98,5.9,5.93,5.93,97200
1994-02-16,5.93,6.02,5.93,6.02,6.02,37969
1994-02-17,6.02,6.2,6.02,6.15,6.15,42525
1994-02-18,6.2,6.22,6.2,6.22,6.22,4556
1994-02-22,6.27,6.37,6.22,6.37,6.37,44550
1994-02-23,6.42,6.52,6.42,6.47,6.47,8606
1994-02-24,6.54,6.57,6.37,6.37,6.37,71381
1994-02-25,6.42,6.42,6.22,6.27,6.27,418669
1994-02-28,6.32,6.44,6.3,6.44,6.44,53663
1994-03-01,6.49,6.57,6.49,6.57,6.57,227813
1994-03-02,6.59,6.59,6.37,6.47,6.47,273375
1994-03-03,6.44,6.62,6.44,6.62,6.62,36956
1994-03-04,6.67,6.67,6.47,6.47,6.47,79988
1994-03-07,6.47,6.81,6.47,6.74,6.74,109350
1994-03-08,6.77,6.91,6.77,6.91,6.91,102263
1994-03-09,6.91,6.91,6.72,6.77,6.77,15694
1994-03-10,6.72,6.72,6.57,6.57,6.57,24300
1994-03-11,6.62,6.79,6.62,6.74,6.74,12150
1994-03-14,6.74,6.74,6.74,6.74,6.74,9619
1994-03-15,6.74,6.79,6.72,6.79,6.79,193894
1994-03-16,6.72,6.91,6.72,6.91,6.91,23288
1994-03-17,6.91,7.01,6.81,6.81,6.81,20756
1994-03-18,6.84,6.89,6.72,6.89,6.89,26831
1994-03-21,6.89,6.89,6.81,6.81,6.81,29363
1994-03-22,6.84,6.91,6.84,6.86,6.86,20250
1994-03-23,6.86,7.01,6.86,7.01,7.01,27338
1994-03-24,7.01,7.31,7.01,7.26,7.26,287550
1994-03-25,7.36,7.41,7.31,7.36,7.36,48600
1994-03-28,7.33,7.38,7.19,7.19,7.19,42019
1994-03-29,7.16,7.16,6.94,6.94,6.94,29869
1994-03-30,6.89,6.89,6.64,6.64,6.64,70369
1994-03-31,6.54,6.54,6.12,6.3,6.3,234900
1994-04-04,6.27,6.4,6.25,6.32,6.32,93656
1994-04-05,6.37,6.52,6.37,6.44,6.44,40500
1994-04-06,6.49,6.59,6.49,6.52,6.52,59738
1994-04-07,6.52,6.52,6.47,6.52,6.52,5569
1994-04-08,6.57,6.59,6.57,6.57,6.57,3544
1994-04-11,6.57,6.57,6.57,6.57,6.57,0
1994-04-12,6.62,6.62,6.52,6.52,6.52,5569
1994-04-13,6.47,6.47,6.47,6.47,6.47,5569
1994-04-14,6.42,6.42,6.42,6.42,6.42,6075
1994-04-15,6.44,6.44,6.37,6.37,6.37,6581
1994-04-18,6.32,6.32,6.32,6.32,6.32,5063
1994-04-19,6.35,6.42,6.35,6.42,6.42,24300
1994-04-20,6.37,6.4,6.35,6.37,6.37,7088
1994-04-21,6.35,6.42,6.35,6.42,6.42,55688
1994-04-22,6.42,6.52,6.42,6.52,6.52,41513
1994-04-25,6.54,6.54,6.54,6.54,6.54,2531
1994-04-26,6.54,6.67,6.54,6.67,6.67,33413
1994-04-28,6.69,6.69,6.52,6.52,6.52,316406
1994-04-29,6.54,6.54,6.54,6.54,6.54,11138
1994-05-02,6.59,6.62,6.59,6.62,6.62,89606
1994-05-03,6.62,6.64,6.62,6.64,6.64,1519
1994-05-04,6.67,6.67,6.62,6.62,6.62,164025
1994-05-05,6.62,6.62,6.59,6.59,6.59,1013
1994-05-06,6.57,6.59,6.57,6.59,6.59,4050
1994-05-09,6.57,6.59,6.57,6.59,6.59,1013
1994-05-10,6.59,6.72,6.57,6.57,6.57,84544
1994-05-11,6.52,6.52,6.4,6.4,6.4,12150
1994-05-12,6.35,6.35,6.32,6.32,6.32,12150
1994-05-13,6.3,6.32,6.3,6.32,6.32,144281
1994-05-16,6.25,6.27,6.2,6.25,6.25,172125
1994-05-17,6.22,6.25,6.2,6.25,6.25,39488
1994-05-18,6.25,6.25,6.2,6.25,6.25,5063
1994-05-19,6.25,6.25,6.17,6.17,6.17,113400
1994-05-20,6.22,6.22,6.17,6.2,6.2,29363
1994-05-23,6.15,6.22,6.15,6.22,6.22,29363
1994-05-24,6.22,6.27,6.22,6.27,6.27,131625
1994-05-25,6.27,6.35,6.27,6.27,6.27,41513
1994-05-26,6.27,6.27,6.25,6.25,6.25,6075
