Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,8.83,8.98,8.72,8.72,8.72,6504480
1994-01-04,8.72,8.95,8.72,8.91,8.91,4638733
1994-01-05,8.95,9.02,8.76,8.8,8.8,5371983
1994-01-06,8.72,8.8,8.43,8.61,8.61,16136920
1994-01-07,8.69,8.72,8.43,8.58,8.58,15631257
1994-01-10,8.61,8.76,8.54,8.69,8.69,15812628
1994-01-11,8.69,9.28,8.65,9.06,9.06,20302226
1994-01-12,9.06,9.2,8.95,9.02,9.02,15359008
1994-01-13,8.95,9.31,8.95,9.2,9.2,8460329
1994-01-14,9.24,9.57,9.24,9.46,9.46,7261420
1994-01-17,9.46,9.46,9.24,9.24,9.24,3284475
1994-01-18,9.2,9.24,8.98,9.06,9.06,6024450
1994-01-19,8.98,9.06,8.76,8.87,8.87,7883982
1994-01-20,8.83,9.06,8.8,9.06,9.06,7375602
1994-01-21,9.06,9.09,8.95,9.09,9.09,5954154
1994-01-24,9.06,9.28,8.95,9.28,9.28,4296576
1994-01-25,9.5,9.72,9.46,9.64,9.64,27493350
1994-01-26,9.57,9.61,9.35,9.46,9.46,11323807
1994-01-27,9.42,9.46,9.35,9.42,9.42,4481442
1994-01-28,9.5,9.68,9.5,9.61,9.61,9654577
1994-01-31,9.68,9.76,9.61,9.61,9.61,7523572
1994-02-01,9.53,9.72,9.5,9.61,9.61,4378911
1994-02-02,9.57,9.72,9.53,9.64,9.64,5009630
1994-02-03,9.53,9.57,9.5,9.5,9.5,3143884
1994-02-04,9.5,9.64,9.09,9.09,9.09,6247765
1994-02-07,8.98,9.09,8.87,9.02,9.02,12865650
1994-02-08,8.98,9.2,8.98,9.06,9.06,9570300
1994-02-09,8.98,9.02,8.83,8.95,8.95,8109627
1994-02-10,8.98,9.13,8.95,8.95,8.95,6093969
1994-02-11,9.09,9.2,9.02,9.2,9.2,4853892
1994-02-14,9.13,9.28,9.13,9.13,9.13,3587795
1994-02-15,9.17,9.24,8.98,9.02,9.02,5906385
1994-02-16,9.06,9.06,8.91,8.91,8.91,5438394
1994-02-17,8.98,9.02,8.76,8.83,8.83,8816856
1994-02-18,8.83,8.87,8.69,8.76,8.76,5991827
1994-02-22,8.69,8.91,8.69,8.91,8.91,4789422
1994-02-23,8.95,9.02,8.87,8.95,8.95,4389398
1994-02-24,8.87,8.87,8.65,8.65,8.65,6029887
1994-02-25,8.69,8.76,8.54,8.65,8.65,8893365
1994-02-28,8.65,8.76,8.61,8.61,8.61,4959141
1994-03-01,8.58,8.65,8.28,8.5,8.5,7790384
1994-03-02,8.32,8.47,8.32,8.47,8.47,11488865
1994-03-03,8.47,8.47,8.36,8.43,8.43,3788584
1994-03-04,8.43,8.54,8.39,8.39,8.39,5627144
1994-03-07,8.47,8.5,8.32,8.47,8.47,7954666
1994-03-08,8.54,8.69,8.5,8.54,8.54,8053702
1994-03-09,8.54,8.58,8.28,8.32,8.32,9412621
1994-03-10,8.39,8.39,8.25,8.36,8.36,6660218
1994-03-11,8.36,8.5,8.28,8.43,8.43,6204267
1994-03-14,8.54,8.76,8.5,8.5,8.5,8281677
1994-03-15,8.65,8.76,8.58,8.65,8.65,11643438
1994-03-16,8.76,9.02,8.72,8.98,8.98,9403688
1994-03-17,8.91,8.95,8.8,8.87,8.87,4433672
1994-03-18,8.87,8.95,8.76,8.87,8.87,9745845
1994-03-21,8.8,8.87,8.76,8.83,8.83,4453479
1994-03-22,8.83,8.91,8.76,8.8,8.8,7036940
1994-03-23,8.87,9.06,8.8,9.02,9.02,5119928
1994-03-24,8.95,8.95,8.69,8.76,8.76,4415030
1994-03-25,8.76,8.91,8.72,8.72,8.72,5943668
1994-03-28,8.76,8.8,8.65,8.65,8.65,5378197
1994-03-29,8.69,8.69,8.47,8.47,8.47,5844633
1994-03-30,8.47,8.54,8.25,8.25,8.25,8581113
1994-03-31,8.25,8.36,7.77,8.17,8.17,12081912
1994-04-04,7.8,8.14,7.73,8.03,8.03,6876153
1994-04-05,8.25,8.54,8.21,8.43,8.43,9221153
1994-04-06,8.54,8.76,8.5,8.76,8.76,11519547
1994-04-07,8.72,8.87,8.61,8.83,8.83,4682231
1994-04-08,8.76,8.87,8.76,8.83,8.83,5144784
1994-04-11,8.87,8.95,8.8,8.95,8.95,3315933
1994-04-12,8.91,8.91,8.8,8.8,8.8,3299621
1994-04-13,8.76,8.83,8.69,8.8,8.8,4684950
1994-04-14,8.72,8.83,8.65,8.8,8.8,4394835
1994-04-15,8.72,8.87,8.72,8.87,8.87,5853566
1994-04-18,8.83,8.87,8.72,8.83,8.83,5365380
1994-04-19,8.87,8.98,8.72,8.91,8.91,6011245
1994-04-20,8.91,8.98,8.61,8.8,8.8,5714916
1994-04-21,8.83,8.87,8.69,8.76,8.76,5551411
1994-04-22,8.8,8.83,8.58,8.72,8.72,10122567
1994-04-25,8.65,8.87,8.58,8.83,8.83,6628371
1994-04-26,8.76,8.83,8.76,8.8,8.8,2782696
1994-04-28,8.72,8.8,8.69,8.69,8.69,5050409
1994-04-29,8.65,8.72,8.58,8.72,8.72,3868977
1994-05-02,8.8,8.98,8.76,8.87,8.87,4033259
1994-05-03,8.87,8.95,8.61,8.72,8.72,4511347
1994-05-04,8.69,8.72,8.58,8.61,8.61,5303629
1994-05-05,8.65,8.76,8.65,8.65,8.65,4376970
1994-05-06,8.58,8.8,8.54,8.8,8.8,7259089
1994-05-09,8.69,8.8,8.54,8.65,8.65,4162587
1994-05-10,8.72,8.76,8.5,8.61,8.61,4084913
1994-05-11,8.61,8.69,8.58,8.65,8.65,3836742
1994-05-12,8.65,8.69,8.47,8.54,8.54,4609605
1994-05-13,8.58,8.61,8.43,8.43,8.43,3398657
1994-05-16,8.43,8.47,8.32,8.36,8.36,2786580
1994-05-17,8.43,8.72,8.43,8.72,8.72,5345185
1994-05-18,8.69,8.87,8.69,8.83,8.83,4765343
1994-05-19,8.8,8.91,8.69,8.76,8.76,3755184
1994-05-20,8.72,8.91,8.72,8.83,8.83,6175139
1994-05-23,8.83,8.83,8.61,8.69,8.69,2645989
1994-05-24,8.65,8.76,8.61,8.72,8.72,2629289
1994-05-25,8.69,8.76,8.65,8.76,8.76,2543847
1994-05-26,8.72,8.8,8.69,8.72,8.72,3138058
1994-05-27,8.65,8.72,8.58,8.72,8.72,2719780
1994-05-31,7.77,8.14,7.73,8.14,8.14,4662630
1994-06-01,8.25,8.36,8.06,8.17,8.17,5795042
1994-06-02,8.14,8.14,8.03,8.06,8.06,2769679
1994-06-03,8.06,8.21,8.03,8.14,8.14,3466811
1994-06-06,8.21,8.28,8.17,8.17,8.17,3554210
1994-06-07,8.17,8.32,8.17,8.28,8.28,6131269
1994-06-08,8.25,8.36,8.21,8.36,8.36,5270993
1994-06-09,8.32,8.47,8.32,8.47,8.47,4396664
1994-06-10,8.43,8.5,8.36,8.5,8.5,4667771
1994-06-13,8.5,8.5,8.32,8.36,8.36,2150691
1994-06-14,8.32,8.39,8.25,8.39,8.39,2230207
1994-06-15,8.39,8.43,8.14,8.25,8.25,4724323
1994-06-16,8.17,8.28,8.14,8.25,8.25,2993145
1994-06-17,8.28,8.28,8.17,8.28,8.28,9572718
1994-06-20,8.14,8.21,8.06,8.1,8.1,3276934
1994-06-21,8.06,8.1,7.8,7.88,7.88,5789901
1994-06-22,7.95,7.99,7.84,7.88,7.88,5311779
1994-06-23,7.8,7.91,7.77,7.88,7.88,3512738
1994-06-24,7.84,7.84,7.62,7.66,7.66,4925854
1994-06-27,7.66,7.8,7.58,7.73,7.73,5728207
1994-06-28,7.8,7.8,7.58,7.62,7.62,4922427
1994-06-29,7.66,7.73,7.55,7.58,7.58,5935565
1994-06-30,7.58,7.62,7.55,7.58,7.58,11026277
1994-07-01,7.55,7.66,7.44,7.66,7.66,2910545
1994-07-05,7.58,7.66,7.44,7.51,7.51,3604935
1994-07-06,7.51,7.69,7.44,7.69,7.69,4458357
1994-07-07,7.69,7.69,7.51,7.58,7.58,5112647
1994-07-08,7.51,7.55,7.44,7.55,7.55,3677596
1994-07-11,7.62,7.69,7.51,7.69,7.69,3090141
1994-07-12,7.69,7.8,7.66,7.8,7.8,3172398
1994-07-13,7.77,7.77,7.69,7.77,7.77,3353707
1994-07-14,7.8,7.99,7.77,7.88,7.88,6656004
1994-07-15,7.88,7.89,7.69,7.84,7.84,5654176
1994-07-18,7.8,7.8,7.66,7.8,7.8,6155947
1994-07-19,7.77,7.95,7.77,7.95,7.95,3824632
1994-07-20,7.95,7.95,7.84,7.95,7.95,3492517
1994-07-21,7.91,7.95,7.62,7.84,7.84,4692448
1994-07-22,7.8,7.88,7.62,7.66,7.66,3565520
1994-07-25,7.69,7.73,7.66,7.73,7.73,2221638
1994-07-26,7.8,7.88,7.77,7.77,7.77,3679653
1994-07-27,7.77,7.79,7.66,7.69,7.69,2575688
1994-07-28,7.69,7.77,7.66,7.73,7.73,2482806
1994-07-29,7.77,7.84,7.73,7.8,7.8,2346738
1994-08-01,7.73,7.91,7.73,7.91,7.91,3008911
1994-08-02,7.91,8.03,7.84,8.03,8.03,5889295
1994-08-03,7.95,8.14,7.91,8.14,8.14,5360448
1994-08-04,8.1,8.21,8.06,8.21,8.21,5982863
1994-08-05,8.14,8.21,8.1,8.17,8.17,2393694
1994-08-08,8.17,8.17,7.95,7.99,7.99,2674740
1994-08-09,7.95,8.03,7.8,8.03,8.03,6014052
1994-08-10,7.99,8.06,7.91,7.95,7.95,3037701
1994-08-11,7.95,7.99,7.88,7.95,7.95,4331886
1994-08-12,7.95,8.21,7.95,8.17,8.17,5441334
1994-08-15,8.21,8.21,8.14,8.14,8.14,3387639
1994-08-16,8.17,8.21,8.03,8.06,8.06,3374614
1994-08-17,8.14,8.17,8.03,8.14,8.14,2679881
1994-08-18,8.06,8.14,8.03,8.03,8.03,2233977
1994-08-19,8.1,8.1,7.99,8.06,8.06,5508169
1994-08-22,7.99,8.14,7.99,8.14,8.14,2013938
1994-08-23,8.17,8.32,8.14,8.21,8.21,5754941
1994-08-24,8.21,8.36,8.1,8.32,8.32,5233291
1994-08-25,8.32,8.39,8.25,8.25,8.25,4158803
1994-08-26,8.28,8.39,8.21,8.21,8.21,5769336
1994-08-29,8.28,8.36,8.25,8.36,8.36,3929853
1994-08-30,8.32,8.39,8.25,8.39,8.39,2903005
1994-08-31,8.32,8.43,8.28,8.28,8.28,5187707
1994-09-01,8.25,8.39,8.21,8.39,8.39,2964698
1994-09-02,8.54,8.72,8.5,8.54,8.54,10314064
1994-09-06,8.65,8.95,8.65,8.95,8.95,13415857
1994-09-07,8.95,9.09,8.8,8.8,8.8,9414715
1994-09-08,8.69,8.98,8.61,8.91,8.91,7802810
1994-09-09,8.83,9.02,8.76,8.98,8.98,7790129
1994-09-12,9.02,9.2,8.98,9.06,9.06,14624015
1994-09-13,9.09,9.17,8.95,9.02,9.02,8280932
1994-09-14,8.98,9.42,8.95,9.31,9.31,14599337
1994-09-15,9.24,9.31,9.2,9.28,9.28,5841654
1994-09-16,9.13,9.24,9.02,9.06,9.06,9727979
1994-09-19,9.13,9.31,9.09,9.2,9.2,6613161
1994-09-20,9.06,9.13,8.76,8.8,8.8,5690849
1994-09-21,8.8,8.98,8.76,8.91,8.91,8457100
1994-09-22,8.91,9.13,8.91,9.02,9.02,5016680
1994-09-23,9.02,9.24,9.02,9.09,9.09,4465212
1994-09-26,9.06,9.09,8.98,8.98,8.98,3733463
1994-09-27,9.02,9.13,8.98,9.02,9.02,4818919
1994-09-28,9.06,9.17,9.02,9.06,9.06,3843825
1994-09-29,9.09,9.09,8.91,8.98,8.98,4912830
1994-09-30,8.98,9.06,8.91,8.95,8.95,4309265
1994-10-03,8.91,8.95,8.8,8.83,8.83,4201988
1994-10-04,8.95,9.17,8.83,8.91,8.91,11051982
1994-10-05,8.91,8.95,8.72,8.83,8.83,8437222
1994-10-06,8.91,8.95,8.8,8.8,8.8,4941963
1994-10-07,8.83,8.87,8.72,8.8,8.8,5211013
1994-10-10,8.87,8.95,8.83,8.95,8.95,3140181
1994-10-11,9.02,9.09,8.95,8.98,8.98,5483149
1994-10-12,8.98,8.98,8.87,8.91,8.91,4151605
1994-10-13,9.06,9.17,8.98,9.06,9.06,6280018
1994-10-14,9.06,9.09,8.95,9.06,9.06,2992117
1994-10-17,8.98,9.13,8.98,9.02,9.02,1834685
1994-10-18,9.02,9.06,8.95,8.98,8.98,2154461
1994-10-19,8.98,9.09,8.91,9.02,9.02,3120987
1994-10-20,8.98,9.02,8.87,8.91,8.91,2549983
1994-10-21,8.87,8.95,8.83,8.91,8.91,4223238
1994-10-24,8.91,8.98,8.69,8.69,8.69,5693248
1994-10-25,8.65,8.98,8.65,8.8,8.8,7182109
1994-10-26,8.87,8.91,8.69,8.72,8.72,5105792
1994-10-27,8.8,9.06,8.76,9.06,9.06,6752313
1994-10-28,9.02,9.2,8.95,9.13,9.13,6511025
1994-10-31,9.13,9.17,9.06,9.09,9.09,4439164
1994-11-01,9.02,9.17,9.02,9.06,9.06,4277048
1994-11-02,9.06,9.2,9.06,9.17,9.17,2984577
1994-11-03,9.13,9.17,9.02,9.17,9.17,5398492
1994-11-04,9.13,9.2,8.98,8.98,8.98,6451388
1994-11-07,9.02,9.06,8.98,8.98,8.98,5071861
1994-11-08,9.02,9.06,8.95,8.98,8.98,5466012
1994-11-09,9.09,9.09,8.95,9.02,9.02,7013481
1994-11-10,9.06,9.24,9.02,9.06,9.06,5388895
1994-11-11,9.09,9.28,9.09,9.24,9.24,6694048
1994-11-14,9.28,9.31,9.17,9.2,9.2,19030961
1994-11-15,9.2,9.24,9.13,9.24,9.24,3670399
1994-11-16,9.2,9.28,9.17,9.2,9.2,8104764
1994-11-17,9.2,9.2,9.06,9.13,9.13,4752428
1994-11-18,9.09,9.13,8.87,9.02,9.02,6717011
1994-11-21,9.02,9.06,8.65,8.65,8.65,4829201
1994-11-22,8.54,8.61,8.32,8.32,8.32,8020107
1994-11-23,8.32,8.65,8.28,8.61,8.61,9064778
1994-11-25,8.61,8.69,8.61,8.61,8.61,1061122
1994-11-28,8.61,8.76,8.61,8.72,8.72,3594653
1994-11-29,8.65,8.87,8.65,8.87,8.87,2893751
1994-11-30,8.8,8.83,8.71,8.72,8.72,4444648
1994-12-01,8.72,8.8,8.72,8.76,8.76,2849537
1994-12-02,8.76,8.8,8.69,8.8,8.8,2424540
1994-12-05,8.8,8.83,8.72,8.72,8.72,2665143
1994-12-06,8.72,8.8,8.72,8.8,8.8,5160631
1994-12-07,8.72,8.72,8.65,8.72,8.72,4171484
1994-12-08,8.72,8.76,8.47,8.5,8.5,4653719
1994-12-09,8.43,8.5,8.36,8.47,8.47,4568034
1994-12-12,8.43,8.69,8.39,8.65,8.65,3480864
1994-12-13,8.69,8.72,8.54,8.58,8.58,4277391
1994-12-14,8.54,8.65,8.47,8.61,8.61,4617731
1994-12-15,8.65,8.65,8.54,8.58,8.58,3813321
1994-12-16,8.65,8.72,8.58,8.65,8.65,7367531
1994-12-19,8.65,8.69,8.54,8.61,8.61,3810579
1994-12-20,8.61,8.61,8.54,8.58,8.58,3266651
1994-12-21,8.61,8.65,8.58,8.61,8.61,4388781
1994-12-22,8.61,8.69,8.61,8.69,8.69,2473209
