Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,12.22,12.34,12.03,12.09,12.09,3516000
1994-01-04,12.06,12.13,11.94,11.94,11.94,1760400
1994-01-05,12,12.13,11.97,12.13,12.13,4163200
1994-01-06,12.16,12.19,12,12,12,1592800
1994-01-07,12,12.28,12,12.25,12.25,3406800
1994-01-10,12.19,12.41,12.16,12.41,12.41,2754800
1994-01-11,12.5,12.56,12.31,12.38,12.38,3185600
1994-01-12,12.38,12.41,12.19,12.38,12.38,2559600
1994-01-13,12.34,12.38,12.25,12.34,12.34,2094000
1994-01-14,12.31,12.47,12.28,12.47,12.47,4646000
1994-01-17,12.41,12.44,12.28,12.44,12.44,1646800
1994-01-18,12.44,12.44,12.28,12.31,12.31,1801200
1994-01-19,12.25,12.34,12.09,12.22,12.22,2600800
1994-01-20,12.16,12.28,12.09,12.25,12.25,3238800
1994-01-21,12.28,12.38,12.25,12.34,12.34,1772000
1994-01-24,12.38,12.44,12.28,12.28,12.28,2282800
1994-01-25,12.31,12.38,12.19,12.25,12.25,2153600
1994-01-26,12.25,12.34,12.22,12.25,12.25,2471200
1994-01-27,12.31,12.47,12.25,12.47,12.47,2330400
1994-01-28,12.47,12.59,12.34,12.5,12.5,3214800
1994-01-31,12.53,12.72,12.44,12.69,12.69,4074800
1994-02-01,12.63,12.69,12.53,12.66,12.66,2762800
1994-02-02,12.63,12.66,12.56,12.63,12.63,1467200
1994-02-03,12.63,12.63,12.38,12.47,12.47,2088800
1994-02-04,12.44,12.53,12.25,12.28,12.28,3962800
1994-02-07,12.19,12.41,12.09,12.34,12.34,3544000
1994-02-08,12.31,12.31,12.03,12.13,12.13,2195600
1994-02-09,12.13,12.34,12.09,12.34,12.34,1420400
1994-02-10,12.34,12.34,12.03,12.03,12.03,1656400
1994-02-11,12.03,12.13,11.97,12.09,12.09,2035200
1994-02-14,12.03,12.19,12.03,12.16,12.16,2468000
1994-02-15,12.13,12.25,12.03,12.19,12.19,4130800
1994-02-16,12.19,12.28,12.16,12.19,12.19,2307600
1994-02-17,12.22,12.25,12.03,12.13,12.13,1979200
1994-02-18,12.19,12.19,11.84,12.06,12.06,2310400
1994-02-22,12.13,12.25,12.03,12.25,12.25,3233600
1994-02-23,12.28,12.34,12.16,12.25,12.25,1174400
1994-02-24,12.13,12.22,12.03,12.06,12.06,1706000
1994-02-25,12.13,12.19,12.03,12.19,12.19,1392800
1994-02-28,12.16,12.28,12.13,12.22,12.22,2134000
1994-03-01,12.16,12.19,12.03,12.19,12.19,1909200
1994-03-02,12.03,12.03,11.78,11.97,11.97,5032000
1994-03-03,11.94,11.94,11.66,11.78,11.78,2323200
1994-03-04,11.78,12,11.75,11.94,11.94,2524800
1994-03-07,12.13,12.13,11.66,11.66,11.66,9868400
1994-03-08,11.72,11.78,11.66,11.75,11.75,3722400
1994-03-09,11.81,11.88,11.66,11.72,11.72,2186000
1994-03-10,11.72,11.78,11.63,11.66,11.66,3175600
1994-03-11,11.66,11.81,11.5,11.72,11.72,3630800
1994-03-14,11.75,11.81,11.63,11.75,11.75,2051600
1994-03-15,11.75,11.84,11.72,11.75,11.75,3981200
1994-03-16,11.78,12.09,11.75,12.09,12.09,4684400
1994-03-17,12.13,12.13,11.97,12,12,1836000
1994-03-18,11.97,12.03,11.84,12,12,4132800
1994-03-21,12,12.03,11.84,11.88,11.88,4324400
1994-03-22,11.88,11.97,11.81,11.84,11.84,1850000
1994-03-23,11.84,11.97,11.81,11.91,11.91,1411600
1994-03-24,11.84,11.91,11.78,11.81,11.81,1080400
1994-03-25,11.63,11.75,11.38,11.38,11.38,2834800
1994-03-28,11.59,11.66,11.44,11.63,11.63,2754400
1994-03-29,11.66,11.66,11.5,11.53,11.53,2598400
1994-03-30,11.5,11.56,11.28,11.44,11.44,5204400
1994-03-31,11.38,11.5,11.09,11.44,11.44,3636000
1994-04-04,11.19,11.34,11.13,11.19,11.19,6624800
1994-04-05,11.28,11.59,11.28,11.56,11.56,4217600
1994-04-06,11.56,11.66,11.5,11.56,11.56,2709600
1994-04-07,11.59,11.97,11.56,11.94,11.94,6387200
1994-04-08,11.88,12.44,11.81,12.34,12.34,9334800
1994-04-11,12.44,12.94,12.41,12.88,12.88,9205200
1994-04-12,12.84,12.97,12.69,12.84,12.84,5930800
1994-04-13,12.84,12.88,12.56,12.72,12.72,5158400
1994-04-14,12.63,13,12.63,13,13,4314000
1994-04-15,12.94,13.13,12.84,13.03,13.03,4203200
1994-04-18,13.09,13.28,13,13.06,13.06,7021200
1994-04-19,13.19,13.34,13.13,13.34,13.34,7228400
1994-04-20,13.25,13.31,12.94,12.97,12.97,6682800
1994-04-21,13,13.03,12.81,12.97,12.97,3456400
1994-04-22,12.91,13.13,12.91,13.03,13.03,3522800
1994-04-25,13.06,13.19,12.97,13.09,13.09,3372800
1994-04-26,13.19,13.22,13,13.03,13.03,3394800
1994-04-28,13.03,13.03,12.78,12.81,12.81,2289600
1994-04-29,12.84,13.06,12.78,13.06,13.06,2173200
1994-05-02,13.25,13.25,13.06,13.13,13.13,3924800
1994-05-03,13.19,13.25,13.13,13.25,13.25,1564400
1994-05-04,13.19,13.22,12.94,13.16,13.16,2432800
1994-05-05,13.16,13.25,13.06,13.25,13.25,2727200
1994-05-06,13.13,13.16,12.91,13.03,13.03,2291600
1994-05-09,12.88,12.97,12.81,12.94,12.94,1900000
1994-05-10,13.13,13.25,13,13.22,13.22,2460000
1994-05-11,13.28,13.31,13.03,13.09,13.09,2645200
1994-05-12,13.16,13.25,13.13,13.19,13.19,2364400
1994-05-13,13.22,13.41,13.13,13.31,13.31,3134400
1994-05-16,13.25,13.41,13.19,13.34,13.34,3452000
1994-05-17,13.38,13.72,13.38,13.63,13.63,4359600
1994-05-18,13.69,14,13.69,13.88,13.88,8288000
1994-05-19,13.81,13.97,13.72,13.94,13.94,5405200
1994-05-20,13.88,13.91,13.81,13.88,13.88,3172400
1994-05-23,13.84,13.88,13.75,13.84,13.84,2228000
1994-05-24,13.91,14,13.88,13.91,13.91,3062000
1994-05-25,13.84,13.94,13.69,13.91,13.91,2160000
1994-05-26,13.94,13.97,13.88,13.94,13.94,1798400
1994-05-27,13.75,13.94,13.72,13.91,13.91,1424000
1994-05-31,13.88,13.88,13.72,13.84,13.84,1444000
1994-06-01,13.81,13.91,13.66,13.91,13.91,2206000
1994-06-02,13.88,14.03,13.88,13.97,13.97,2556800
1994-06-03,13.97,14.28,13.97,14.25,14.25,2452800
1994-06-06,14.28,14.34,14.13,14.13,14.13,1901200
1994-06-07,14.09,14.13,13.97,14,14,2605200
1994-06-08,13.94,14.03,13.88,13.97,13.97,2491200
1994-06-09,13.91,13.97,13.88,13.91,13.91,1695200
1994-06-10,13.91,14.13,13.88,14.06,14.06,3250000
1994-06-13,14.03,14.19,14.03,14.19,14.19,3926000
1994-06-14,14.16,14.22,13.94,13.94,13.94,3154400
1994-06-15,14,14,13.84,13.84,13.84,1009200
1994-06-16,13.69,13.69,13.5,13.56,13.56,2842000
1994-06-17,13.72,13.72,13.38,13.38,13.38,4394800
1994-06-20,13.34,13.34,13.09,13.16,13.16,2650400
1994-06-21,13.22,13.25,13.09,13.16,13.16,1341200
1994-06-22,13.19,13.44,13.19,13.41,13.41,1681200
1994-06-23,13.41,13.41,13.25,13.25,13.25,1492800
1994-06-24,13.06,13.13,12.78,12.81,12.81,3410400
1994-06-27,12.84,13.13,12.84,13.13,13.13,2946400
1994-06-28,13.09,13.09,12.75,12.84,12.84,2078800
1994-06-29,12.94,13.22,12.91,13.13,13.13,1620400
1994-06-30,13.06,13.09,12.69,12.84,12.84,2359600
1994-07-01,12.81,12.94,12.81,12.94,12.94,1858400
1994-07-05,12.94,13.06,12.81,12.81,12.81,1561600
1994-07-06,12.84,13.09,12.84,13.09,13.09,1502000
1994-07-07,13.09,13.16,13.03,13.13,13.13,1768800
1994-07-08,13.06,13.25,13.03,13.22,13.22,1707200
1994-07-11,13.31,13.31,13.19,13.22,13.22,1238000
1994-07-12,13.25,13.31,13.13,13.19,13.19,1427200
1994-07-13,13.19,13.31,13.19,13.25,13.25,1583600
1994-07-14,13.25,13.66,13.25,13.63,13.63,2081600
1994-07-15,13.59,13.66,13.53,13.63,13.63,1898000
1994-07-18,13.59,13.81,13.56,13.78,13.78,2202400
1994-07-19,13.84,13.88,13.69,13.75,13.75,2714800
1994-07-20,13.81,13.81,13.34,13.41,13.41,2934800
1994-07-21,13.38,13.5,13.25,13.47,13.47,1582000
1994-07-22,13.53,13.53,13.38,13.44,13.44,966800
1994-07-25,13.38,13.59,13.34,13.56,13.56,1241600
1994-07-26,13.59,13.69,13.53,13.69,13.69,1085200
1994-07-27,13.63,13.66,13.47,13.5,13.5,1840400
1994-07-28,13.47,13.81,13.47,13.75,13.75,1450800
1994-07-29,13.75,13.97,13.72,13.94,13.94,1831200
1994-08-01,13.94,14,13.81,13.97,13.97,1300800
1994-08-02,13.91,13.97,13.78,13.78,13.78,1953200
1994-08-03,13.72,13.75,13.63,13.72,13.72,2954400
1994-08-04,13.72,13.78,13.69,13.72,13.72,1220800
1994-08-05,13.63,13.78,13.59,13.78,13.78,2162000
1994-08-08,13.78,13.78,13.69,13.75,13.75,1793600
1994-08-09,13.75,13.78,13.69,13.75,13.75,2324400
1994-08-10,13.75,13.91,13.69,13.84,13.84,2670400
1994-08-11,13.88,13.91,13.69,13.81,13.81,2277600
1994-08-12,13.81,13.97,13.81,13.97,13.97,1307200
1994-08-15,13.97,13.97,13.81,13.91,13.91,810400
1994-08-16,13.91,13.97,13.75,13.94,13.94,2547200
1994-08-17,13.97,13.97,13.81,13.84,13.84,1386400
1994-08-18,13.81,13.84,13.75,13.81,13.81,1204800
1994-08-19,13.88,13.88,13.75,13.88,13.88,1634400
1994-08-22,13.81,13.88,13.75,13.84,13.84,1973600
1994-08-23,13.81,13.88,13.75,13.75,13.75,7640400
1994-08-24,13.81,13.81,13.69,13.72,13.72,2393600
1994-08-25,13.69,13.72,13.63,13.66,13.66,2828400
1994-08-26,13.69,13.84,13.69,13.78,13.78,1943600
1994-08-29,13.69,13.78,13.69,13.75,13.75,1512400
1994-08-30,13.75,13.84,13.75,13.78,13.78,1144400
1994-08-31,13.75,14,13.75,13.94,13.94,4104000
1994-09-01,13.88,13.91,13.78,13.84,13.84,1285600
1994-09-02,13.81,13.91,13.72,13.78,13.78,1984000
1994-09-06,13.78,13.78,13.69,13.75,13.75,3150000
1994-09-07,13.69,13.69,13.5,13.56,13.56,2509200
1994-09-08,13.59,13.59,13.5,13.53,13.53,2196400
1994-09-09,13.31,13.44,13.28,13.44,13.44,2969200
1994-09-12,13.44,13.44,13.28,13.31,13.31,1528400
1994-09-13,13.38,13.38,13.13,13.22,13.22,2648800
1994-09-14,13.25,13.28,13.13,13.28,13.28,1503600
1994-09-15,13.28,13.31,13.22,13.31,13.31,2050400
1994-09-16,13.31,13.31,13.13,13.16,13.16,3510800
1994-09-19,13.13,13.16,12.72,12.72,12.72,3528800
1994-09-20,12.63,12.66,12.34,12.38,12.38,6344800
1994-09-21,12.38,12.41,12.16,12.31,12.31,7096400
1994-09-22,12.34,12.34,12.06,12.09,12.09,3933600
1994-09-23,12.06,12.09,11.78,11.88,11.88,6270000
1994-09-26,11.97,12.03,11.91,12,12,4698000
1994-09-27,11.97,12,11.88,11.88,11.88,5842800
1994-09-28,12.03,12.09,11.94,12,12,5001200
1994-09-29,12.25,12.34,12.13,12.31,12.31,6690800
1994-09-30,12.34,12.44,12.19,12.25,12.25,2698000
1994-10-03,12.25,12.25,12.09,12.16,12.16,2860800
1994-10-04,12.19,12.22,11.81,11.84,11.84,3126000
1994-10-05,11.84,11.84,11.63,11.81,11.81,4922400
1994-10-06,11.81,11.84,11.72,11.75,11.75,2664400
1994-10-07,11.75,11.84,11.69,11.81,11.81,3509200
1994-10-10,11.81,11.91,11.75,11.84,11.84,3041600
1994-10-11,11.88,11.97,11.88,11.97,11.97,3176000
1994-10-12,12,12.22,11.97,12.16,12.16,7329600
1994-10-13,12.38,12.44,12.22,12.22,12.22,3639200
1994-10-14,12.31,12.69,12.28,12.66,12.66,4118400
1994-10-17,12.63,12.63,12.44,12.5,12.5,2710800
1994-10-18,12.63,12.63,12.38,12.47,12.47,2789600
1994-10-19,12.5,12.63,12.38,12.59,12.59,2019200
1994-10-20,12.56,12.59,12.44,12.56,12.56,1788400
1994-10-21,12.5,12.53,12.28,12.28,12.28,2714400
1994-10-24,12.31,12.31,11.97,11.97,11.97,2929600
1994-10-25,11.94,12.06,11.88,12.03,12.03,2182400
1994-10-26,12.16,12.19,12.06,12.19,12.19,2631200
1994-10-27,12.22,12.28,12.16,12.28,12.28,2176400
1994-10-28,12.28,12.47,12.25,12.44,12.44,2886000
1994-10-31,12.41,12.47,12.34,12.38,12.38,1414400
1994-11-01,12.34,12.38,12.28,12.28,12.28,1508400
1994-11-02,12.31,12.38,12.19,12.22,12.22,1847600
1994-11-03,12.34,12.47,12.25,12.38,12.38,1218800
1994-11-04,12.41,12.5,12.28,12.31,12.31,4270000
1994-11-07,12.16,12.34,12.16,12.25,12.25,2897200
1994-11-08,12.28,12.31,12.19,12.28,12.28,2474800
1994-11-09,12.41,12.44,12.28,12.28,12.28,2286000
1994-11-10,12.31,12.34,12.25,12.28,12.28,1385200
1994-11-11,12.22,12.25,12.09,12.09,12.09,1336400
1994-11-14,12.09,12.13,11.97,12,12,3392000
1994-11-15,12,12,11.94,11.94,11.94,2049600
1994-11-16,11.94,12,11.84,11.88,11.88,2506800
1994-11-17,11.88,11.88,11.47,11.63,11.63,7023200
1994-11-18,11.59,11.59,11.25,11.31,11.31,5286800
1994-11-21,11.38,11.41,11.19,11.19,11.19,3364000
1994-11-22,11.19,11.31,10.91,10.94,10.94,8399200
1994-11-23,10.94,11.44,10.91,11.44,11.44,8103600
1994-11-25,11.41,11.5,11.31,11.44,11.44,700400
1994-11-28,11.31,11.41,11.28,11.28,11.28,2129600
1994-11-29,11.31,11.41,11.22,11.25,11.25,3301600
1994-11-30,11.31,11.31,11.16,11.22,11.22,2713600
1994-12-01,11.22,11.25,11.13,11.19,11.19,17710408
1994-12-02,11.19,11.41,11.19,11.41,11.41,1266800
1994-12-05,11.47,11.56,11.38,11.38,11.38,1719600
1994-12-06,11.41,11.56,11.31,11.5,11.5,6098000
1994-12-07,11.44,11.5,11.38,11.44,11.44,1979200
1994-12-08,11.44,11.47,10.84,10.94,10.94,2208000
1994-12-09,10.94,11.28,10.94,11.25,11.25,2867200
1994-12-12,11.13,11.34,11.09,11.25,11.25,1505200
1994-12-13,11.38,11.59,11.34,11.53,11.53,5199600
1994-12-14,11.53,11.78,11.53,11.63,11.63,3136000
1994-12-15,11.63,11.66,11.5,11.53,11.53,1529200
1994-12-16,11.56,11.56,11.41,11.53,11.53,3878000
1994-12-19,11.53,11.72,11.47,11.66,11.66,1794400
1994-12-20,11.75,11.75,11.47,11.61,11.61,2322400
1994-12-21,11.53,11.56,11.38,11.41,11.41,2404800
1994-12-22,11.13,11.25,11.09,11.13,11.13,6588400
1994-12-23,11.31,11.44,11.25,11.38,11.38,2721600
1994-12-27,11.5,11.53,11.28,11.34,11.34,1654000
1994-12-28,11.41,11.44,11.28,11.31,11.31,905200
1994-12-29,11.31,11.34,11.19,11.19,11.19,3197600
1994-12-30,11.22,11.31,11.13,11.28,11.28,2178800
1995-01-03,11.28,11.47,11.28,11.44,11.44,1515600
1995-01-04,11.41,11.56,11.41,11.53,11.53,1536800
1995-01-05,11.56,11.66,11.53,11.63,11.63,1242800
1995-01-06,11.59,11.69,11.53,11.59,11.59,1721200
1995-01-09,11.56,11.63,11.53,11.59,11.59,1092000
1995-01-10,11.56,11.81,11.56,11.78,11.78,2662000
1995-01-11,11.81,12,11.38,11.63,11.63,4369200
1995-01-12,11.63,11.66,11.5,11.59,11.59,1947600
1995-01-13,11.69,12,11.66,11.97,11.97,3228000
1995-01-16,11.97,12.22,11.84,12.13,12.13,3696800
1995-01-17,11.69,11.81,11.53,11.66,11.66,8594400
1995-01-18,11.66,11.69,11.53,11.66,11.66,3576800
1995-01-19,11.59,11.63,11.5,11.5,11.5,2386000
1995-01-20,11.5,11.5,11.31,11.47,11.47,1899600
1995-01-23,11.31,11.41,11.16,11.38,11.38,4550000
1995-01-24,11.44,11.5,11.41,11.44,11.44,3313600
1995-01-25,11.44,11.81,11.38,11.66,11.66,2540000
1995-01-26,11.72,11.81,11.66,11.78,11.78,2215600
1995-01-27,11.84,12,11.81,11.84,11.84,2300000
1995-01-30,11.88,11.91,11.53,11.75,11.75,1823600
1995-01-31,11.69,11.84,11.63,11.66,11.66,3173600
1995-02-01,11.69,11.72,11.5,11.53,11.53,2878800
1995-02-02,11.5,11.72,11.5,11.63,11.63,2993600
1995-02-03,11.88,12.28,11.81,12.25,12.25,5435600
1995-02-06,12.19,12.59,12.13,12.53,12.53,4440800
1995-02-07,12.56,12.75,12.38,12.38,12.38,4282800
1995-02-08,12.41,12.5,12.34,12.44,12.44,1518000
1995-02-09,12.38,12.47,12.19,12.25,12.25,1314400
1995-02-10,12.25,12.31,12.19,12.22,12.22,2084800
1995-02-13,12.25,12.41,12.25,12.28,12.28,1925600
1995-02-14,12.34,12.44,12.34,12.41,12.41,2392800
1995-02-15,12.47,12.63,12.28,12.56,12.56,2656000
1995-02-16,12.56,12.63,12.5,12.56,12.56,1702400
1995-02-17,12.59,12.63,12.44,12.5,12.5,2651200
1995-02-21,12.5,12.59,12.38,12.41,12.41,1732000
1995-02-22,12.38,12.75,12.34,12.66,12.66,2954800
1995-02-23,12.78,12.91,12.69,12.84,12.84,4304800
1995-02-24,12.81,12.81,12.59,12.72,12.72,2324400
1995-02-27,12.63,12.66,12.47,12.5,12.5,1246400
1995-02-28,12.5,12.56,12.38,12.47,12.47,2692800
1995-03-01,12.5,12.56,12.31,12.34,12.34,3410800
1995-03-02,12.41,12.53,12.34,12.5,12.5,4144000
1995-03-03,12.44,12.53,12.44,12.53,12.53,2816800
1995-03-06,12.47,12.47,12.34,12.44,12.44,1854800
1995-03-07,12.38,12.41,12.13,12.22,12.22,3124800
1995-03-08,12.25,12.31,12.22,12.25,12.25,1632400
1995-03-09,12.31,12.31,12.13,12.22,12.22,2731600
1995-03-10,12.28,12.41,12.13,12.38,12.38,3869200
1995-03-13,12.38,12.41,12.19,12.38,12.38,2263200
1995-03-14,12.44,12.56,12.41,12.53,12.53,2367600
1995-03-15,12.5,12.59,12.41,12.5,12.5,2254800
1995-03-16,12.44,12.66,12.38,12.59,12.59,2951200
1995-03-17,12.56,12.56,12.44,12.47,12.47,2712400
1995-03-20,12.53,12.53,12.28,12.31,12.31,3736800
1995-03-21,12.28,12.31,12.09,12.09,12.09,2590000
1995-03-22,12.22,12.22,12.09,12.22,12.22,2894000
1995-03-23,12.22,12.31,12.19,12.28,12.28,2868400
