Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,13.72,13.78,13.66,13.69,13.69,5877847
1994-01-04,13.69,14.01,13.6,13.98,13.98,6201032
1994-01-05,14.04,14.25,14.04,14.16,14.16,10346962
1994-01-06,14.19,14.22,13.98,14.04,14.04,5277707
1994-01-07,14.04,14.04,13.84,13.98,13.98,4996128
1994-01-10,13.98,14.04,13.9,14.04,14.04,3771472
1994-01-11,14.01,14.04,13.9,13.96,13.96,3661782
1994-01-12,13.93,14.01,13.87,13.9,13.9,3169230
1994-01-13,13.84,13.9,13.78,13.81,13.81,2513614
1994-01-14,13.81,13.93,13.81,13.87,13.87,2963719
1994-01-17,13.84,13.96,13.75,13.87,13.87,2419474
1994-01-18,13.9,14.1,13.87,14.01,14.01,4022371
1994-01-19,14.01,14.1,13.81,13.98,13.98,7458470
1994-01-20,13.87,13.98,13.84,13.98,13.98,4574601
1994-01-21,13.93,14.01,13.87,13.96,13.96,6048055
1994-01-24,13.93,13.98,13.81,13.81,13.81,3135608
1994-01-25,13.81,13.96,13.72,13.81,13.81,4843992
1994-01-26,13.72,13.9,13.69,13.87,13.87,4216534
1994-01-27,13.84,13.84,13.78,13.78,13.78,2646838
1994-01-28,13.81,13.87,13.66,13.84,13.84,3904696
1994-01-31,13.9,13.9,13.78,13.78,13.78,4110206
1994-02-01,13.81,13.84,13.72,13.78,13.78,3846279
1994-02-02,13.84,13.87,13.69,13.72,13.72,3323888
1994-02-03,13.6,13.69,13.39,13.6,13.6,5568952
1994-02-04,13.57,13.66,13.45,13.45,13.45,4190898
1994-02-07,13.42,13.6,13.39,13.51,13.51,4671683
1994-02-08,13.54,13.66,13.39,13.48,13.48,5591646
1994-02-09,13.45,13.51,13.33,13.42,13.42,4337571
1994-02-10,13.39,13.48,13.33,13.39,13.39,4530893
1994-02-11,13.24,13.42,13.24,13.33,13.33,2940185
1994-02-14,13.33,13.36,13.24,13.3,13.3,2927156
1994-02-15,13.42,13.51,13.3,13.3,13.3,4657814
1994-02-16,13.27,13.3,13.21,13.24,13.24,3233531
1994-02-17,13.33,13.33,13.21,13.27,13.27,4295964
1994-02-18,13.27,13.39,13.27,13.33,13.33,5252491
1994-02-22,13.36,13.42,13.24,13.36,13.36,3144014
1994-02-23,13.3,13.42,13.24,13.3,13.3,4045485
1994-02-24,13.21,13.24,13.09,13.15,13.15,3601264
1994-02-25,13.18,13.3,13.15,13.27,13.27,2801917
1994-02-28,13.33,13.36,13.15,13.15,13.15,3323468
1994-03-01,13.15,13.18,13.06,13.09,13.09,4231243
1994-03-02,12.97,13.18,12.85,13.15,13.15,4807429
1994-03-03,13.15,13.15,12.88,13,13,3070047
1994-03-04,12.88,13.03,12.79,12.88,12.88,4183753
1994-03-07,12.88,13.09,12.88,13,13,3576888
1994-03-08,13.03,13.03,12.94,12.97,12.97,2795193
1994-03-09,12.97,13.12,12.85,13.06,13.06,4788096
1994-03-10,13.03,13.18,12.91,13.09,13.09,5768158
1994-03-11,13.09,13.09,12.94,13.03,13.03,3857626
1994-03-14,13.09,13.12,13,13.03,13.03,3321787
1994-03-15,13,13,12.91,12.97,12.97,3258326
1994-03-16,12.97,13.03,12.85,13.03,13.03,3857206
1994-03-17,12.97,13.03,12.88,12.91,12.91,4145929
1994-03-18,12.88,12.88,12.79,12.82,12.82,8530149
1994-03-21,12.79,13.03,12.79,12.97,12.97,4545603
