Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,63.19,65.19,62.79,64.59,64.59,584008
1994-01-04,64.59,65.58,64.19,64.79,64.79,644022
1994-01-05,64.59,64.79,64.19,64.39,64.39,467794
1994-01-06,64.39,64.79,63.59,63.79,63.79,369521
1994-01-07,63.39,65.78,63.39,65.58,65.58,753109
1994-01-10,65.78,65.78,64.19,64.59,64.59,579195
1994-01-11,64.59,64.79,63.59,63.99,63.99,486486
1994-01-12,63.59,64.39,63.19,63.99,63.99,662151
1994-01-13,63.99,64.39,63.59,63.79,63.79,505490
1994-01-14,63.39,63.99,63.39,63.79,63.79,621392
1994-01-17,63.59,63.59,62.99,63.19,63.19,725541
1994-01-18,63.99,63.99,63.19,63.19,63.19,469857
1994-01-19,63.19,63.99,62.99,63.39,63.39,373835
1994-01-20,63.39,63.39,62.79,62.79,62.79,253307
1994-01-21,62.99,63.59,62.79,62.79,62.79,423659
1994-01-24,62.39,63.59,61.99,63.19,63.19,627018
1994-01-25,63.39,63.59,62.99,63.39,63.39,427910
1994-01-26,63.19,64.79,62.99,64.39,64.39,876138
1994-01-27,64.79,65.98,64.19,65.78,65.78,895267
1994-01-28,66.38,67.78,66.38,66.38,66.38,721165
1994-01-31,66.98,68.98,65.78,67.38,67.38,690220
1994-02-01,66.78,68.38,65.78,67.58,67.58,510303
1994-02-02,67.78,68.58,67.38,68.58,68.58,241742
1994-02-03,67.98,67.98,66.58,67.18,67.18,218487
1994-02-04,66.78,66.98,62.19,62.19,62.19,779053
1994-02-07,61.59,63.79,61.59,63.59,63.59,1241347
1994-02-08,63.19,63.19,62.59,62.79,62.79,562753
1994-02-09,63.19,64.39,62.99,63.79,63.79,546687
1994-02-10,63.39,64.39,63.39,63.99,63.99,632082
1994-02-11,63.99,64.59,63.19,63.59,63.59,513617
1994-02-14,63.19,63.99,62.99,63.19,63.19,296754
1994-02-15,62.79,63.79,62.59,62.59,62.59,659213
1994-02-16,63.19,63.19,62.59,62.59,62.59,556252
1994-02-17,63.99,63.99,61.99,61.99,61.99,820563
1994-02-18,61.99,62.19,60.59,60.59,60.59,881077
1994-02-22,60.59,61.39,60.19,60.99,60.99,631394
1994-02-23,61.19,61.19,60.59,60.99,60.99,302506
1994-02-24,60.39,60.99,59.19,59.39,59.39,553063
1994-02-25,59.39,60.59,59.39,59.99,59.99,439225
1994-02-28,60.19,60.79,58.39,59.39,59.39,909958
1994-03-01,59.19,59.39,56.59,56.99,56.99,1223593
1994-03-02,56.59,56.99,55.59,56.39,56.39,1004667
1994-03-03,56.39,57.19,55.99,56.39,56.39,1385880
1994-03-04,56.79,57.99,56.59,56.99,56.99,859634
1994-03-07,57.79,57.99,57.19,57.19,57.19,875388
1994-03-08,57.39,57.79,55.39,55.99,55.99,1085311
1994-03-09,55.99,57.59,55.99,57.39,57.39,807372
1994-03-10,57.59,57.59,56.59,56.79,56.79,323761
1994-03-11,56.59,58.39,56.39,57.59,57.59,787742
1994-03-14,58.59,58.59,57.59,57.79,57.79,538435
1994-03-15,58.79,60.19,58.59,59.79,59.79,780491
1994-03-16,59.99,60.39,59.19,59.79,59.79,505177
1994-03-17,59.79,59.79,59.19,59.59,59.59,630456
1994-03-18,58.99,59.19,57.59,57.59,57.59,794056
1994-03-21,57.99,57.99,57.19,57.59,57.59,643522
1994-03-22,57.99,59.59,57.79,58.99,58.99,543061
1994-03-23,59.39,61.79,59.19,61.59,61.59,622329
1994-03-24,61.19,61.19,59.99,60.19,60.19,483985
1994-03-25,60.19,60.39,59.19,59.39,59.39,429473
1994-03-28,59.39,59.39,57.19,57.99,57.99,1097376
1994-03-29,57.59,57.79,55.59,55.79,55.79,672091
1994-03-30,55.99,56.79,54.99,55.19,55.19,609889
1994-03-31,55.59,56.59,54.99,56.39,56.39,539748
1994-04-04,53.99,55.59,53.99,55.59,55.59,704224
1994-04-05,56.79,56.99,55.79,56.59,56.59,538310
1994-04-06,56.19,56.99,55.39,55.99,55.99,598887
1994-04-07,55.99,56.39,54.79,56.19,56.19,409718
1994-04-08,56.19,56.39,55.79,56.19,56.19,326824
1994-04-11,56.59,59.19,56.19,57.99,57.99,688032
1994-04-12,57.99,59.39,57.99,58.19,58.19,491175
1994-04-13,57.99,58.39,55.99,57.39,57.39,534497
1994-04-14,57.19,57.59,56.39,56.79,56.79,368771
1994-04-15,56.39,57.19,56.39,56.79,56.79,385963
1994-04-18,56.79,57.59,55.39,55.59,55.59,739669
1994-04-19,55.19,56.19,55.19,55.59,55.59,500739
1994-04-20,55.59,56.19,53.59,55.39,55.39,637021
1994-04-21,54.99,56.19,53.99,53.99,53.99,678405
1994-04-22,54.19,56.39,54.19,56.39,56.39,571318
1994-04-25,55.99,56.59,54.99,55.39,55.39,284939
1994-04-26,55.99,56.39,54.79,55.79,55.79,485173
1994-04-28,56.19,57.19,54.79,54.99,54.99,489049
1994-04-29,54.59,55.59,54.59,55.59,55.59,441475
1994-05-02,55.19,55.59,54.39,54.99,54.99,470357
1994-05-03,54.79,55.79,54.79,55.59,55.59,320948
1994-05-04,55.39,56.59,55.19,56.39,56.39,302506
