Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,11.17,11.23,11.09,11.17,11.17,1671200
1994-01-04,11.17,11.42,11.17,11.38,11.38,2785600
1994-01-05,11.41,11.45,11.33,11.38,11.38,5270400
1994-01-06,11.48,11.5,11.42,11.44,11.44,2403200
1994-01-07,11.38,11.42,11.25,11.3,11.3,2629600
1994-01-10,11.3,11.33,11.14,11.31,11.31,4467200
1994-01-11,11.33,11.36,11.28,11.33,11.33,2544800
1994-01-12,11.34,11.41,11.23,11.33,11.33,4080800
1994-01-13,11.31,11.36,11.27,11.33,11.33,1844800
1994-01-14,11.33,11.34,11.25,11.31,11.31,2570400
1994-01-17,11.27,11.63,11.27,11.56,11.56,3272800
1994-01-18,11.61,11.7,11.55,11.59,11.59,3941600
1994-01-19,11.61,11.77,11.61,11.7,11.7,4100800
1994-01-20,11.7,11.95,11.7,11.75,11.75,3907200
1994-01-21,12.06,12.38,12.05,12.33,12.33,11616800
1994-01-24,12.47,12.66,12.47,12.53,12.53,9744000
1994-01-25,12.42,12.52,12.33,12.33,12.33,4816000
1994-01-26,12.33,12.45,12.33,12.41,12.41,4664800
1994-01-27,12.41,12.78,12.39,12.69,12.69,5628000
1994-01-28,12.88,12.95,12.83,12.95,12.95,4556800
1994-01-31,12.86,13.16,12.84,13.02,13.02,5609600
1994-02-01,13.08,13.2,13.03,13.2,13.2,5757600
1994-02-02,13.16,13.19,13.06,13.08,13.08,3497600
1994-02-03,13.08,13.17,13.03,13.17,13.17,2966400
1994-02-04,13.11,13.14,12.8,12.81,12.81,4957600
1994-02-07,12.88,13.16,12.84,13.16,13.16,7604000
1994-02-08,13.19,13.56,13.13,13.5,13.5,4887200
1994-02-09,13.55,13.64,13.5,13.61,13.61,4269600
1994-02-10,13.55,13.67,13.27,13.27,13.27,4655200
1994-02-11,13.16,13.27,13.11,13.14,13.14,5263200
1994-02-14,13.14,13.31,13.11,13.25,13.25,3365600
1994-02-15,13.28,13.45,13.23,13.44,13.44,3009600
1994-02-16,13.45,13.47,13.34,13.42,13.42,3346400
1994-02-17,13.47,13.63,13.44,13.59,13.59,4764000
1994-02-18,13.55,13.55,13.42,13.52,13.52,4696000
1994-02-22,13.52,13.84,13.42,13.83,13.83,6795200
1994-02-23,13.84,14.02,13.81,13.83,13.83,5747200
1994-02-24,13.81,13.81,13.53,13.58,13.58,5338400
1994-02-25,13.64,13.64,13.47,13.47,13.47,3237600
1994-02-28,13.48,13.64,13.48,13.55,13.55,2205600
1994-03-01,13.58,13.67,13.55,13.61,13.61,3908000
1994-03-02,13.38,14,13.38,14,14,4989600
