Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,7.75,7.78,7.59,7.61,7.61,4948000
1994-01-04,7.61,7.63,7.48,7.5,7.5,5761600
1994-01-05,7.47,7.47,7.38,7.47,7.47,4338400
1994-01-06,7.44,7.45,7.39,7.39,7.39,1756000
1994-01-07,7.38,7.5,7.31,7.5,7.5,2872000
1994-01-10,7.5,7.63,7.48,7.59,7.59,2419200
1994-01-11,7.59,7.66,7.58,7.64,7.64,3583200
1994-01-12,7.61,7.7,7.58,7.64,7.64,4645600
1994-01-13,7.64,7.64,7.58,7.59,7.59,2920000
1994-01-14,7.59,7.63,7.58,7.61,7.61,2965600
1994-01-17,7.61,7.61,7.52,7.53,7.53,1978400
1994-01-18,7.52,7.55,7.5,7.52,7.52,2364800
1994-01-19,7.44,7.45,7.39,7.42,7.42,3060800
1994-01-20,7.42,7.58,7.41,7.56,7.56,4000800
1994-01-21,7.63,7.63,7.5,7.53,7.53,4024000
1994-01-24,7.53,7.53,7.5,7.52,7.52,3230400
1994-01-25,7.5,7.52,7.41,7.44,7.44,4658400
1994-01-26,7.42,7.44,7.34,7.34,7.34,2643200
1994-01-27,7.34,7.42,7.31,7.41,7.41,3691200
1994-01-28,7.42,7.47,7.41,7.44,7.44,2386400
1994-01-31,7.47,7.52,7.45,7.45,7.45,2156800
1994-02-01,7.48,7.48,7.42,7.44,7.44,2233600
1994-02-02,7.47,7.61,7.45,7.59,7.59,2113600
1994-02-03,7.59,7.7,7.59,7.66,7.66,4738400
1994-02-04,7.69,7.73,7.61,7.61,7.61,4030400
1994-02-07,7.55,7.69,7.55,7.64,7.64,4610400
1994-02-08,7.64,7.69,7.59,7.67,7.67,4412000
1994-02-09,7.7,7.75,7.66,7.73,7.73,4428800
1994-02-10,7.75,7.75,7.61,7.61,7.61,3720800
1994-02-11,7.64,7.67,7.59,7.66,7.66,2372800
1994-02-14,7.67,7.78,7.67,7.75,7.75,3418400
1994-02-15,7.73,7.97,7.73,7.95,7.95,5399200
1994-02-16,7.95,8.11,7.94,8.11,8.11,3892000
1994-02-17,8.09,8.11,7.97,8.02,8.02,4147200
1994-02-18,8.02,8.03,7.92,7.95,7.95,3416800
1994-02-22,7.98,8.11,7.98,8.11,8.11,2520000
1994-02-23,8.11,8.11,8.03,8.08,8.08,2398400
1994-02-24,8.09,8.11,8.02,8.06,8.06,3008000
1994-02-25,8.08,8.17,8.05,8.16,8.16,4156800
1994-02-28,8.17,8.17,8.11,8.14,8.14,4858400
1994-03-01,8.11,8.11,8.02,8.08,8.08,2432800
1994-03-02,7.97,8.08,7.91,8.08,8.08,4295200
1994-03-03,8.06,8.08,7.98,8.02,8.02,3408800
1994-03-04,8.02,8.09,8,8.03,8.03,2567200
1994-03-07,8.06,8.16,8.06,8.13,8.13,1788000
1994-03-08,8.09,8.17,8.06,8.08,8.08,3905600
1994-03-09,8.08,8.16,8,8.11,8.11,2562400
1994-03-10,8.13,8.13,8.06,8.09,8.09,2764000
1994-03-11,8.08,8.09,8.02,8.06,8.06,1780000
1994-03-14,8.06,8.06,7.98,8,8,1501600
1994-03-15,8.05,8.16,7.98,8.05,8.05,3776000
1994-03-16,8.06,8.06,7.95,7.98,7.98,2754400
1994-03-17,8.02,8.03,7.91,7.91,7.91,2733600
1994-03-18,7.84,7.92,7.83,7.86,7.86,5092800
1994-03-21,7.86,7.86,7.8,7.83,7.83,2193600
1994-03-22,7.84,7.88,7.81,7.83,7.83,2183200
1994-03-23,7.56,7.67,7.53,7.58,7.58,5116800
1994-03-24,7.53,7.55,7.36,7.42,7.42,9742400
1994-03-25,7.42,7.48,7.41,7.44,7.44,3360800
