Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,21.84,22.09,21.78,22,22,3207600
1994-01-04,21.91,22.38,21.81,22.38,22.38,2058800
1994-01-05,22.38,22.69,22.28,22.69,22.69,4162400
1994-01-06,22.72,22.78,22.59,22.63,22.63,2320000
1994-01-07,22.63,22.88,22.47,22.84,22.84,1908800
1994-01-10,22.78,22.97,22.69,22.94,22.94,2501200
1994-01-11,22.69,22.78,22.59,22.69,22.69,1900000
1994-01-12,22.75,22.75,22.34,22.47,22.47,2799600
1994-01-13,22.31,22.47,22.25,22.41,22.41,2470800
1994-01-14,22.47,22.56,22.38,22.47,22.47,2416800
1994-01-17,22.41,22.59,22.38,22.47,22.47,1270000
1994-01-18,22.5,22.53,22.31,22.34,22.34,2068400
1994-01-19,22.31,22.5,22.31,22.5,22.5,2627600
1994-01-20,22.5,22.66,22.5,22.63,22.63,1726400
1994-01-21,22.66,22.91,22.63,22.84,22.84,4107600
1994-01-24,22.84,23.25,22.75,23.16,23.16,3846400
1994-01-25,23.19,23.22,22.94,23.13,23.13,1889200
1994-01-26,23.09,23.13,22.78,23,23,2459200
1994-01-27,23.06,23.09,22.84,22.94,22.94,2004400
1994-01-28,23.09,23.09,22.88,22.94,22.94,1445600
1994-01-31,23,23.44,22.97,23.34,23.34,1718000
1994-02-01,23.22,23.34,23.09,23.31,23.31,2051600
1994-02-02,23.38,23.56,23.34,23.47,23.47,2010400
1994-02-03,23.5,23.66,23.5,23.59,23.59,2034800
1994-02-04,23.34,23.56,23.06,23.16,23.16,2108400
1994-02-07,23.16,23.22,22.91,23.13,23.13,2824800
1994-02-08,23.19,23.22,22.88,22.94,22.94,1934000
1994-02-09,22.97,23.16,22.94,23.06,23.06,2256400
1994-02-10,23.03,23.09,22.81,22.84,22.84,1615200
1994-02-11,22.91,22.94,22.28,22.56,22.56,2513200
1994-02-14,22.63,22.81,22.41,22.47,22.47,2087600
1994-02-15,22.44,22.56,22.41,22.47,22.47,3060000
1994-02-16,22.47,22.5,22.25,22.38,22.38,2041600
1994-02-17,22.34,22.56,22.19,22.25,22.25,3952000
1994-02-18,22.19,22.22,21.97,22.06,22.06,3284000
1994-02-22,22,22.22,22,22.22,22.22,2048800
1994-02-23,22.19,22.22,22.06,22.16,22.16,1039600
1994-02-24,22.09,22.09,21.75,21.81,21.81,1900800
1994-02-25,21.84,21.94,21.41,21.44,21.44,3871200
1994-02-28,21.47,21.78,21.47,21.66,21.66,1853200
1994-03-01,21.69,21.75,21.16,21.28,21.28,2518800
1994-03-02,21.16,21.81,21.16,21.81,21.81,2478000
1994-03-03,21.81,22.19,21.59,22.19,22.19,3358400
1994-03-04,22.19,22.31,22.03,22.06,22.06,3260000
1994-03-07,22.13,22.19,21.84,21.91,21.91,2333600
1994-03-08,22.09,22.13,21.91,21.94,21.94,1984800
1994-03-09,21.94,22,21.75,21.94,21.94,1322000
1994-03-10,22.06,22.06,21.81,21.97,21.97,2044400
1994-03-11,21.94,22.13,21.81,22,22,2464800
1994-03-14,22.13,22.13,21.72,21.94,21.94,2062000
1994-03-15,21.94,22.03,21.91,22,22,1818400
1994-03-16,21.97,22.47,21.94,22.44,22.44,2376400
1994-03-17,22.38,22.88,22.38,22.88,22.88,2792000
1994-03-18,22.88,23.19,22.75,23.19,23.19,5238000
1994-03-21,23.03,23.03,22.69,22.72,22.72,2383200
1994-03-22,22.72,22.97,22.72,22.72,22.72,1986000
1994-03-23,22.75,22.78,22.66,22.75,22.75,1184000
1994-03-24,22.72,22.72,22.41,22.66,22.66,2107200
1994-03-25,22.59,22.63,22.34,22.38,22.38,3141200
1994-03-28,22.25,22.25,21.91,22.06,22.06,3943600
1994-03-29,22.03,22.09,21.78,21.81,21.81,1433600
1994-03-30,21.75,21.75,20.94,20.94,20.94,2850400
1994-03-31,21.13,21.19,20.59,21,21,3136400
1994-04-04,20.91,21.06,20.69,20.94,20.94,2580400
1994-04-05,21.19,21.41,21.13,21.34,21.34,2424800
1994-04-06,21.41,21.41,21.16,21.19,21.19,2422400
1994-04-07,21.19,21.38,21.13,21.31,21.31,1605200
1994-04-08,21.25,21.47,21.06,21.22,21.22,2504800
1994-04-11,21.28,21.56,21.22,21.5,21.5,2299600
1994-04-12,21.5,21.59,21.44,21.59,21.59,1562000
1994-04-13,21.63,21.66,21.41,21.5,21.5,1102800
1994-04-14,21.88,22.34,21.88,22.09,22.09,4256000
1994-04-15,22.22,22.75,22.19,22.66,22.66,4286800
1994-04-18,22.56,22.72,22.34,22.47,22.47,3811600
1994-04-19,22.53,22.94,22.53,22.81,22.81,2891600
1994-04-20,22.88,22.88,22.56,22.63,22.63,2986800
1994-04-21,22.66,22.72,22.41,22.5,22.5,2466800
1994-04-22,22.63,22.63,22.34,22.56,22.56,2077600
1994-04-25,22.5,23.22,22.41,23.16,23.16,2414400
1994-04-26,23.16,23.19,22.63,22.72,22.72,2765200
1994-04-28,22.63,22.63,22.03,22.16,22.16,4461200
1994-04-29,22.09,22.25,21.97,22.25,22.25,3086400
1994-05-02,22.25,22.25,21.94,21.97,21.97,2705600
1994-05-03,21.97,22.03,21.53,22,22,2585600
1994-05-04,21.94,22,21.63,21.78,21.78,2151200
1994-05-05,21.69,21.84,21.63,21.75,21.75,2313600
1994-05-06,21.84,22.41,21.78,22.28,22.28,4634400
1994-05-09,22.19,22.34,22.09,22.16,22.16,4194000
1994-05-10,22.22,22.38,22.13,22.28,22.28,2907200
1994-05-11,22.19,22.41,22.16,22.16,22.16,2527600
1994-05-12,22.22,22.44,22.13,22.44,22.44,1319200
1994-05-13,22.25,22.28,22.03,22.06,22.06,3169600
1994-05-16,22,22.13,21.91,22.13,22.13,1769200
1994-05-17,22.06,22.09,21.91,22.03,22.03,1722800
1994-05-18,21.88,21.88,21.19,21.63,21.63,5740400
1994-05-19,21.56,21.94,21.47,21.94,21.94,2945200
1994-05-20,21.97,22.25,21.63,22.19,22.19,5838000
1994-05-23,21.97,22,21.66,21.72,21.72,2748000
1994-05-24,21.75,21.81,21.59,21.81,21.81,3130800
1994-05-25,21.84,21.88,21.72,21.78,21.78,2097200
1994-05-26,21.81,21.88,21.75,21.81,21.81,1276000
1994-05-27,21.75,21.84,21.53,21.63,21.63,1542400
1994-05-31,21.75,22,21.75,21.75,21.75,1996400
1994-06-01,21.78,22.09,21.75,22.06,22.06,2029600
1994-06-02,22.13,22.16,21.97,22.13,22.13,1620000
1994-06-03,22.09,22.22,22.06,22.19,22.19,1648400
1994-06-06,22.25,22.25,21.91,21.94,21.94,1121600
1994-06-07,21.88,21.94,21.81,21.91,21.91,1198800
1994-06-08,21.94,22.03,21.84,22,22,1068000
1994-06-09,21.97,22.44,21.97,22.41,22.41,2030800
1994-06-10,22.44,22.78,22.44,22.69,22.69,3224800
1994-06-13,22.56,22.63,22.31,22.44,22.44,1409800
1994-06-14,22.44,22.44,22.06,22.31,22.31,2596400
1994-06-15,22.25,22.5,22.06,22.38,22.38,1959800
1994-06-16,22.13,22.25,21.81,22.13,22.13,2953400
1994-06-17,21.81,22,21.63,21.75,21.75,5580600
1994-06-20,21.5,21.88,21.44,21.56,21.56,2155600
1994-06-21,21.63,21.69,21.25,21.5,21.5,2383200
1994-06-22,21.5,21.81,21.44,21.81,21.81,1236400
1994-06-23,21.81,21.94,21.5,21.69,21.69,1778800
1994-06-24,21.5,21.56,20.75,20.81,20.81,1781600
1994-06-27,20.75,21.31,20.63,21.19,21.19,2589200
1994-06-28,21.25,21.38,20.81,21.06,21.06,1982000
1994-06-29,21.06,21.25,21,21.19,21.19,1387200
1994-06-30,21.19,21.25,20.81,20.94,20.94,2296800
1994-07-01,21.13,21.25,20.88,21.19,21.19,2092600
1994-07-05,21.19,21.5,21.13,21.44,21.44,1138400
1994-07-06,21.44,21.44,21.13,21.19,21.19,2028600
1994-07-07,21.19,21.31,21,21.13,21.13,1622200
1994-07-08,21.06,21.44,21.06,21.38,21.38,2158600
1994-07-11,21.38,21.56,21.31,21.5,21.5,2213200
1994-07-12,21.63,21.94,21.38,21.88,21.88,2724400
1994-07-13,22,22.13,21.56,21.69,21.69,2685800
1994-07-14,21.75,22,21.63,22,22,2138200
1994-07-15,22,22.44,22,22.44,22.44,3403800
1994-07-18,22.44,22.63,22.25,22.5,22.5,2091600
1994-07-19,22.44,22.69,22.44,22.56,22.56,1204400
1994-07-20,22.5,22.56,22.25,22.25,22.25,1199800
1994-07-21,22.31,22.31,21.88,22,22,1506400
1994-07-22,22.19,22.19,22,22.06,22.06,898600
1994-07-25,21.94,22.13,21.81,21.88,21.88,930400
1994-07-26,21,21.81,21,21.5,21.5,5606600
1994-07-27,21.5,21.5,21.31,21.44,21.44,1814400
1994-07-28,21.44,21.88,21.44,21.75,21.75,2696200
1994-07-29,21.88,22.38,21.88,22.19,22.19,1261400
1994-08-01,22.31,22.31,22,22.06,22.06,1212600
1994-08-02,22.06,22.09,21.63,21.75,21.75,1472600
1994-08-03,21.75,21.81,21.56,21.69,21.69,1218800
1994-08-04,21.56,21.63,21.31,21.38,21.38,3217800
1994-08-05,21.38,21.56,21.38,21.56,21.56,1186400
1994-08-08,21.63,21.69,21.44,21.56,21.56,1080600
1994-08-09,21.56,21.63,21.38,21.5,21.5,958800
1994-08-10,21.63,21.69,21.44,21.5,21.5,959200
1994-08-11,21.56,21.56,21,21.19,21.19,1807600
1994-08-12,21.19,21.38,21,21,21,1318800
1994-08-15,21.13,21.19,20.75,20.75,20.75,2004200
1994-08-16,20.94,21.06,20.63,21.06,21.06,1994400
1994-08-17,21,21.25,21,21.25,21.25,2284400
1994-08-18,21.25,21.38,21.06,21.19,21.19,1685200
1994-08-19,21.31,21.31,21.19,21.19,21.19,1457600
1994-08-22,21.19,21.31,21.13,21.25,21.25,931600
1994-08-23,21.19,21.25,21.06,21.13,21.13,1149400
1994-08-24,21.19,21.56,21.19,21.56,21.56,1853800
1994-08-25,21.5,21.56,21.25,21.31,21.31,1029400
1994-08-26,21.31,21.44,21.13,21.13,21.13,3089200
1994-08-29,21.19,21.38,21.19,21.25,21.25,2678800
1994-08-30,21.31,21.56,21.25,21.56,21.56,1396000
1994-08-31,21.38,21.44,21.06,21.19,21.19,3443600
1994-09-01,21.13,21.63,21.13,21.5,21.5,2064400
1994-09-02,21.69,21.75,21.44,21.5,21.5,1531200
1994-09-06,21.56,21.56,21.31,21.5,21.5,1141000
1994-09-07,21.5,21.63,21.44,21.56,21.56,2416200
1994-09-08,21.63,21.75,21.56,21.75,21.75,2000800
1994-09-09,21.56,21.75,21.56,21.69,21.69,2342400
1994-09-12,21.75,21.88,21.56,21.88,21.88,2122000
1994-09-13,21.88,21.88,21.63,21.75,21.75,1246000
1994-09-14,21.81,21.81,21.5,21.56,21.56,1323600
1994-09-15,21.56,21.63,21.38,21.63,21.63,1823800
1994-09-16,21.38,21.38,21.13,21.13,21.13,4147400
1994-09-19,21.19,21.19,20.56,20.56,20.56,3468400
1994-09-20,20.69,20.75,20.31,20.31,20.31,3950800
1994-09-21,20.25,20.25,19.94,20.25,20.25,3174200
1994-09-22,20.38,20.56,20.13,20.56,20.56,2335400
1994-09-23,20.56,20.69,20.44,20.63,20.63,1781200
1994-09-26,20.69,20.88,20.69,20.81,20.81,1311600
1994-09-27,20.81,20.94,20.63,20.75,20.75,1466600
1994-09-28,20.81,20.81,20.69,20.75,20.75,1474600
1994-09-29,20.75,20.81,20.69,20.69,20.69,938000
1994-09-30,20.75,20.94,20.75,20.81,20.81,1652000
1994-10-03,20.94,21,20.81,21,21,1519800
1994-10-04,20.94,21,20.69,20.75,20.75,1937800
1994-10-05,20.75,20.75,20.56,20.75,20.75,1437800
1994-10-06,20.69,20.69,20.5,20.63,20.63,1193200
1994-10-07,20.56,21.31,20.56,21.13,21.13,3236600
1994-10-10,21.13,21.25,20.94,21,21,1391200
