Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,11.24,11.38,11.21,11.21,11.21,1740498
1994-01-04,11.29,11.46,11.24,11.33,11.33,2109361
1994-01-05,11.38,11.49,11.33,11.49,11.49,3197301
1994-01-06,11.68,11.78,11.59,11.76,11.76,7377739
1994-01-07,11.78,11.78,11.64,11.71,11.71,2479735
1994-01-10,11.73,11.73,11.61,11.71,11.71,1765192
1994-01-11,11.71,11.73,11.61,11.68,11.68,2836502
1994-01-12,11.76,11.88,11.76,11.78,11.78,3213931
1994-01-13,11.71,11.73,11.49,11.59,11.59,2388023
1994-01-14,11.56,11.71,11.51,11.68,11.68,3811065
1994-01-17,11.64,11.91,11.64,11.83,11.83,3792923
1994-01-18,11.91,12,11.83,11.93,11.93,4478241
1994-01-19,11.98,12.1,11.96,12.08,12.08,2764948
1994-01-20,12.03,12.23,12.03,12.18,12.18,4547025
1994-01-21,12.23,12.48,12.21,12.48,12.48,7711832
1994-01-24,12.45,12.48,12.33,12.35,12.35,3940066
1994-01-25,12.31,12.31,12.08,12.15,12.15,4998274
1994-01-26,12.1,12.31,12.05,12.26,12.26,3675007
1994-01-27,12.31,12.5,11.98,12.43,12.43,6630943
1994-01-28,12.4,12.48,12.33,12.43,12.43,2455548
1994-01-31,12.48,12.7,12.45,12.6,12.6,3949640
1994-02-01,12.63,12.72,12.48,12.55,12.55,5520831
1994-02-02,12.5,12.72,12.45,12.63,12.63,4091742
1994-02-03,12.6,12.75,12.58,12.75,12.75,3704237
1994-02-04,12.8,12.9,12.65,12.72,12.72,8742830
1994-02-07,12.63,12.7,12.48,12.6,12.6,4886912
1994-02-08,12.63,12.68,12.55,12.6,12.6,3411966
1994-02-09,12.58,12.77,12.55,12.72,12.72,3214940
1994-02-10,12.77,12.9,12.72,12.8,12.8,3088458
1994-02-11,12.77,12.87,12.5,12.6,12.6,2528113
1994-02-14,12.63,12.72,12.55,12.65,12.65,1914854
1994-02-15,12.58,12.72,12.55,12.7,12.7,2569432
1994-02-16,12.7,12.9,12.68,12.9,12.9,2688353
1994-02-17,13.15,13.2,13.07,13.15,13.15,4326060
1994-02-18,13.17,13.2,13.03,13.17,13.17,3681561
1994-02-22,13.1,13.15,13,13,13,2448493
1994-02-23,12.95,12.95,12.58,12.72,12.72,4292299
1994-02-24,12.7,12.7,12.33,12.33,12.33,2803747
1994-02-25,12.43,12.58,12.43,12.58,12.58,2147659
1994-02-28,12.55,12.75,12.53,12.63,12.63,2468146
1994-03-01,12.58,12.7,12.38,12.58,12.58,3028995
1994-03-02,12.38,12.55,12.33,12.45,12.45,2658120
1994-03-03,12.4,12.4,12.18,12.35,12.35,2701960
1994-03-04,12.4,12.8,12.38,12.8,12.8,3249712
1994-03-07,12.75,13.1,12.75,13.1,13.1,3376193
1994-03-08,13.05,13.05,12.9,12.97,12.97,2356784
1994-03-09,12.92,12.95,12.87,12.92,12.92,2552800
1994-03-10,12.95,12.95,12.8,12.82,12.82,2441942
1994-03-11,12.82,12.82,12.68,12.75,12.75,1716818
1994-03-14,12.77,12.8,12.7,12.8,12.8,1545993
1994-03-15,12.8,12.8,12.63,12.63,12.63,1855892
1994-03-16,12.68,12.85,12.58,12.82,12.82,3456313
1994-03-17,12.85,13,12.7,12.97,12.97,2228790
1994-03-18,12.97,13,12.85,12.95,12.95,7395377
1994-03-21,12.9,12.92,12.75,12.8,12.8,2698432
1994-03-22,12.85,12.87,12.65,12.77,12.77,2252977
1994-03-23,12.75,13.07,12.72,13.05,13.05,2448997
1994-03-24,13,13.07,12.92,13,13,3212925
1994-03-25,12.8,12.82,12.72,12.75,12.75,1722863
1994-03-28,12.8,12.8,12.68,12.72,12.72,1774260
1994-03-29,12.72,12.72,12.15,12.15,12.15,3035549
1994-03-30,12.13,12.38,12.13,12.13,12.13,4579023
1994-03-31,12.15,12.31,11.73,11.93,11.93,4104342
1994-04-04,11.66,12.26,11.64,12.26,12.26,3858433
1994-04-05,12.48,12.6,12.35,12.38,12.38,3671482
1994-04-06,12.43,12.58,12.28,12.5,12.5,2688353
1994-04-07,12.5,12.55,12.35,12.55,12.55,2445974
1994-04-08,12.45,12.48,12.26,12.48,12.48,1883105
1994-04-11,12.45,12.6,12.31,12.6,12.6,1513238
1994-04-12,12.55,12.63,12.45,12.48,12.48,2401630
1994-04-13,12.53,12.53,12.28,12.31,12.31,2040326
1994-04-14,12.28,12.4,12.18,12.4,12.4,4132059
1994-04-15,12.38,12.45,12.38,12.4,12.4,3213429
1994-04-18,12.4,12.4,12.23,12.31,12.31,2422289
1994-04-19,12.26,12.28,11.88,12.1,12.1,3335876
1994-04-20,12,12.05,11.76,11.93,11.93,3040589
1994-04-21,11.93,12,11.81,11.91,11.91,4537200
1994-04-22,11.91,11.91,11.78,11.78,11.78,3399875
1994-04-25,11.78,12.33,11.78,12.26,12.26,5694682
1994-04-26,12.4,12.6,12.31,12.53,12.53,5430128
1994-04-28,12.7,12.77,12.35,12.35,12.35,4906567
1994-04-29,12.33,12.63,12.33,12.45,12.45,3178659
1994-05-02,12.55,12.8,12.53,12.72,12.72,4083681
1994-05-03,12.85,12.85,12.63,12.68,12.68,3838278
1994-05-04,12.63,12.65,12.6,12.63,12.63,1992956
1994-05-05,12.63,12.87,12.58,12.85,12.85,3139855
1994-05-06,12.72,12.72,12.48,12.55,12.55,2398604
1994-05-09,12.6,13.05,12.6,12.85,12.85,5216976
1994-05-10,12.95,13.03,12.82,12.85,12.85,5770265
1994-05-11,12.85,12.95,12.85,12.9,12.9,3553567
1994-05-12,12.97,12.97,12.92,12.97,12.97,1685574
1994-05-13,12.95,13.2,12.85,13.17,13.17,2789639
1994-05-16,13.15,13.37,13.12,13.25,13.25,6468184
1994-05-17,13.22,13.35,13.2,13.27,13.27,3486546
1994-05-18,13.35,13.37,13.17,13.37,13.37,3242152
1994-05-19,13.3,13.39,13.27,13.37,13.37,2946356
1994-05-20,13.37,13.39,13.22,13.3,13.3,6206653
1994-05-23,13.32,13.42,13.2,13.3,13.3,3967278
1994-05-24,13.37,13.47,13.27,13.44,13.44,3082414
1994-05-25,13.47,13.72,13.37,13.69,13.69,3794433
1994-05-26,13.67,13.84,13.59,13.79,13.79,3847852
1994-05-27,13.67,13.72,13.64,13.64,13.64,2220222
1994-05-31,13.64,13.64,13.54,13.54,13.54,1859425
1994-06-01,13.44,13.69,13.35,13.64,13.64,2730178
1994-06-02,13.67,13.67,13.49,13.64,13.64,1928458
1994-06-03,13.64,13.74,13.59,13.67,13.67,2537688
1994-06-06,13.62,13.74,13.49,13.59,13.59,2623352
1994-06-07,13.49,13.59,13.37,13.54,13.54,2904529
1994-06-08,13.57,13.57,13.42,13.47,13.47,2712542
1994-06-09,13.39,13.67,13.39,13.67,13.67,2633426
1994-06-10,13.62,13.67,13.57,13.59,13.59,1639717
1994-06-13,13.59,13.84,13.59,13.69,13.69,3226027
1994-06-14,13.79,13.92,13.74,13.87,13.87,4344203
1994-06-15,13.89,13.92,13.77,13.79,13.79,2851619
1994-06-16,13.82,13.84,13.79,13.84,13.84,2004548
1994-06-17,13.84,13.84,13.74,13.82,13.82,8341215
1994-06-20,13.67,13.67,13.49,13.49,13.49,3451275
1994-06-21,13.39,13.49,13.12,13.15,13.15,3547520
1994-06-22,13.25,13.37,13.22,13.3,13.3,3134313
1994-06-23,13.37,13.42,13.3,13.3,13.3,1983387
1994-06-24,13.17,13.17,12.85,12.87,12.87,2862202
1994-06-27,12.87,13.1,12.75,13.1,13.1,2533651
1994-06-28,13.1,13.17,12.97,13.03,13.03,2946860
1994-06-29,13.1,13.27,13.1,13.15,13.15,1958189
1994-06-30,13.15,13.2,12.92,12.97,12.97,2346705
1994-07-01,13.1,13.15,13,13,13,2173863
1994-07-05,13,13.1,12.97,13.03,13.03,2430353
1994-07-06,12.97,13.05,12.95,13.03,13.03,1723871
1994-07-07,13.22,13.27,13.1,13.2,13.2,3136330
1994-07-08,13.1,13.3,13.1,13.2,13.2,2983138
1994-07-11,13.22,13.22,12.95,13.1,13.1,2248440
1994-07-12,13.1,13.1,12.85,13.05,13.05,2003035
1994-07-13,13,13.22,12.95,13.22,13.22,3221488
1994-07-14,13.2,13.25,13.15,13.2,13.2,3858433
1994-07-15,13.2,13.37,13.2,13.37,13.37,5083434
1994-07-18,13.37,13.52,13.3,13.49,13.49,1923924
1994-07-19,13.49,13.62,13.44,13.62,13.62,1888647
1994-07-20,13.62,13.62,13.39,13.49,13.49,2381977
1994-07-21,13.47,13.49,13.3,13.42,13.42,2432869
1994-07-22,13.47,13.47,13.27,13.3,13.3,1186704
1994-07-25,13.3,13.37,13.25,13.32,13.32,950873
1994-07-26,13.35,13.35,13.22,13.3,13.3,896955
1994-07-27,13.35,13.49,13.35,13.42,13.42,2485784
1994-07-28,13.37,13.54,13.3,13.52,13.52,3275913
1994-07-29,13.57,13.94,13.57,13.72,13.72,6163817
1994-08-01,13.72,13.79,13.67,13.72,13.72,2096764
1994-08-02,13.79,13.92,13.74,13.84,13.84,3688109
1994-08-03,13.89,14.14,13.84,14.11,14.11,4463629
1994-08-04,14.07,14.09,13.94,13.99,13.99,3572715
1994-08-05,13.92,14.07,13.92,14.02,14.02,2096259
1994-08-08,14.07,14.16,13.94,13.94,13.94,2173358
1994-08-09,14.02,14.34,13.99,14.34,14.34,5826703
1994-08-10,14.34,14.41,14.16,14.19,14.19,5557613
1994-08-11,14.19,14.21,13.94,13.97,13.97,4760935
1994-08-12,13.97,14.02,13.79,13.87,13.87,3176138
1994-08-15,13.92,14.02,13.79,13.99,13.99,1577735
1994-08-16,13.99,14.21,13.87,14.02,14.02,2503922
1994-08-17,14.07,14.07,13.69,13.74,13.74,2711030
1994-08-18,13.74,13.87,13.64,13.82,13.82,2845070
1994-08-19,13.79,13.99,13.59,13.82,13.82,7845870
1994-08-22,13.87,13.87,13.59,13.62,13.62,2965001
1994-08-23,13.64,13.72,13.57,13.57,13.57,3209397
1994-08-24,13.57,13.72,13.57,13.69,13.69,4131048
1994-08-25,13.82,14.14,13.79,14.11,14.11,7300133
1994-08-26,14.16,14.31,14.02,14.21,14.21,3837269
1994-08-29,14.39,14.76,14.39,14.66,14.66,6948911
1994-08-30,14.64,14.88,14.54,14.88,14.88,6919686
1994-08-31,14.86,15.08,14.81,14.91,14.91,5174140
1994-09-01,14.86,14.88,14.74,14.81,14.81,2988683
1994-09-02,14.93,14.93,14.78,14.86,14.86,2715059
1994-09-06,14.83,14.93,14.78,14.81,14.81,2464114
1994-09-07,14.86,14.96,14.81,14.96,14.96,3826182
1994-09-08,14.91,15.21,14.91,15.18,15.18,4481766
1994-09-09,15.08,15.23,14.96,15.06,15.06,5189835
1994-09-12,15.08,15.11,14.93,14.93,14.93,3125243
1994-09-13,14.96,15.08,14.93,14.96,14.96,4627399
1994-09-14,14.98,14.98,14.86,14.88,14.88,1939545
1994-09-15,14.93,15.01,14.88,15.01,15.01,3192266
1994-09-16,14.96,14.96,14.83,14.93,14.93,6058000
1994-09-19,14.98,15.11,14.98,15.01,15.01,4009603
1994-09-20,14.88,14.93,14.76,14.78,14.78,4238378
1994-09-21,14.88,14.91,14.44,14.74,14.74,4921684
1994-09-22,14.88,14.88,14.76,14.81,14.81,4603716
1994-09-23,14.88,14.91,14.71,14.88,14.88,4813845
1994-09-26,14.88,14.96,14.81,14.93,14.93,3464377
1994-09-27,14.98,15.21,14.93,15.21,15.21,4636973
1994-09-28,15.26,15.6,15.21,15.58,15.58,6872316
1994-09-29,15.53,15.65,15.43,15.58,15.58,8377495
1994-09-30,15.6,15.73,15.48,15.53,15.53,4607244
1994-10-03,15.5,15.5,15.28,15.33,15.33,3777302
1994-10-04,15.43,15.48,14.69,14.71,14.71,5271396
1994-10-05,14.61,14.61,14.21,14.51,14.51,9133861
1994-10-06,14.56,14.56,14.21,14.51,14.51,5004827
1994-10-07,14.44,14.74,14.41,14.71,14.71,4468669
1994-10-10,14.83,14.86,14.78,14.81,14.81,2256504
1994-10-11,14.78,14.93,14.64,14.88,14.88,4800743
1994-10-12,14.86,14.86,14.74,14.76,14.76,2051413
1994-10-13,14.81,15.08,14.81,14.83,14.83,4540223
1994-10-14,14.86,15.11,14.76,15.11,15.11,2909569
1994-10-17,15.13,15.21,15.01,15.21,15.21,3307153
1994-10-18,15.21,15.23,15.06,15.08,15.08,1866478
1994-10-19,15.11,15.15,14.93,14.93,14.93,3823663
1994-10-20,14.93,14.98,14.83,14.88,14.88,3415998
1994-10-21,14.88,14.91,14.78,14.86,14.86,6499928
1994-10-24,14.91,14.96,14.78,14.86,14.86,2777044
1994-10-25,14.78,14.78,14.49,14.54,14.54,4874317
1994-10-26,14.64,14.64,14.34,14.51,14.51,3799981
1994-10-27,14.66,14.66,14.54,14.61,14.61,4725159
1994-10-28,14.64,14.86,14.64,14.74,14.74,6778587
1994-10-31,14.78,14.88,14.59,14.59,14.59,2933254
