Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,13.93,14.43,13.89,14.35,14.35,4184795
1994-01-04,14.47,14.85,14.43,14.85,14.85,5345565
1994-01-05,14.85,14.97,14.85,14.93,14.93,4584997
1994-01-06,15.06,15.22,14.97,15.1,15.1,6950634
1994-01-07,15.14,15.56,15.1,15.47,15.47,7673796
1994-01-10,15.47,15.93,15.39,15.89,15.89,9662950
1994-01-11,15.76,15.85,15.6,15.68,15.68,6720426
1994-01-12,15.68,15.68,15.39,15.51,15.51,4747086
1994-01-13,15.47,15.47,15.31,15.31,15.31,3719209
1994-01-14,15.39,15.85,15.35,15.85,15.85,5555702
1994-01-17,15.76,15.76,15.51,15.51,15.51,2932184
1994-01-18,15.56,15.64,15.39,15.6,15.6,3319311
1994-01-19,15.6,15.68,15.43,15.68,15.68,4251394
1994-01-20,15.64,15.85,15.64,15.76,15.76,4395540
1994-01-21,15.8,15.85,15.68,15.8,15.8,5077040
1994-01-24,15.8,15.89,15.6,15.6,15.6,2799290
1994-01-25,15.8,16.1,15.64,15.64,15.64,5356817
1994-01-26,15.64,15.76,15.51,15.68,15.68,3108566
1994-01-27,15.68,15.89,15.51,15.51,15.51,3562899
1994-01-28,15.6,15.76,15.39,15.68,15.68,5697111
1994-01-31,15.8,15.8,15.51,15.72,15.72,4522960
1994-02-01,15.85,15.93,15.56,15.68,15.68,2736036
1994-02-02,15.56,15.72,15.47,15.64,15.64,3166954
1994-02-03,15.64,15.93,15.51,15.6,15.6,2842473
1994-02-04,15.56,15.6,14.97,14.97,14.97,5584288
1994-02-07,14.97,15.6,14.93,15.51,15.51,5513431
1994-02-08,15.56,15.56,15.06,15.18,15.18,4405271
1994-02-09,15.26,15.31,14.89,15.06,15.06,4707552
1994-02-10,15.14,15.26,15.01,15.18,15.18,3843893
1994-02-11,15.18,15.35,15.1,15.26,15.26,2644805
1994-02-14,15.26,15.43,15.26,15.43,15.43,3043183
1994-02-15,15.47,15.56,15.43,15.56,15.56,2833654
1994-02-16,15.6,15.68,15.51,15.6,15.6,2148201
1994-02-17,15.64,15.72,15.26,15.56,15.56,3508768
1994-02-18,15.56,15.64,15.06,15.1,15.1,4395236
1994-02-22,15.26,15.39,15.18,15.26,15.26,3934820
1994-02-23,15.43,15.68,15.39,15.51,15.51,3630411
1994-02-24,15.56,15.89,15.43,15.76,15.76,4314952
1994-02-25,15.72,15.97,15.56,15.93,15.93,3927217
1994-02-28,16.01,16.18,15.72,15.97,15.97,5151850
1994-03-01,16.01,16.05,15.56,15.85,15.85,3402636
1994-03-02,15.6,15.68,15.47,15.56,15.56,3095793
1994-03-03,15.64,15.64,14.89,15.22,15.22,3145362
1994-03-04,15.18,15.47,15.1,15.35,15.35,3530360
1994-03-07,15.43,15.51,15.31,15.43,15.43,1959655
1994-03-08,15.43,15.51,15.31,15.43,15.43,1600811
1994-03-09,15.51,15.93,15.35,15.89,15.89,3610340
1994-03-10,15.85,15.89,15.47,15.6,15.6,2786518
1994-03-11,15.68,15.68,15.43,15.64,15.64,2133604
1994-03-14,15.76,15.85,15.14,15.26,15.26,6060821
1994-03-15,15.39,15.43,15.18,15.31,15.31,4889407
1994-03-16,15.35,15.39,15.14,15.22,15.22,2567258
1994-03-17,15.26,15.26,15.1,15.22,15.22,3353371
1994-03-18,15.26,15.64,15.14,15.64,15.64,7749518
1994-03-21,15.43,15.51,15.22,15.35,15.35,2616219
1994-03-22,15.43,15.68,15.35,15.56,15.56,2882311
1994-03-23,15.6,15.64,15.39,15.39,15.39,2451698
1994-03-24,15.31,15.39,15.01,15.06,15.06,3143538
1994-03-25,15.01,15.22,14.97,14.97,14.97,2216016
1994-03-28,15.01,15.01,14.56,14.64,14.64,4019970
1994-03-29,14.64,14.64,14.31,14.35,14.35,3879169
1994-03-30,14.27,14.72,14.02,14.06,14.06,5293259
1994-03-31,14.06,14.18,13.6,13.97,13.97,6473492
1994-04-04,13.64,14.14,13.64,13.85,13.85,5226964
1994-04-05,14.1,14.43,14.02,14.27,14.27,3885251
1994-04-06,14.27,14.35,14.06,14.1,14.1,3036189
1994-04-07,14.06,14.1,13.89,14.1,14.1,3095489
1994-04-08,13.97,14.18,13.89,13.89,13.89,1989458
1994-04-11,13.85,14.14,13.77,14.06,14.06,2715661
1994-04-12,14.1,14.18,14.02,14.06,14.06,2248860
1994-04-13,14.14,14.18,13.77,13.89,13.89,2549012
1994-04-14,13.89,13.93,13.73,13.77,13.77,2790167
1994-04-15,13.77,13.85,13.52,13.6,13.6,3836594
1994-04-18,13.56,13.57,13.27,13.31,13.31,3673594
1994-04-19,13.31,13.89,13.18,13.85,13.85,5559655
1994-04-20,13.93,14.1,13.48,13.6,13.6,3467106
1994-04-21,13.68,14.02,13.48,14.02,14.02,3877952
1994-04-22,14.22,14.35,14.14,14.18,14.18,3076939
1994-04-25,14.1,14.18,13.89,14.1,14.1,2046325
1994-04-26,14.39,14.56,14.39,14.47,14.47,3008515
1994-04-28,14.35,14.39,13.89,14.1,14.1,3696706
1994-04-29,14.14,14.35,14.02,14.14,14.14,2093766
1994-05-02,14.22,14.25,14.04,14.08,14.08,1754992
1994-05-03,14.06,14.39,13.93,14.27,14.27,3376483
1994-05-04,14.18,14.22,13.89,14.1,14.1,2692549
1994-05-05,14.14,14.27,14.02,14.1,14.1,1912215
1994-05-06,13.89,13.97,13.77,13.85,13.85,2186822
1994-05-09,13.77,13.85,13.56,13.56,13.56,1866295
1994-05-10,13.68,13.89,13.64,13.73,13.73,4961176
