Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,15.03,15.06,14.94,15,15,911200
1994-01-04,14.97,15.03,14.81,14.94,14.94,987600
1994-01-05,15,15.13,14.91,14.91,14.91,1313600
1994-01-06,14.97,15,14.78,14.78,14.78,1653600
1994-01-07,14.91,15.09,14.84,15.09,15.09,1046400
1994-01-10,15.16,15.53,15.13,15.47,15.47,2046400
1994-01-11,15.44,15.72,15.44,15.69,15.69,2938400
1994-01-12,15.63,15.75,15.47,15.66,15.66,1525200
1994-01-13,15.59,15.72,15.44,15.53,15.53,966800
1994-01-14,15.66,15.72,15.59,15.69,15.69,848800
1994-01-17,15.66,15.75,15.5,15.63,15.63,1430800
1994-01-18,15.66,15.66,15.47,15.56,15.56,2614000
1994-01-19,15.56,15.69,15.53,15.56,15.56,1372400
1994-01-20,15.63,15.75,15.56,15.75,15.75,1364800
1994-01-21,15.75,15.88,15.72,15.72,15.72,1452000
1994-01-24,15.72,15.78,15.66,15.78,15.78,879600
1994-01-25,15.72,15.75,15.66,15.72,15.72,1214800
1994-01-26,15.72,15.75,15.63,15.69,15.69,1679200
1994-01-27,15.69,15.69,15.56,15.56,15.56,852400
1994-01-28,15.63,15.66,15.47,15.5,15.5,1058800
1994-01-31,15.56,15.56,15.19,15.31,15.31,1588800
1994-02-01,15.31,15.5,15.25,15.38,15.38,1382800
1994-02-02,15.56,16.06,15.56,15.91,15.91,3944800
1994-02-03,15.88,15.97,15.72,15.94,15.94,1542000
1994-02-04,15.97,16,15.72,15.84,15.84,1102400
1994-02-07,15.69,16.25,15.66,16.19,16.19,2214800
1994-02-08,16.13,16.31,16.06,16.25,16.25,2113200
1994-02-09,16.19,16.47,16.13,16.47,16.47,2595600
1994-02-10,16.47,16.47,16.16,16.34,16.34,1661600
1994-02-11,16.34,16.47,16.16,16.16,16.16,1895600
1994-02-14,16.09,16.19,15.88,15.97,15.97,1278000
1994-02-15,16.09,16.19,15.97,16.19,16.19,1443600
1994-02-16,16.16,16.38,16.03,16.06,16.06,1065200
1994-02-17,16.09,16.13,15.69,15.78,15.78,1749600
1994-02-18,15.78,15.91,15.63,15.63,15.63,1070800
1994-02-22,15.69,16.25,15.69,16.25,16.25,1283200
1994-02-23,16.09,16.19,15.84,15.94,15.94,1516000
1994-02-24,15.81,15.94,15.75,15.84,15.84,1015200
1994-02-25,15.81,15.97,15.78,15.84,15.84,595600
1994-02-28,15.91,16.19,15.81,16.09,16.09,1062000
1994-03-01,16,16.03,15.81,15.88,15.88,868400
