Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,11.74,11.76,11.49,11.65,11.65,10458895
1994-01-04,11.65,11.85,11.56,11.74,11.74,9716332
1994-01-05,11.85,11.88,11.72,11.72,11.72,9591385
1994-01-06,11.76,11.81,11.58,11.69,11.69,7405895
1994-01-07,11.74,11.9,11.69,11.88,11.88,5672519
1994-01-10,11.99,12.36,11.95,12.36,12.36,17947540
1994-01-11,12.34,12.73,12.29,12.54,12.54,17447749
1994-01-12,12.52,12.61,12.31,12.41,12.41,15073742
1994-01-13,12.43,12.57,12.27,12.47,12.47,10189271
1994-01-14,12.5,12.61,12.5,12.54,12.54,8375336
1994-01-17,12.54,12.59,12.38,12.57,12.57,4109576
1994-01-18,12.68,12.75,12.57,12.61,12.61,8003781
1994-01-19,12.61,12.77,12.27,12.41,12.41,8984182
1994-01-20,12.38,12.43,12.2,12.34,12.34,7931991
1994-01-21,12.34,12.41,12.22,12.41,12.41,8475075
1994-01-24,12.31,12.34,12.04,12.06,12.06,9616593
1994-01-25,12.13,12.18,11.83,11.97,11.97,10713722
1994-01-26,11.95,11.99,11.81,11.92,11.92,6316438
1994-01-27,12.04,12.27,11.92,12.27,12.27,15031544
1994-01-28,12.38,12.38,11.92,11.99,11.99,8773196
1994-01-31,12.31,12.34,12.15,12.31,12.31,6300546
1994-02-01,12.31,12.54,12.22,12.27,12.27,8811009
1994-02-02,12.34,12.47,12.25,12.45,12.45,7488097
1994-02-03,12.5,12.8,12.43,12.75,12.75,17523375
1994-02-04,12.82,12.89,12.5,12.5,12.5,17757378
1994-02-07,12.45,12.66,12.22,12.66,12.66,13004979
1994-02-08,12.68,12.82,12.57,12.77,12.77,8482199
1994-02-09,12.64,12.8,12.57,12.59,12.59,16938642
1994-02-10,12.64,12.66,12.13,12.13,12.13,27801425
1994-02-11,12.08,12.08,11.88,12.04,12.04,12907432
1994-02-14,12.08,12.25,12.04,12.08,12.08,7667299
1994-02-15,12.11,12.18,11.97,12.18,12.18,9022544
1994-02-16,12.29,12.29,11.95,11.95,11.95,6758139
1994-02-17,12.11,12.13,11.81,11.88,11.88,11266123
1994-02-18,11.83,11.97,11.74,11.85,11.85,8770456
1994-02-22,11.95,11.95,11.69,11.85,11.85,7413019
1994-02-23,11.88,12.04,11.72,11.81,11.81,10958686
1994-02-24,11.72,11.76,11.4,11.49,11.49,14165678
1994-02-25,11.51,11.56,11.21,11.3,11.3,15232666
1994-02-28,11.42,11.53,11.4,11.42,11.42,10069255
1994-03-01,11.49,11.53,11.28,11.44,11.44,10155842
1994-03-02,11.4,11.79,11.21,11.74,11.74,17707509
1994-03-03,11.83,11.92,11.67,11.69,11.69,9076797
1994-03-04,11.76,12.02,11.6,11.97,11.97,11078153
1994-03-07,12.08,12.11,11.81,11.83,11.83,8018577
1994-03-08,11.85,11.9,11.72,11.72,11.72,6772936
1994-03-09,11.79,12.02,11.72,12.02,12.02,5165055
1994-03-10,12.04,12.06,11.81,11.95,11.95,5855008
1994-03-11,11.95,12.04,11.79,12.04,12.04,4710202
1994-03-14,12.04,12.04,11.83,11.83,11.83,4032853
1994-03-15,11.79,11.79,11.6,11.6,11.6,8145169
1994-03-16,11.49,11.69,11.3,11.69,11.69,10452867
1994-03-17,11.69,11.74,11.44,11.46,11.46,10190915
1994-03-18,11.26,11.46,11.26,11.3,11.3,16355552
1994-03-21,11.33,11.44,11.19,11.23,11.23,11001431
1994-03-22,11.35,11.35,11.23,11.33,11.33,4830217
