Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,11.55,11.56,11.33,11.34,11.34,1003200
1994-01-04,11.38,11.45,11.25,11.41,11.41,1740000
1994-01-05,11.39,11.47,11.39,11.42,11.42,557600
1994-01-06,11.42,11.47,11.33,11.44,11.44,368000
1994-01-07,11.45,11.48,11.34,11.47,11.47,280800
1994-01-10,11.36,11.45,11.31,11.45,11.45,334400
1994-01-11,11.45,11.45,11.41,11.45,11.45,231200
1994-01-12,11.45,11.48,11.44,11.47,11.47,420000
1994-01-13,11.45,11.59,11.42,11.5,11.5,437600
1994-01-14,11.53,11.56,11.47,11.56,11.56,870400
1994-01-17,11.53,11.58,11.53,11.55,11.55,403200
1994-01-18,11.53,11.63,11.53,11.59,11.59,232800
1994-01-19,11.63,11.67,11.58,11.64,11.64,154400
1994-01-20,11.66,11.84,11.64,11.81,11.81,437600
1994-01-21,11.69,11.69,11.38,11.53,11.53,1922400
1994-01-24,11.5,11.5,11.22,11.3,11.3,1072000
1994-01-25,11.33,11.42,11.33,11.41,11.41,343200
1994-01-26,11.47,11.69,11.45,11.45,11.45,762400
1994-01-27,11.47,11.55,11.47,11.5,11.5,1493600
1994-01-28,11.53,11.55,11.44,11.48,11.48,396800
1994-01-31,11.52,11.59,11.44,11.52,11.52,388800
1994-02-01,11.55,11.78,11.55,11.77,11.77,689600
1994-02-02,11.75,11.75,11.67,11.7,11.7,254400
1994-02-03,11.78,11.78,11.63,11.63,11.63,645600
1994-02-04,11.63,11.75,11.59,11.61,11.61,708000
1994-02-07,11.61,11.7,11.61,11.67,11.67,1104800
1994-02-08,11.7,11.78,11.66,11.78,11.78,540800
1994-02-09,11.81,11.84,11.7,11.73,11.73,652800
1994-02-10,11.81,11.81,11.59,11.64,11.64,378400
1994-02-11,11.61,11.78,11.61,11.77,11.77,259200
1994-02-14,11.8,11.86,11.77,11.83,11.83,324000
1994-02-15,11.86,11.91,11.77,11.89,11.89,506400
1994-02-16,11.88,11.88,11.69,11.75,11.75,2137600
1994-02-17,11.73,11.73,11.67,11.72,11.72,707200
1994-02-18,11.72,11.73,11.61,11.69,11.69,287200
1994-02-22,11.69,11.69,11.53,11.56,11.56,847200
1994-02-23,11.56,11.63,11.56,11.59,11.59,186400
1994-02-24,11.63,11.63,11.55,11.58,11.58,522400
