Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,41.72,41.77,41.37,41.47,41.47,3224515
1994-01-04,41.47,41.52,41.08,41.32,41.32,4202980
1994-01-05,41.42,41.42,41.08,41.08,41.08,3283694
1994-01-06,41.37,41.62,40.93,41.42,41.42,5464300
1994-01-07,41.37,41.72,41.17,41.62,41.62,2167061
1994-01-10,41.77,41.92,41.67,41.82,41.82,2766879
1994-01-11,41.87,42.22,41.87,42.12,42.12,3731802
1994-01-12,42.12,42.27,41.92,42.27,42.27,2226240
1994-01-13,42.17,42.17,41.92,41.97,41.97,2793208
1994-01-14,41.87,42.77,41.87,42.57,42.57,4224043
1994-01-17,42.62,42.82,42.42,42.72,42.72,2048202
1994-01-18,42.82,43.47,42.77,43.22,43.22,3472767
1994-01-19,43.07,43.37,42.97,43.37,43.37,2179852
1994-01-20,43.27,43.47,43.12,43.27,43.27,2753589
1994-01-21,43.07,43.17,42.87,43.07,43.07,4423397
1994-01-24,43.07,43.17,42.87,42.97,42.97,2149759
1994-01-25,42.92,43.07,42.62,42.67,42.67,2657297
1994-01-26,42.62,42.67,42.42,42.47,42.47,2185117
1994-01-27,42.47,43.22,42.27,43.17,43.17,2434122
1994-01-28,43.67,43.67,42.92,43.02,43.02,3198185
1994-01-31,42.97,43.22,42.77,42.97,42.97,3230784
1994-02-01,42.87,42.97,42.57,42.62,42.62,2272129
1994-02-02,42.77,43.52,42.57,43.52,43.52,3030176
1994-02-03,43.37,43.77,43.27,43.77,43.77,3412585
1994-02-04,43.62,43.67,42.47,42.47,42.47,3393527
1994-02-07,42.07,43.17,42.07,43.17,43.17,3370959
1994-02-08,43.07,43.12,42.57,42.77,42.77,1917055
1994-02-09,42.77,43.37,42.72,43.17,43.17,2132206
1994-02-10,43.02,43.12,42.47,42.47,42.47,1863142
1994-02-11,42.47,42.77,42.37,42.77,42.77,1513582
1994-02-14,42.62,43.37,42.62,43.12,43.12,2008081
1994-02-15,43.17,43.72,43.17,43.47,43.47,2923854
1994-02-16,43.37,43.57,43.12,43.37,43.37,2112648
1994-02-17,43.47,43.77,43.32,43.52,43.52,3073057
1994-02-18,43.52,43.67,43.07,43.07,43.07,3792988
1994-02-22,43.02,43.22,42.92,43.07,43.07,2008081
1994-02-23,43.07,43.17,42.77,42.82,42.82,1803712
1994-02-24,42.67,42.82,41.97,42.02,42.02,3040960
1994-02-25,42.07,42.12,41.72,41.92,41.92,2499569
1994-02-28,42.02,42.32,42.02,42.02,42.02,1899251
1994-03-01,42.07,42.47,42.02,42.12,42.12,3106156
1994-03-02,41.52,42.37,41.32,42.17,42.17,3386255
1994-03-03,42.22,42.22,41.62,41.87,41.87,2263103
1994-03-04,42.07,42.37,41.82,41.82,41.82,2696166
1994-03-07,42.02,42.27,41.87,42.17,42.17,1885460
1994-03-08,42.12,42.22,41.77,41.87,41.87,2082305
1994-03-09,41.92,42.07,41.52,42.02,42.02,2089326
1994-03-10,42.17,42.17,41.47,41.67,41.67,2173832
1994-03-11,41.52,41.97,41.42,41.97,41.97,1971218
1994-03-14,41.77,42.02,41.72,41.97,41.97,1928338
1994-03-15,41.87,41.87,41.52,41.82,41.82,2183111
1994-03-16,41.62,41.72,41.37,41.37,41.37,2663315
1994-03-17,41.47,41.52,40.83,41.08,41.08,3179379
1994-03-18,41.13,41.82,40.93,41.67,41.67,8493726
1994-03-21,41.72,41.77,41.37,41.47,41.47,2118666
1994-03-22,41.47,41.62,41.17,41.17,41.17,2177845
1994-03-23,41.27,41.52,41.17,41.42,41.42,1893985
1994-03-24,41.27,41.47,41.13,41.32,41.32,2403527
1994-03-25,41.42,41.62,40.73,40.73,40.73,2200916
1994-03-28,40.83,41.27,40.73,41.27,41.27,2220724
1994-03-29,41.22,41.32,40.78,40.78,40.78,2169820
1994-03-30,40.48,40.48,39.08,39.38,39.38,6636852
1994-03-31,39.73,39.93,38.53,39.88,39.88,5760698
1994-04-04,38.68,39.23,38.33,39.08,39.08,6856267
1994-04-05,39.38,39.58,38.93,39.43,39.43,4558056
1994-04-06,39.28,39.58,38.53,38.93,38.93,5949268
1994-04-07,39.18,39.28,38.83,39.18,39.18,3151545
1994-04-08,38.98,39.13,38.78,38.78,38.78,2888749
1994-04-11,38.88,39.43,38.73,39.23,39.23,2673847
1994-04-12,39.33,39.73,39.18,39.58,39.58,2113650
1994-04-13,39.48,39.48,38.93,39.43,39.43,2789950
1994-04-14,39.18,39.18,38.83,38.88,38.88,2074783
1994-04-15,38.78,38.98,38.48,38.58,38.58,3891034
1994-04-18,38.63,38.78,37.49,37.84,37.84,4456245
1994-04-19,37.74,38.53,37.59,38.08,38.08,4045501
1994-04-20,38.23,38.53,37.74,38.08,38.08,3532197
1994-04-21,38.13,38.48,37.84,38.38,38.38,2789699
1994-04-22,38.58,38.68,38.28,38.28,38.28,2042434
1994-04-25,38.23,38.63,38.13,38.58,38.58,3092365
1994-04-26,38.58,38.58,38.18,38.28,38.28,2735284
1994-04-28,39.08,39.08,38.33,38.53,38.53,2969994
1994-04-29,38.63,38.73,37.93,37.98,37.98,1914047
1994-05-02,37.98,38.23,37.93,38.23,38.23,2182860
1994-05-03,38.13,38.43,37.93,38.38,38.38,2764122
1994-05-04,38.43,39.18,38.08,39.03,39.03,3820571
1994-05-05,39.33,39.63,38.93,38.98,38.98,3436156
1994-05-06,38.73,38.83,38.18,38.53,38.53,2930375
1994-05-09,38.28,38.33,37.79,37.84,37.84,3346885
1994-05-10,38.38,38.43,37.79,37.88,37.88,3217745
1994-05-11,37.79,37.84,36.94,37.19,37.19,4077850
1994-05-12,37.29,37.44,37.19,37.39,37.39,2698672
1994-05-13,37.54,38.08,37.24,38.03,38.03,4196710
1994-05-16,37.88,38.08,37.49,37.79,37.79,1826530
1994-05-17,37.88,38.48,37.49,37.98,37.98,2825056
1994-05-18,38.08,38.38,37.59,38.18,38.18,2697294
1994-05-19,38.18,38.78,37.79,38.48,38.48,2776156
1994-05-20,38.48,38.58,37.69,37.98,37.98,4274069
1994-05-23,37.59,37.69,37.19,37.49,37.49,3031932
1994-05-24,37.69,38.38,37.59,37.88,37.88,2806625
1994-05-25,37.79,37.88,37.39,37.88,37.88,2377826
1994-05-26,38.08,38.78,38.08,38.68,38.68,2032279
1994-05-27,38.68,39.28,38.48,39.08,39.08,2170071
1994-05-31,38.88,39.78,38.78,39.68,39.68,2523142
1994-06-01,39.58,40.08,39.28,39.98,39.98,2454683
1994-06-02,40.18,40.18,39.78,39.88,39.88,1635201
1994-06-03,39.58,39.88,39.38,39.38,39.38,1967331
1994-06-06,39.48,39.58,38.78,38.88,38.88,2230002
1994-06-07,38.68,38.98,38.58,38.88,38.88,1761961
1994-06-08,39.08,39.18,38.28,38.38,38.38,2061869
1994-06-09,38.38,38.58,38.28,38.58,38.58,2072024
1994-06-10,38.38,38.48,37.98,38.08,38.08,2239031
1994-06-13,38.08,38.48,37.88,38.48,38.48,1631816
1994-06-14,38.58,38.68,38.18,38.28,38.28,2480260
1994-06-15,38.28,38.38,37.88,37.88,37.88,3538968
1994-06-16,37.88,38.28,37.79,38.28,38.28,2473867
1994-06-17,38.38,38.68,37.98,38.08,38.08,7173225
1994-06-20,37.88,38.18,37.49,37.79,37.79,2685382
1994-06-21,37.69,37.79,36.59,36.79,36.79,5101075
1994-06-22,36.89,36.99,35.89,36.49,36.49,6054211
1994-06-23,36.69,37.88,36.69,36.89,36.89,6505577
1994-06-24,36.79,37.59,36.49,36.89,36.89,3766281
1994-06-27,36.69,37.79,36.49,37.79,37.79,3883260
1994-06-28,37.49,37.69,37.19,37.69,37.69,2694283
1994-06-29,37.59,38.18,37.49,37.98,37.98,2847999
1994-06-30,38.08,38.08,37.19,37.19,37.19,2672218
1994-07-01,37.69,37.69,36.89,36.99,36.99,2400645
1994-07-05,37.19,37.69,36.99,37.49,37.49,2567650
1994-07-06,37.29,37.79,37.09,37.69,37.69,2146626
1994-07-07,37.88,37.98,37.59,37.79,37.79,1860258
1994-07-08,37.59,37.88,37.49,37.79,37.79,1777381
1994-07-11,37.79,37.88,37.19,37.69,37.69,1911412
1994-07-12,37.49,37.69,37.19,37.39,37.39,2230253
1994-07-13,37.49,37.79,37.29,37.39,37.39,1973351
1994-07-14,37.39,37.98,37.29,37.98,37.98,3116688
1994-07-15,37.98,38.48,37.88,38.18,38.18,3601031
1994-07-18,38.18,38.38,37.69,38.18,38.18,2034411
1994-07-19,38.18,39.08,38.08,38.98,38.98,2881476
1994-07-20,39.18,39.28,38.78,38.88,38.88,2194020
1994-07-21,38.98,39.08,38.68,38.68,38.68,1935736
1994-07-22,38.88,39.68,38.68,39.58,39.58,2158160
1994-07-25,39.58,39.98,39.48,39.78,39.78,2547464
1994-07-26,39.68,39.68,38.98,39.18,39.18,1432963
1994-07-27,39.28,39.28,38.68,38.88,38.88,2085816
1994-07-28,38.98,39.48,38.88,39.48,39.48,1276740
1994-07-29,39.48,40.38,39.28,40.18,40.18,3004473
1994-08-01,40.08,40.48,39.88,40.08,40.08,2179475
1994-08-02,40.28,40.58,39.88,39.88,39.88,2722621
1994-08-03,39.78,39.98,39.38,39.58,39.58,1961063
1994-08-04,39.38,39.58,38.58,38.68,38.68,4089511
1994-08-05,38.68,39.28,38.58,39.08,39.08,1327519
1994-08-08,39.38,39.58,39.08,39.48,39.48,1535398
1994-08-09,39.38,39.38,38.88,38.98,38.98,2152894
1994-08-10,39.18,39.28,37.98,38.48,38.48,3841760
1994-08-11,38.38,38.48,37.69,37.98,37.98,3076944
1994-08-12,38.18,38.48,37.98,38.38,38.38,3482922
1994-08-15,38.28,38.88,37.88,38.88,38.88,3990711
1994-08-16,38.58,38.78,38.38,38.68,38.68,3695066
1994-08-17,38.68,38.68,37.88,38.18,38.18,2673721
1994-08-18,37.69,37.88,37.29,37.59,37.59,5158748
1994-08-19,37.59,38.18,37.09,38.18,38.18,4965163
1994-08-22,37.98,38.38,37.88,38.08,38.08,1642599
1994-08-23,38.28,39.08,38.28,38.88,38.88,3033562
1994-08-24,38.98,39.28,38.68,39.28,39.28,2501450
1994-08-25,39.48,39.68,39.38,39.58,39.58,3735062
1994-08-26,39.88,40.78,39.78,40.48,40.48,4016163
1994-08-29,40.68,40.88,39.88,40.08,40.08,2521886
1994-08-30,40.18,40.28,39.48,39.88,39.88,2465968
1994-08-31,39.68,40.18,39.68,39.68,39.68,2428353
1994-09-01,39.88,40.18,39.78,40.08,40.08,1695885
1994-09-02,40.08,40.18,39.78,39.88,39.88,1500668
1994-09-06,40.08,40.08,39.28,39.38,39.38,1425064
1994-09-07,39.48,39.58,38.88,39.08,39.08,2020308
1994-09-08,39.08,39.48,39.08,39.18,39.18,1674069
1994-09-09,39.28,39.48,38.88,39.18,39.18,2275335
1994-09-12,39.38,39.48,39.08,39.18,39.18,1914422
1994-09-13,39.38,39.68,39.38,39.48,39.48,1535774
1994-09-14,39.78,40.38,39.68,40.08,40.08,2443901
1994-09-15,40.18,40.98,40.08,40.98,40.98,2520383
