Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,7.91,8.06,7.84,7.88,7.88,2598923
1994-01-04,7.91,8.19,7.81,8.06,8.06,2076788
1994-01-05,8.13,8.44,8.09,8.38,8.38,2569123
1994-01-06,8.41,8.56,8.38,8.47,8.47,2174164
1994-01-07,8.47,8.47,8.28,8.31,8.31,1175643
1994-01-10,8.38,8.47,8.31,8.38,8.38,1119820
1994-01-11,8.25,8.25,7.88,8,8,2795354
1994-01-12,8.06,8.06,7.88,8,8,1380048
1994-01-13,8.03,8.06,7.88,7.94,7.94,1404812
1994-01-14,8,8.19,7.97,8.06,8.06,1487917
1994-01-17,8.06,8.38,8.03,8.34,8.34,1228948
1994-01-18,8.34,8.5,8.34,8.5,8.5,1929046
1994-01-19,8.44,8.56,8.38,8.53,8.53,1774168
1994-01-20,8.5,8.56,8.44,8.53,8.53,1656646
1994-01-21,8.56,8.56,8.31,8.47,8.47,1476585
1994-01-24,8.41,8.44,8.25,8.25,8.25,1007754
1994-01-25,8.25,8.28,7.88,7.91,7.91,2734494
1994-01-26,7.88,7.88,7.56,7.69,7.69,6752500
1994-01-27,7.75,7.88,7.69,7.81,7.81,3361140
1994-01-28,7.88,7.88,7.78,7.81,7.81,1715827
1994-01-31,7.88,8.06,7.84,8.06,8.06,1151300
1994-02-01,8.13,8.19,7.94,8,8,2595985
1994-02-02,8.13,8.56,8.13,8.5,8.5,2923369
1994-02-03,8.5,8.5,8.38,8.44,8.44,1543321
1994-02-04,8.44,8.47,8.19,8.19,8.19,1784661
1994-02-07,8.06,8.25,8,8.25,8.25,2240480
1994-02-08,8.25,8.47,8.22,8.38,8.38,1994103
1994-02-09,8.34,8.34,8.06,8.09,8.09,1477424
1994-02-10,8.13,8.13,7.94,8,8,1151300
1994-02-11,8.06,8.16,7.97,8.13,8.13,762217
1994-02-14,8.09,8.19,7.75,7.81,7.81,3474045
1994-02-15,7.81,7.91,7.78,7.78,7.78,3710769
1994-02-16,7.81,7.81,7.66,7.72,7.72,2298402
1994-02-17,7.78,8,7.75,7.91,7.91,1454339
1994-02-18,7.94,8,7.84,7.91,7.91,1084144
1994-02-22,7.91,8.06,7.88,7.97,7.97,903243
1994-02-23,7.94,8.16,7.88,8.16,8.16,1708691
1994-02-24,8.06,8.09,7.97,8,8,1157176
1994-02-25,7.97,8,7.81,7.84,7.84,1214258
1994-02-28,7.91,8,7.84,7.84,7.84,729898
1994-03-01,7.78,7.88,7.59,7.59,7.59,1566825
1994-03-02,7.56,7.75,7.5,7.69,7.69,1816980
1994-03-03,7.66,7.84,7.56,7.69,7.69,1286031
1994-03-04,7.69,7.75,7.5,7.63,7.63,2356324
1994-03-07,7.66,7.69,7.47,7.5,7.5,2262725
1994-03-08,7.5,7.5,7.38,7.47,7.47,3402273
1994-03-09,7.56,7.63,7.41,7.53,7.53,1731356
1994-03-10,7.53,7.56,7.41,7.41,7.41,2476364
1994-03-11,7.38,7.72,7.38,7.69,7.69,1427897
1994-03-14,7.69,7.69,7.59,7.66,7.66,1241960
1994-03-15,7.63,7.66,7.59,7.63,7.63,2005855
1994-03-16,7.63,8.03,7.59,8.03,8.03,2152758
1994-03-17,8.03,8.28,8,8.25,8.25,2850337
1994-03-18,8.22,8.28,8.16,8.25,8.25,3083283
1994-03-21,8.22,8.22,8.06,8.16,8.16,1657905
1994-03-22,8.19,8.19,8.06,8.06,8.06,1223492
1994-03-23,8.06,8.19,8.06,8.09,8.09,769352
1994-03-24,8.09,8.16,8,8.16,8.16,820558
1994-03-25,8.19,8.25,8.06,8.09,8.09,1205024
1994-03-28,7.94,7.94,7.56,7.75,7.75,2764294
1994-03-29,7.63,7.63,7.53,7.53,7.53,3211299
1994-03-30,7.53,7.56,7.41,7.47,7.47,2363879
1994-03-31,7.47,7.5,7.19,7.31,7.31,6378947
1994-04-04,7.16,7.22,6.97,7.22,7.22,2167448
1994-04-05,7.22,7.44,7.22,7.38,7.38,2083924
1994-04-06,7.41,7.47,7.31,7.44,7.44,1365778
1994-04-07,7.5,7.53,7.34,7.41,7.41,1356964
1994-04-08,7.41,7.44,7.34,7.38,7.38,1644474
1994-04-11,7.38,7.44,7.28,7.31,7.31,1368716
1994-04-12,7.31,7.34,7.06,7.09,7.09,2658524
1994-04-13,7.19,7.19,6.97,7.06,7.06,2121699
1994-04-14,7.13,7.22,7.06,7.16,7.16,3153797
1994-04-15,7.16,7.63,7.06,7.56,7.56,4506983
1994-04-18,7.56,7.63,7.38,7.38,7.38,2052025
1994-04-19,7.38,7.38,7.25,7.28,7.28,1444266
1994-04-20,7.31,7.34,7.22,7.22,7.22,1843842
1994-04-21,7.28,7.31,7.16,7.31,7.31,1040912
1994-04-22,7.31,7.53,7.31,7.44,7.44,1749405
1994-04-25,7.5,7.69,7.34,7.66,7.66,2030199
1994-04-26,7.66,7.66,7.47,7.5,7.5,2047827
1994-04-28,7.5,7.5,7.34,7.47,7.47,1881617
1994-04-29,7.41,7.44,7.34,7.41,7.41,1030419
1994-05-02,7.34,7.53,7.31,7.47,7.47,1268822
1994-05-03,7.47,7.59,7.38,7.59,7.59,1122758
1994-05-04,7.53,7.63,7.41,7.5,7.5,1076169
1994-05-05,7.5,7.59,7.5,7.5,7.5,814682
1994-05-06,7.47,7.78,7.47,7.66,7.66,3713287
1994-05-09,7.56,7.63,7.47,7.47,7.47,1479523
1994-05-10,7.53,7.59,7.47,7.53,7.53,1497571
1994-05-11,7.56,7.59,7.47,7.56,7.56,743749
1994-05-12,7.59,7.66,7.44,7.5,7.5,1470289
1994-05-13,7.59,7.59,7.41,7.41,7.41,1174384
1994-05-16,7.44,7.56,7.41,7.56,7.56,1174384
1994-05-17,7.56,7.56,7.41,7.5,7.5,1895468
1994-05-18,7.53,7.63,7.5,7.59,7.59,2606478
1994-05-19,7.53,7.75,7.5,7.63,7.63,1960105
1994-05-20,7.69,7.78,7.66,7.78,7.78,1945415
1994-05-23,7.69,7.94,7.66,7.91,7.91,2269441
1994-05-24,7.91,7.91,7.78,7.81,7.81,1261267
1994-05-25,7.78,7.78,7.59,7.66,7.66,872184
1994-05-26,7.66,7.75,7.63,7.69,7.69,731997
1994-05-27,7.66,7.72,7.56,7.59,7.59,871764
1994-05-31,7.53,7.69,7.53,7.59,7.59,1273019
1994-06-01,7.63,7.84,7.63,7.78,7.78,1931144
1994-06-02,7.84,7.91,7.72,7.78,7.78,1022445
1994-06-03,7.75,7.88,7.75,7.84,7.84,1200407
1994-06-06,7.84,8,7.84,7.91,7.91,1011952
1994-06-07,7.88,7.97,7.72,7.88,7.88,939340
1994-06-08,7.84,7.88,7.75,7.75,7.75,1262946
1994-06-09,7.78,7.84,7.78,7.81,7.81,729898
1994-06-10,7.88,8.06,7.78,8.03,8.03,1325485
1994-06-13,8.03,8.16,8,8.16,8.16,812583
1994-06-14,8.16,8.22,8.03,8.09,8.09,708492
1994-06-15,8.13,8.16,8,8.13,8.13,714788
1994-06-16,8.09,8.13,8.06,8.13,8.13,785301
1994-06-17,8.06,8.28,8.03,8.25,8.25,2944355
1994-06-20,8.22,8.53,8.13,8.5,8.5,3558829
1994-06-21,8.41,8.69,8.41,8.66,8.66,4036894
1994-06-22,8.69,8.81,8.63,8.63,8.63,3963442
1994-06-23,8.63,8.75,8.59,8.69,8.69,3328821
1994-06-24,8.66,8.66,8.44,8.5,8.5,1983610
1994-06-27,8.5,8.59,8.47,8.53,8.53,1696939
1994-06-28,8.5,8.53,8.41,8.44,8.44,1081206
1994-06-29,8.34,8.69,8.34,8.53,8.53,1611316
1994-06-30,8.53,8.59,8.44,8.47,8.47,1155077
1994-07-01,8.5,8.53,8.47,8.5,8.5,748366
1994-07-05,8.44,8.69,8.44,8.63,8.63,3287269
1994-07-06,8.59,8.59,8.47,8.53,8.53,2032717
1994-07-07,8.5,8.66,8.47,8.5,8.5,3843401
1994-07-08,8.44,8.53,8.41,8.47,8.47,2035655
1994-07-11,8.5,8.53,8.44,8.5,8.5,2097774
1994-07-12,8.5,8.5,8.41,8.41,8.41,1679731
1994-07-13,8.44,8.56,8.38,8.41,8.41,2133451
1994-07-14,8.44,8.59,8.41,8.59,8.59,1256230
1994-07-15,8.59,8.78,8.56,8.63,8.63,2703434
1994-07-18,8.56,8.72,8.53,8.69,8.69,1469869
1994-07-19,8.69,8.78,8.66,8.69,8.69,1756120
1994-07-20,8.72,8.72,8.63,8.72,8.72,2184237
1994-07-21,8.72,8.72,8.5,8.66,8.66,1582775
1994-07-22,8.53,8.63,8.53,8.59,8.59,578798
1994-07-25,8.53,8.59,8.44,8.53,8.53,784042
1994-07-26,8.47,8.5,8.41,8.44,8.44,444067
1994-07-27,8.41,8.53,8.38,8.5,8.5,719405
1994-07-28,8.47,8.5,8.41,8.47,8.47,491915
1994-07-29,8.5,8.69,8.41,8.5,8.5,1242799
1994-08-01,8.53,8.69,8.5,8.63,8.63,1729678
1994-08-02,8.59,8.59,8.38,8.44,8.44,556552
1994-08-03,8.41,8.44,8.19,8.22,8.22,2256010
1994-08-04,8.25,8.25,7.88,7.94,7.94,2347090
1994-08-05,7.94,8.13,7.88,8.13,8.13,735774
1994-08-08,8.09,8.13,7.94,7.97,7.97,563268
1994-08-09,8.06,8.06,7.81,7.88,7.88,938920
1994-08-10,7.81,7.88,7.72,7.75,7.75,1311634
1994-08-11,7.75,7.75,7.59,7.66,7.66,1195370
1994-08-12,7.69,7.81,7.66,7.81,7.81,874702
1994-08-15,7.78,7.88,7.63,7.69,7.69,787400
1994-08-16,7.69,7.69,7.41,7.41,7.41,2594726
1994-08-17,7.44,7.44,7.25,7.34,7.34,3998279
1994-08-18,7.38,7.44,7.28,7.34,7.34,1703655
1994-08-19,7.41,7.41,7.28,7.28,7.28,1636079
1994-08-22,7.28,7.34,7.19,7.28,7.28,2431454
1994-08-23,7.31,7.38,7.28,7.31,7.31,2351707
1994-08-24,7.38,7.47,7.34,7.34,7.34,1546259
1994-08-25,7.34,7.41,7.31,7.38,7.38,2193891
1994-08-26,7.44,7.47,7.38,7.41,7.41,2028940
1994-08-29,7.47,7.53,7.44,7.5,7.5,3604159
1994-08-30,7.59,7.69,7.56,7.59,7.59,4454098
1994-08-31,7.59,7.66,7.53,7.56,7.56,1555912
1994-09-01,7.69,7.69,7.5,7.53,7.53,2936800
1994-09-02,7.59,7.63,7.56,7.56,7.56,784042
1994-09-06,7.59,7.59,7.53,7.56,7.56,551096
1994-09-07,7.59,7.72,7.56,7.63,7.63,1332620
1994-09-08,7.63,7.81,7.63,7.75,7.75,1511841
1994-09-09,7.69,7.69,7.56,7.56,7.56,769772
1994-09-12,7.56,7.63,7.5,7.5,7.5,659384
1994-09-13,7.56,7.66,7.53,7.66,7.66,1605440
1994-09-14,7.66,7.66,7.53,7.56,7.56,690444
1994-09-15,7.56,7.63,7.56,7.59,7.59,927587
1994-09-16,7.56,7.59,7.44,7.5,7.5,2258109
1994-09-19,7.63,7.66,7.53,7.66,7.66,1747726
1994-09-20,7.63,7.69,7.44,7.44,7.44,1839225
1994-09-21,7.47,7.66,7.47,7.53,7.53,3521054
1994-09-22,7.53,7.56,7.44,7.44,7.44,1101772
1994-09-23,7.47,7.72,7.47,7.72,7.72,1439229
1994-09-26,7.69,7.72,7.59,7.72,7.72,1079527
1994-09-27,7.72,7.88,7.72,7.75,7.75,2403333
1994-09-28,7.78,7.88,7.66,7.66,7.66,1415725
1994-09-29,7.72,7.78,7.66,7.69,7.69,946895
1994-09-30,7.69,7.94,7.63,7.88,7.88,2066715
1994-10-03,7.94,8.03,7.88,8,8,1568084
1994-10-04,8,8.03,7.88,7.91,7.91,1424959
1994-10-05,7.91,7.91,7.78,7.81,7.81,1259168
1994-10-06,7.81,8.03,7.78,7.94,7.94,962424
1994-10-07,7.94,8.38,7.91,8.25,8.25,6247993
1994-10-10,8.28,8.31,8.13,8.13,8.13,2219074
1994-10-11,8.06,8.09,7.94,7.97,7.97,1330941
1994-10-12,8.03,8.06,7.91,7.91,7.91,2000818
