Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,8.78,8.81,8.53,8.61,8.61,5246550
1994-01-04,8.61,8.72,8.47,8.72,8.72,5344200
1994-01-05,8.72,8.89,8.61,8.89,8.89,6868800
1994-01-06,8.97,9,8.44,8.47,8.47,11669400
1994-01-07,8.5,8.64,8.39,8.58,8.58,7797150
1994-01-10,8.64,8.69,8.56,8.69,8.69,7637850
1994-01-11,8.67,8.75,8.58,8.58,8.58,5314050
1994-01-12,8.67,8.75,8.58,8.75,8.75,6417000
1994-01-13,8.64,8.64,8.36,8.42,8.42,9364050
1994-01-14,8.39,8.42,8.25,8.39,8.39,9200700
1994-01-17,8.44,8.5,8.36,8.39,8.39,4719150
1994-01-18,8.39,8.44,8.17,8.22,8.22,7733700
1994-01-19,8.22,8.42,8.22,8.42,8.42,5967000
1994-01-20,8.47,8.47,8.25,8.28,8.28,6373800
1994-01-21,8.28,8.39,8.28,8.31,8.31,4883400
1994-01-24,8.33,8.39,8.11,8.14,8.14,8982000
1994-01-25,8.14,8.33,8.11,8.28,8.28,7004700
1994-01-26,8.31,8.39,8.28,8.39,8.39,5764950
1994-01-27,8.42,8.58,8.39,8.56,8.56,5739300
1994-01-28,8.67,8.81,8.64,8.75,8.75,9475650
1994-01-31,8.83,8.83,8.67,8.67,8.67,5693850
1994-02-01,8.67,8.75,8.61,8.67,8.67,6521400
1994-02-02,8.69,8.78,8.67,8.72,8.72,3344400
1994-02-03,8.69,8.72,8.56,8.61,8.61,5442750
1994-02-04,8.58,8.86,8.28,8.31,8.31,7113150
1994-02-07,8.25,8.67,8.25,8.67,8.67,7591950
1994-02-08,8.67,8.75,8.61,8.67,8.67,6885450
1994-02-09,8.81,8.86,8.72,8.83,8.83,6046650
1994-02-10,8.86,9,8.81,8.81,8.81,6683400
1994-02-11,8.81,8.83,8.58,8.75,8.75,3012300
1994-02-14,8.78,8.83,8.69,8.75,8.75,2838150
1994-02-15,8.75,8.86,8.75,8.83,8.83,3240450
1994-02-16,8.86,8.92,8.81,8.86,8.86,2765700
1994-02-17,8.86,8.94,8.64,8.75,8.75,3666600
1994-02-18,8.72,8.78,8.58,8.67,8.67,3227400
1994-02-22,8.44,8.92,8.44,8.92,8.92,8430300
1994-02-23,9.06,9.42,9,9.42,9.42,16460550
1994-02-24,9.28,9.44,9.19,9.22,9.22,10444500
1994-02-25,9.25,9.28,9.03,9.17,9.17,8256150
1994-02-28,9.22,9.31,9.14,9.25,9.25,7194600
1994-03-01,9.25,9.25,9.08,9.14,9.14,4949550
1994-03-02,8.86,9.11,8.83,9.11,9.11,5756850
1994-03-03,9.11,9.14,9,9.08,9.08,6019200
1994-03-04,9.19,9.39,9.14,9.33,9.33,7274700
1994-03-07,9.36,9.36,9.28,9.28,9.28,4020300
1994-03-08,9.33,9.5,9.28,9.5,9.5,7622550
1994-03-09,9.56,9.56,9.36,9.42,9.42,5340600
1994-03-10,9.42,9.44,9.25,9.31,9.31,4137300
1994-03-11,9.33,9.39,9.25,9.36,9.36,4186800
1994-03-14,9.53,9.53,9.36,9.5,9.5,5069250
1994-03-15,9.53,9.56,9.47,9.53,9.53,5635350
1994-03-16,9.53,9.56,9.47,9.56,9.56,3153150
1994-03-17,9.53,9.58,9.44,9.47,9.47,3991950
1994-03-18,9.44,9.44,9.31,9.36,9.36,7594200
1994-03-21,9.36,9.61,9.33,9.56,9.56,6837750
1994-03-22,9.56,9.64,9.42,9.64,9.64,5480100
1994-03-23,9.58,9.92,9.58,9.86,9.86,8453250
1994-03-24,9.72,9.81,9.47,9.61,9.61,7625700
1994-03-25,9.61,9.75,9.53,9.64,9.64,3680100
1994-03-28,9.64,9.67,9.36,9.47,9.47,5032350
1994-03-29,9.5,9.5,9.06,9.06,9.06,4596750
1994-03-30,9.08,9.22,8.92,9.06,9.06,11243250
1994-03-31,9.06,9.11,8.67,9.06,9.06,9322200
1994-04-04,8.83,9,8.78,8.94,8.94,6144300
1994-04-05,9.28,9.44,9.14,9.44,9.44,7245900
1994-04-06,9.44,9.5,9.33,9.39,9.39,5432850
1994-04-07,9.39,9.56,9.36,9.53,9.53,5531850
1994-04-08,9.56,9.56,9.39,9.47,9.47,3578850
1994-04-11,9.44,9.61,9.42,9.56,9.56,4852350
1994-04-12,9.56,9.58,9.28,9.33,9.33,3594600
1994-04-13,9.36,9.36,9.14,9.28,9.28,2639250
1994-04-14,9.22,9.36,9.14,9.25,9.25,3640050
1994-04-15,9.25,9.36,9.17,9.28,9.28,4049100
1994-04-18,9.36,9.36,9,9,9,4030200
1994-04-19,8.94,9.03,8.81,8.92,8.92,5031900
1994-04-20,8.92,9.03,8.78,8.81,8.81,3696300
1994-04-21,8.94,9.17,8.81,9.17,9.17,4853700
1994-04-22,9.19,9.22,9.08,9.19,9.19,3077100
1994-04-25,9.22,9.31,9.14,9.28,9.28,2260350
1994-04-26,9.28,9.31,9.22,9.31,9.31,2251350
1994-04-28,9.33,9.33,9.11,9.14,9.14,2815200
1994-04-29,9.17,9.33,9.11,9.33,9.33,3037950
1994-05-02,9.39,9.53,9.31,9.39,9.39,3243600
1994-05-03,9.42,9.42,9.19,9.31,9.31,2232000
1994-05-04,9.28,9.53,9.25,9.5,9.5,2907450
1994-05-05,9.47,9.53,9.39,9.5,9.5,2335050
1994-05-06,9.28,9.33,9.19,9.28,9.28,3701250
1994-05-09,9.17,9.28,9,9.06,9.06,2911500
1994-05-10,9.25,9.25,9.08,9.14,9.14,3687750
1994-05-11,9.17,9.17,8.86,8.89,8.89,4153050
1994-05-12,8.89,8.97,8.81,8.89,8.89,4963050
