Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,3.47,3.49,3.43,3.44,3.44,14309097
1994-01-04,3.44,3.5,3.44,3.47,3.47,8012008
1994-01-05,3.49,3.52,3.45,3.51,3.51,17081443
1994-01-06,3.54,3.63,3.54,3.61,3.61,27870318
1994-01-07,3.61,3.68,3.59,3.67,3.67,16907468
1994-01-10,3.67,3.72,3.63,3.7,3.7,18351255
1994-01-11,3.68,3.75,3.66,3.74,3.74,18796368
1994-01-12,3.76,3.76,3.72,3.76,3.76,20425430
1994-01-13,3.73,3.8,3.7,3.78,3.78,21835328
1994-01-14,3.81,3.88,3.79,3.87,3.87,20694303
1994-01-17,3.85,3.88,3.85,3.86,3.86,13836874
1994-01-18,3.83,3.86,3.82,3.82,3.82,13012171
1994-01-19,3.78,3.79,3.73,3.74,3.74,13192931
1994-01-20,3.74,3.74,3.66,3.68,3.68,14085412
1994-01-21,3.7,3.75,3.69,3.75,3.75,15056977
1994-01-24,3.75,3.78,3.69,3.71,3.71,14250353
1994-01-25,3.71,3.74,3.65,3.67,3.67,16704114
1994-01-26,3.67,3.7,3.63,3.65,3.65,14270688
1994-01-27,3.63,3.71,3.62,3.67,3.67,12657440
1994-01-28,3.7,3.76,3.68,3.76,3.76,13708083
1994-01-31,3.77,3.84,3.76,3.77,3.77,18285731
1994-02-01,3.78,3.78,3.72,3.72,3.72,12015757
1994-02-02,3.73,3.8,3.71,3.8,3.8,13778126
1994-02-03,3.78,3.78,3.7,3.72,3.72,13382721
1994-02-04,3.71,3.77,3.57,3.58,3.58,17989744
1994-02-07,3.57,3.68,3.57,3.65,3.65,19108170
1994-02-08,3.66,3.7,3.64,3.67,3.67,8176949
1994-02-09,3.72,3.76,3.7,3.75,3.75,13041545
1994-02-10,3.76,3.78,3.76,3.76,3.76,13940806
1994-02-11,3.75,3.77,3.7,3.75,3.75,10181081
1994-02-14,3.73,3.78,3.71,3.73,3.73,9600401
1994-02-15,3.74,3.78,3.74,3.78,3.78,16238670
1994-02-16,3.94,3.99,3.92,3.94,3.94,59667567
1994-02-17,3.94,3.99,3.89,3.97,3.97,38837693
1994-02-18,3.96,3.98,3.86,3.94,3.94,32461522
1994-02-22,3.93,4.01,3.92,3.99,3.99,23468910
1994-02-23,3.99,4.14,3.97,4.06,4.06,52683607
1994-02-24,4.03,4.12,4.01,4.07,4.07,29562648
1994-02-25,4.1,4.1,4.03,4.03,4.03,17167301
1994-02-28,4.03,4.12,4.01,4.01,4.01,17149227
1994-03-01,3.99,4.03,3.92,3.98,3.98,21464777
1994-03-02,3.92,3.98,3.88,3.97,3.97,32746214
1994-03-03,3.98,4.05,3.95,3.96,3.96,23988586
1994-03-04,3.98,4.01,3.93,3.94,3.94,17192156
1994-03-07,3.96,3.98,3.88,3.89,3.89,16491729
1994-03-08,3.91,3.93,3.88,3.89,3.89,14657052
1994-03-09,3.93,3.97,3.88,3.94,3.94,13721642
1994-03-10,3.94,3.98,3.94,3.98,3.98,13827833
1994-03-11,3.99,4.04,3.98,4,4,13845909
1994-03-14,4.02,4.02,3.98,3.99,3.99,9342823
1994-03-15,3.98,3.99,3.94,3.98,3.98,13525067
1994-03-16,4.01,4.02,3.96,4,4,10149451
1994-03-17,3.99,4.02,3.97,3.98,3.98,11600018
1994-03-18,3.96,3.97,3.92,3.94,3.94,25956564
1994-03-21,3.93,3.94,3.88,3.88,3.88,10517742
1994-03-22,3.86,3.86,3.8,3.8,3.8,22888230
1994-03-23,3.81,3.9,3.77,3.81,3.81,24917216
1994-03-24,3.81,3.83,3.7,3.73,3.73,22156169
1994-03-25,3.76,3.78,3.71,3.72,3.72,14017629
1994-03-28,3.75,3.75,3.65,3.7,3.7,12955687
1994-03-29,3.68,3.73,3.54,3.55,3.55,20938326
1994-03-30,3.55,3.61,3.48,3.54,3.54,34669007
1994-03-31,3.56,3.65,3.5,3.63,3.63,21550635
1994-04-04,3.58,3.62,3.54,3.58,3.58,24930776
1994-04-05,3.64,3.67,3.62,3.64,3.64,25283247
1994-04-06,3.64,3.67,3.6,3.61,3.61,15235472
1994-04-07,3.63,3.72,3.61,3.71,3.71,14526006
1994-04-08,3.7,3.7,3.59,3.67,3.67,12569322
1994-04-11,3.62,3.68,3.59,3.67,3.67,18211169
1994-04-12,3.66,3.66,3.61,3.62,3.62,15777743
1994-04-13,3.65,3.65,3.5,3.57,3.57,23001202
1994-04-14,3.54,3.57,3.47,3.49,3.49,18109491
1994-04-15,3.46,3.47,3.41,3.46,3.46,18159200
1994-04-18,3.45,3.47,3.39,3.44,3.44,12198772
1994-04-19,3.44,3.53,3.28,3.38,3.38,35303912
1994-04-20,3.38,3.42,3.34,3.36,3.36,28417109
1994-04-21,3.4,3.5,3.37,3.49,3.49,17583040
1994-04-22,3.49,3.52,3.4,3.41,3.41,11048713
1994-04-25,3.42,3.54,3.41,3.54,3.54,11868890
1994-04-26,3.51,3.54,3.47,3.5,3.5,9900908
1994-04-28,3.49,3.52,3.46,3.49,3.49,11613573
1994-04-29,3.54,3.59,3.52,3.55,3.55,15328110
1994-05-02,3.57,3.64,3.56,3.6,3.6,10651048
1994-05-03,3.61,3.62,3.51,3.57,3.57,8701140
1994-05-04,3.58,3.6,3.55,3.59,3.59,7361285
1994-05-05,3.61,3.61,3.57,3.59,3.59,8683065
1994-05-06,3.56,3.56,3.39,3.4,3.4,22416007
1994-05-09,3.45,3.48,3.39,3.4,3.4,12641621
1994-05-10,3.47,3.49,3.45,3.47,3.47,13030250
1994-05-11,3.49,3.52,3.46,3.5,3.5,14008590
1994-05-12,3.53,3.54,3.49,3.49,3.49,9600401
1994-05-13,3.49,3.54,3.44,3.54,3.54,14715801
1994-05-16,3.54,3.57,3.46,3.46,3.46,15219657
1994-05-17,3.41,3.49,3.3,3.39,3.39,63827217
1994-05-18,3.4,3.52,3.38,3.51,3.51,41553551
1994-05-19,3.52,3.59,3.5,3.58,3.58,32834332
1994-05-20,3.58,3.67,3.57,3.62,3.62,23064470
1994-05-23,3.59,3.65,3.58,3.61,3.61,11681356
