Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,13.58,13.79,13.58,13.76,13.76,5991850
1994-01-04,13.88,14.12,13.85,14.09,14.09,7733959
1994-01-05,14.09,14.3,13.97,14.21,14.21,10762549
1994-01-06,14.33,14.33,13.97,13.97,13.97,9966037
1994-01-07,13.97,14.18,13.85,14.06,14.06,6108270
1994-01-10,14.06,14.21,13.97,14.15,14.15,7265349
1994-01-11,14.12,14.18,13.97,14,14,7079831
1994-01-12,14.03,14.06,13.88,13.88,13.88,6294625
1994-01-13,13.91,14.09,13.91,14.03,14.03,7555561
1994-01-14,14.03,14.21,13.94,14,14,6641791
1994-01-17,13.97,13.97,13.64,13.73,13.73,6399319
1994-01-18,13.7,13.7,13.46,13.64,13.64,9447173
1994-01-19,13.55,13.61,13.31,13.37,13.37,8205920
1994-01-20,13.34,13.34,13.16,13.19,13.19,9541816
1994-01-21,13.16,13.28,13.07,13.19,13.19,13302846
1994-01-24,13.31,14.03,13.31,14,14,17669430
1994-01-25,14.06,14.18,13.22,13.91,13.91,42526301
1994-01-26,14.03,14.03,13.37,13.46,13.46,17126273
1994-01-27,13.52,13.73,13.49,13.64,13.64,9276731
1994-01-28,13.88,13.88,13.73,13.79,13.79,6465486
1994-01-31,13.82,13.82,13.49,13.49,13.49,8762474
1994-02-01,13.58,13.7,13.49,13.49,13.49,7782537
1994-02-02,13.49,13.49,13.25,13.46,13.46,9017090
1994-02-03,13.43,13.58,13.31,13.31,13.31,7386375
1994-02-04,13.25,13.28,12.42,12.42,12.42,14908015
1994-02-07,12.51,13.04,12.48,12.95,12.95,17248560
1994-02-08,13.07,13.07,12.75,12.81,12.81,8412377
1994-02-09,12.86,12.95,12.69,12.69,12.69,8288000
1994-02-10,12.75,12.81,12.6,12.63,12.63,6556361
1994-02-11,12.54,12.75,12.42,12.72,12.72,8314802
1994-02-14,12.75,13.04,12.75,12.89,12.89,7846610
1994-02-15,12.98,13.04,12.89,13.01,13.01,7233940
1994-02-16,13.19,13.19,13.01,13.04,13.04,6263636
1994-02-17,13.1,13.13,12.54,12.6,12.6,9590813
1994-02-18,12.57,12.63,12.45,12.57,12.57,11217759
1994-02-22,12.57,12.86,12.57,12.81,12.81,5347353
1994-02-23,12.84,12.95,12.72,12.78,12.78,5005213
1994-02-24,12.72,12.75,12.57,12.63,12.63,6921952
1994-02-25,12.75,12.75,12.57,12.63,12.63,4446147
1994-02-28,12.69,12.72,12.57,12.63,12.63,4023183
1994-03-01,12.63,12.86,12.54,12.81,12.81,8521677
1994-03-02,12.6,12.78,12.45,12.66,12.66,11399508
1994-03-03,12.63,12.75,12.57,12.57,12.57,6769518
1994-03-04,12.72,12.72,12.51,12.57,12.57,7210070
1994-03-07,12.66,12.66,12.45,12.48,12.48,7469712
1994-03-08,12.45,13.1,12.27,13.07,13.07,19450063
1994-03-09,13.13,13.31,13.07,13.22,13.22,15662650
1994-03-10,13.25,13.43,13.16,13.37,13.37,12678451
1994-03-11,13.4,13.43,13.19,13.34,13.34,7070199
1994-03-14,13.4,13.82,13.34,13.73,13.73,12211515
1994-03-15,13.79,13.94,13.7,13.7,13.7,10270487
1994-03-16,13.76,13.91,13.64,13.91,13.91,7887231
1994-03-17,13.91,13.91,13.73,13.82,13.82,7932040
1994-03-18,13.82,13.82,13.55,13.64,13.64,13623941
1994-03-21,13.58,14.06,13.55,14,14,11311146
1994-03-22,13.85,14,13.79,13.91,13.91,7744429
1994-03-23,13.61,13.7,13.52,13.67,13.67,11151592
1994-03-24,13.58,13.64,13.37,13.46,13.46,8546804
1994-03-25,13.49,13.49,12.81,12.89,12.89,12494189
1994-03-28,12.98,13.04,12.54,12.81,12.81,14056224
1994-03-29,12.81,12.98,12.54,12.57,12.57,13253012
1994-03-30,12.54,13.13,12.54,12.78,12.78,17305928
1994-03-31,12.89,13.04,12.42,13.04,13.04,14491333
1994-04-04,12.66,12.78,12.48,12.66,12.66,11579163
1994-04-05,12.78,12.92,12.66,12.75,12.75,9795595
1994-04-06,12.78,12.79,12.6,12.69,12.69,8082381
1994-04-07,12.72,12.72,12.48,12.69,12.69,7432859
1994-04-08,12.63,12.69,12.51,12.54,12.54,5477274
1994-04-11,12.57,12.75,12.48,12.66,12.66,5453723
1994-04-12,12.84,12.86,12.54,12.63,12.63,7907333
1994-04-13,12.63,12.75,12.39,12.51,12.51,14640836
1994-04-14,12.54,12.86,12.54,12.86,12.86,11005439
1994-04-15,12.86,13.01,12.57,12.66,12.66,11051505
1994-04-18,12.63,12.92,12.6,12.75,12.75,13065819
1994-04-19,12.78,12.84,12.27,12.75,12.75,8783831
1994-04-20,12.72,12.78,12.36,12.48,12.48,9245323
1994-04-21,13.13,14,12.89,13.94,13.94,36676850
1994-04-22,13.94,14.21,13.85,14.03,14.03,23704829
1994-04-25,13.97,14.15,13.91,14.15,14.15,12824185
1994-04-26,14.06,14.15,13.97,13.97,13.97,9285107
1994-04-28,13.82,13.91,13.55,13.64,13.64,9621384
1994-04-29,13.7,13.82,13.58,13.73,13.73,7992763
1994-05-02,13.73,13.94,13.58,13.85,13.85,6736016
1994-05-03,13.88,14,13.82,13.94,13.94,5764873
1994-05-04,13.91,13.91,13.73,13.79,13.79,6282900
1994-05-05,13.7,13.73,13.58,13.64,13.64,4359879
1994-05-06,13.49,13.64,13.43,13.49,13.49,8288838
1994-05-09,13.49,13.82,13.49,13.61,13.61,7872993
1994-05-10,13.76,13.91,13.7,13.85,13.85,8315221
1994-05-11,13.85,13.91,13.61,13.67,13.67,6477212
1994-05-12,13.76,13.79,13.61,13.67,13.67,3863629
1994-05-13,13.73,13.82,13.67,13.73,13.73,4608632
1994-05-16,13.76,14,13.7,13.97,13.97,6692463
1994-05-17,14,14.69,14,14.63,14.63,22600927
1994-05-18,14.72,14.78,14.45,14.51,14.51,20060606
1994-05-19,14.54,14.83,14.45,14.66,14.66,15795821
1994-05-20,14.66,14.89,14.57,14.83,14.83,15662650
1994-05-23,14.83,14.92,14.66,14.75,14.75,8685838
1994-05-24,14.81,15.13,14.78,15.07,15.07,11728666
1994-05-25,15.04,15.31,14.92,15.19,15.19,15404265
1994-05-26,15.1,15.31,14.92,15.28,15.28,9602280
1994-05-27,15.25,15.31,15.19,15.19,15.19,5702057
1994-05-31,15.16,15.22,14.98,15.04,15.04,6298813
1994-06-01,15.04,15.19,14.92,15.16,15.16,7075643
1994-06-02,15.13,15.16,14.78,14.81,14.81,10377994
1994-06-03,14.75,14.78,14.51,14.57,14.57,9972737
1994-06-06,14.63,15.16,14.6,14.95,14.95,9816952
1994-06-07,14.98,15.1,14.95,14.95,14.95,5857004
1994-06-08,15.01,15.04,14.69,14.72,14.72,6916089
1994-06-09,14.69,14.83,14.69,14.81,14.81,4555029
1994-06-10,14.86,15.01,14.86,14.95,14.95,5548366
1994-06-13,14.89,15.31,14.86,15.22,15.22,9064411
1994-06-14,15.25,15.52,15.25,15.52,15.52,11636116
1994-06-15,15.4,15.46,15.16,15.22,15.22,7493163
1994-06-16,15.1,15.16,15.01,15.01,15.01,5999388
1994-06-17,14.95,15.07,14.86,14.89,14.89,12706090
1994-06-20,14.78,14.86,14.72,14.72,14.72,6529559
1994-06-21,14.75,14.83,14.42,14.57,14.57,10374344
1994-06-22,14.66,14.83,14.6,14.81,14.81,5557160
1994-06-23,14.78,14.86,14.54,14.54,14.54,4833934
1994-06-24,14.51,14.57,14.21,14.3,14.3,9486538
1994-06-27,14.09,14.72,13.88,14.69,14.69,16231767
1994-06-28,14.69,14.78,14.33,14.6,14.6,7271630
1994-06-29,14.54,14.69,14.36,14.42,14.42,9510827
1994-06-30,14.42,14.45,14,14.03,14.03,11447248
1994-07-01,14.09,14.12,13.55,13.61,13.61,15989296
1994-07-05,13.61,13.82,13.43,13.43,13.43,11683857
1994-07-06,13.49,13.61,13.46,13.61,13.61,8120490
1994-07-07,13.7,13.7,13.52,13.55,13.55,7194157
1994-07-08,13.49,13.82,13.49,13.52,13.52,9696345
1994-07-11,13.58,13.64,13.22,13.28,13.28,11302352
1994-07-12,13.31,13.4,13.1,13.34,13.34,12536904
1994-07-13,13.37,13.55,13.34,13.55,13.55,10390676
1994-07-14,13.73,13.97,13.67,13.91,13.91,12574594
1994-07-15,13.79,13.82,13.55,13.58,13.58,10378531
1994-07-18,13.67,13.76,13.52,13.58,13.58,6933259
1994-07-19,13.55,13.58,13.28,13.28,13.28,7610002
1994-07-20,13.31,13.43,13.01,13.34,13.34,13356031
1994-07-21,14.09,14.95,13.85,14.89,14.89,36883717
1994-07-22,14.86,14.89,14.6,14.66,14.66,15553768
1994-07-25,14.66,14.89,14.64,14.86,14.86,9808577
1994-07-26,14.92,15.07,14.83,14.89,14.89,12131529
1994-07-27,14.86,14.92,14.78,14.92,14.92,6035822
1994-07-28,14.89,15.04,14.86,14.86,14.86,5284118
1994-07-29,14.95,14.98,14.75,14.78,14.78,7093650
1994-08-01,14.78,15.07,14.69,15.01,15.01,7418202
1994-08-02,15.04,15.13,14.86,14.86,14.86,8726459
1994-08-03,14.89,15.07,14.86,15.04,15.04,5671068
1994-08-04,15.04,15.16,14.98,15.07,15.07,8569837
1994-08-05,14.98,15.07,14.78,14.89,14.89,6700001
1994-08-08,14.98,15.13,14.95,15.1,15.1,7021202
1994-08-09,15.13,15.4,15.1,15.4,15.4,12606392
1994-08-10,15.4,15.52,15.31,15.31,15.31,11342973
1994-08-11,15.28,15.43,15.22,15.43,15.43,10242010
1994-08-12,15.46,15.55,15.22,15.22,15.22,8382225
1994-08-15,15.22,15.4,15.22,15.37,15.37,4513570
1994-08-16,15.4,15.46,15.22,15.43,15.43,8522515
1994-08-17,15.49,15.67,15.37,15.49,15.49,12333798
1994-08-18,15.61,15.97,15.61,15.82,15.82,17575205
1994-08-19,15.85,16.39,15.76,16.27,16.27,19529203
1994-08-22,16.12,16.33,16.06,16.18,16.18,12439329
1994-08-23,16.21,16.3,16.15,16.15,16.15,12191833
1994-08-24,16.09,16.09,15.91,16.09,16.09,11722384
1994-08-25,16,16.66,15.97,16.57,16.57,22085832
1994-08-26,16.57,16.75,16.51,16.72,16.72,17354515
1994-08-29,16.66,16.72,16.54,16.57,16.57,9692157
1994-08-30,16.57,16.66,16.45,16.57,16.57,7837397
1994-08-31,16.54,16.6,16.36,16.36,16.36,10350892
1994-09-01,15.97,16.3,15.97,16.21,16.21,11635698
1994-09-02,16.24,16.24,15.94,16.06,16.06,6133815
1994-09-06,16.03,16.15,15.91,16.12,16.12,5219208
1994-09-07,16.12,16.3,16.09,16.12,16.12,8504508
1994-09-08,16.06,16.27,16.06,16.21,16.21,5713364
1994-09-09,15.97,16.24,15.94,16.06,16.06,9661693
1994-09-12,16.12,16.27,16.12,16.21,16.21,5050022
1994-09-13,16.42,16.63,16.39,16.54,16.54,12162099
1994-09-14,16.51,16.75,16.48,16.66,16.66,10622259
1994-09-15,16.6,16.78,16.6,16.66,16.66,8614646
1994-09-16,16.66,17.04,16.6,16.95,16.95,21565310
1994-09-19,16.86,17.01,16.78,16.8,16.8,7741079
1994-09-20,16.69,16.83,16.63,16.78,16.78,11496245
1994-09-21,16.95,17.04,16.57,16.6,16.6,15231311
1994-09-22,16.66,16.78,16.57,16.63,16.63,8880150
1994-09-23,16.57,16.6,16.45,16.51,16.51,7373812
1994-09-26,16.48,16.51,16.18,16.48,16.48,7390563
1994-09-27,16.45,16.57,16.39,16.48,16.48,4672286
1994-09-28,16.51,16.69,16.36,16.36,16.36,5444091
1994-09-29,16.33,16.69,16.18,16.6,16.6,9657817
1994-09-30,16.54,16.75,16.45,16.63,16.63,8542197
