Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,31.68,32.03,31.62,31.74,31.74,552334
1994-01-04,31.51,32.56,31.51,32.5,32.5,1313564
1994-01-05,33.14,33.84,32.61,33.78,33.78,3156753
1994-01-06,34.13,34.13,33.14,33.37,33.37,1966382
1994-01-07,33.9,33.96,33.49,33.9,33.9,1751918
1994-01-10,33.61,34.42,33.61,34.36,34.36,1181372
1994-01-11,34.25,34.71,34.01,34.01,34.01,1232792
1994-01-12,34.07,34.13,33.26,33.72,33.72,1647150
1994-01-13,33.43,33.43,33.14,33.37,33.37,1097814
1994-01-14,33.66,33.84,33.31,33.61,33.61,916559
1994-01-17,33.55,33.96,33.49,33.84,33.84,780082
1994-01-18,33.96,34.95,33.96,34.71,34.71,1786627
1994-01-19,34.6,35.24,34.31,34.66,34.66,1220793
1994-01-20,34.6,34.71,34.25,34.42,34.42,863425
1994-01-21,34.54,34.83,34.36,34.71,34.71,2285185
1994-01-24,34.66,35.06,34.54,34.95,34.95,1955884
1994-01-25,34.95,34.95,34.71,34.77,34.77,975477
1994-01-26,34.66,34.66,34.19,34.54,34.54,858926
1994-01-27,34.42,35.12,34.25,34.95,34.95,1242004
1994-01-28,35.06,35.3,34.83,34.95,34.95,685812
1994-01-31,34.95,35.24,34.89,35.06,35.06,837501
1994-02-01,35.41,35.76,35.3,35.53,35.53,1052393
1994-02-02,35.65,36.35,35.53,35.94,35.94,1503388
1994-02-03,35.47,36.23,35.47,36,36,1162732
1994-02-04,35.94,36,35.24,35.36,35.36,1413832
1994-02-07,35.24,35.94,35.18,35.76,35.76,1265572
1994-02-08,35.82,35.82,35.36,35.47,35.47,1070819
1994-02-09,35.41,35.59,35.06,35.59,35.59,1470608
1994-02-10,35.65,35.88,35.53,35.59,35.59,864497
1994-02-11,35.53,35.71,35.41,35.71,35.71,1009972
1994-02-14,35.41,35.59,35.3,35.36,35.36,1280783
1994-02-15,35.24,35.47,35.18,35.24,35.24,1098028
1994-02-16,35.12,35.47,35.12,35.24,35.24,1080889
1994-02-17,35.24,35.3,34.6,34.77,34.77,1248646
1994-02-18,34.77,35.01,34.77,34.83,34.83,1327061
1994-02-22,34.77,34.95,34.77,34.77,34.77,598612
1994-02-23,34.83,34.95,34.77,34.89,34.89,594971
1994-02-24,34.83,34.89,34.13,34.19,34.19,1184156
1994-02-25,34.31,34.36,34.13,34.31,34.31,467492
1994-02-28,34.31,34.36,33.72,33.9,33.9,607611
