Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,11.19,11.31,11.13,11.31,11.31,4688800
1994-01-04,11.28,11.34,11.19,11.28,11.28,3927200
1994-01-05,11.25,11.25,11.13,11.25,11.25,4404400
1994-01-06,11.25,11.25,11,11.03,11.03,3830000
1994-01-07,11.03,11.16,10.94,11.16,11.16,3578800
1994-01-10,11.13,11.44,11.13,11.38,11.38,6096800
1994-01-11,11.31,11.34,11.13,11.13,11.13,4131200
1994-01-12,11.19,11.22,11.03,11.09,11.09,4070400
1994-01-13,11.03,11.06,10.94,10.94,10.94,3318400
1994-01-14,10.94,11.06,10.94,10.94,10.94,3126800
1994-01-17,10.91,11.13,10.91,11.03,11.03,2978000
1994-01-18,11.09,11.09,10.91,10.91,10.91,4479600
1994-01-19,10.88,10.91,10.56,10.72,10.72,6401200
1994-01-20,10.56,10.59,10.34,10.41,10.41,5903200
1994-01-21,10.38,10.5,10.34,10.47,10.47,7953200
1994-01-24,10.44,10.44,10.09,10.09,10.09,5983200
1994-01-25,10.13,10.38,10.03,10.22,10.22,7643200
1994-01-26,10.25,10.5,10.25,10.47,10.47,3475600
1994-01-27,10.53,10.63,10.41,10.59,10.59,3767200
1994-01-28,10.59,10.69,10.44,10.63,10.63,4043600
1994-01-31,10.59,10.72,10.5,10.59,10.59,4602000
1994-02-01,10.56,10.66,10.41,10.53,10.53,4575600
1994-02-02,10.53,10.69,10.5,10.66,10.66,4584000
1994-02-03,10.63,10.66,10.53,10.59,10.59,5547600
1994-02-04,10.59,10.69,10.47,10.5,10.5,4955600
1994-02-07,10.44,10.56,10.38,10.41,10.41,5728400
1994-02-08,10.44,10.69,10.22,10.66,10.66,5638000
1994-02-09,10.47,10.59,10.34,10.41,10.41,4162000
1994-02-10,10.38,10.5,10.31,10.34,10.34,379600
1994-02-11,10.31,10.47,10.28,10.47,10.47,2917600
1994-02-14,10.41,10.56,10.41,10.53,10.53,4659600
1994-02-15,10.53,10.63,10.5,10.56,10.56,2671600
1994-02-16,10.5,10.78,10.38,10.44,10.44,6378400
1994-02-17,10.5,10.63,10.31,10.31,10.31,5212000
1994-02-18,10.31,10.47,10.28,10.38,10.38,5713200
1994-02-22,10.31,10.41,10.22,10.31,10.31,3882400
1994-02-23,10.31,10.47,10.16,10.25,10.25,5032400
1994-02-24,10.22,10.38,10.09,10.13,10.13,5667200
1994-02-25,10.16,10.28,10.09,10.16,10.16,4104400
1994-02-28,10.22,10.25,10,10.03,10.03,4117600
1994-03-01,10.03,10.09,9.97,10.09,10.09,4094000
1994-03-02,10,10.22,9.97,10.06,10.06,3930000
1994-03-03,10.03,10.06,9.91,9.94,9.94,3926000
1994-03-04,9.88,9.97,9.84,9.94,9.94,3050000
1994-03-07,9.94,10.03,9.91,9.91,9.91,3870800
1994-03-08,9.94,10.09,9.91,9.94,9.94,4325600
1994-03-09,9.97,10.09,9.91,10.03,10.03,4560000
1994-03-10,10.06,10.13,9.91,9.91,9.91,3905600
1994-03-11,9.97,10,9.88,9.91,9.91,2806800
1994-03-14,9.91,9.97,9.84,9.94,9.94,2894000
1994-03-15,9.91,9.97,9.88,9.97,9.97,3546800
1994-03-16,9.97,9.97,9.84,9.88,9.88,3512000
1994-03-17,9.81,9.88,9.72,9.84,9.84,3253600
1994-03-18,9.84,9.91,9.75,9.88,9.88,11464400
1994-03-21,9.88,10,9.78,9.88,9.88,4795200
1994-03-22,9.81,9.88,9.75,9.78,9.78,4194000
1994-03-23,9.78,9.84,9.63,9.63,9.63,4406400
