Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,24.93,24.99,24.63,24.87,24.87,515868
1994-01-04,24.81,25.41,24.81,25.11,25.11,642905
1994-01-05,25.11,25.47,25.05,25.35,25.35,606817
1994-01-06,25.41,25.47,25.23,25.35,25.35,467264
1994-01-07,25.41,25.65,25.29,25.41,25.41,271180
1994-01-10,25.35,25.71,25.29,25.65,25.65,441398
1994-01-11,25.89,25.89,25.65,25.83,25.83,641862
1994-01-12,25.71,25.89,25.71,25.71,25.71,379026
1994-01-13,25.53,25.65,25.29,25.41,25.41,726137
1994-01-14,25.41,25.47,25.35,25.41,25.41,320201
1994-01-17,25.35,25.77,25.35,25.59,25.59,505021
1994-01-18,25.71,25.71,25.05,25.11,25.11,894685
1994-01-19,25.17,25.59,25.11,25.17,25.17,744702
1994-01-20,25.23,27.09,24.87,26.91,26.91,1612061
1994-01-21,26.97,26.97,26.43,26.61,26.61,1381141
1994-01-24,26.49,27.03,26.49,26.55,26.55,651666
1994-01-25,26.43,26.61,26.25,26.43,26.43,606817
1994-01-26,26.37,26.91,26.31,26.85,26.85,492922
1994-01-27,26.85,26.91,26.55,26.79,26.79,574902
1994-01-28,27.03,27.09,26.67,26.85,26.85,739278
1994-01-31,27.09,27.5,27.03,27.27,27.27,666686
1994-02-01,27.27,27.68,27.21,27.5,27.5,598473
1994-02-02,27.68,27.74,27.38,27.38,27.38,694012
1994-02-03,27.33,27.38,26.97,27.15,27.15,429925
1994-02-04,27.15,27.38,26.67,26.85,26.85,673361
1994-02-07,26.73,27.09,26.73,26.91,26.91,632684
1994-02-08,27.03,27.09,26.85,26.85,26.85,357540
1994-02-09,26.85,27.21,26.85,27.21,27.21,436600
1994-02-10,27.21,27.33,27.09,27.15,27.15,498971
1994-02-11,27.03,27.21,26.85,27.03,27.03,315820
1994-02-14,26.91,27.68,26.91,27.56,27.56,495842
1994-02-15,27.68,27.92,27.44,27.44,27.44,526506
1994-02-16,27.33,27.5,27.15,27.44,27.44,629972
1994-02-17,27.44,27.44,26.79,26.97,26.97,727805
1994-02-18,26.97,27.27,26.91,27.09,27.09,814792
1994-02-22,26.97,27.27,26.91,27.27,27.27,546532
1994-02-23,27.27,27.38,27.03,27.09,27.09,1230740
1994-02-24,27.09,27.09,26.55,26.67,26.67,462675
1994-02-25,26.61,26.91,26.31,26.91,26.91,411985
1994-02-28,26.61,26.79,26.43,26.49,26.49,348779
1994-03-01,26.49,26.55,26.13,26.37,26.37,369431
1994-03-02,26.25,26.55,26.13,26.55,26.55,569687
1994-03-03,26.49,26.55,26.01,26.19,26.19,460797
1994-03-04,26.25,26.31,26.07,26.25,26.25,346276
1994-03-07,26.25,26.43,26.19,26.19,26.19,440772
1994-03-08,26.19,26.19,26.01,26.19,26.19,470184
1994-03-09,26.31,26.79,26.19,26.67,26.67,508984
1994-03-10,26.73,26.73,26.25,26.37,26.37,301010
1994-03-11,26.25,26.31,25.89,26.19,26.19,342521
1994-03-14,26.25,26.31,26.19,26.25,26.25,499597
1994-03-15,26.19,26.37,26.19,26.37,26.37,309354
