Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,11.13,11.19,11.09,11.13,11.13,5416800
1994-01-04,11.06,11.13,11,11.03,11.03,4499200
1994-01-05,11,11.03,10.72,10.75,10.75,7404800
1994-01-06,10.84,10.88,10.5,10.53,10.53,11023200
1994-01-07,10.63,10.72,10.53,10.66,10.66,9138400
1994-01-10,10.69,10.88,10.59,10.84,10.84,6259600
1994-01-11,10.81,10.84,10.66,10.69,10.69,5394400
1994-01-12,10.78,10.84,10.66,10.81,10.81,4326000
1994-01-13,10.75,10.75,10.66,10.66,10.66,3869600
1994-01-14,10.59,10.69,10.56,10.63,10.63,6550800
1994-01-17,10.53,10.56,10.41,10.41,10.41,5205600
1994-01-18,10.34,10.34,10.06,10.25,10.25,12035200
1994-01-19,10.22,10.44,10.19,10.38,10.38,6890400
1994-01-20,10.38,10.44,10.25,10.34,10.34,4580000
1994-01-21,10.38,10.38,10.22,10.31,10.31,9374400
1994-01-24,10.28,10.28,10.09,10.13,10.13,5110000
1994-01-25,10.09,10.25,10.03,10.19,10.19,5650400
1994-01-26,10.25,10.41,10.16,10.25,10.25,5676800
1994-01-27,10.34,10.47,10.28,10.44,10.44,7210400
1994-01-28,10.41,10.41,10.19,10.31,10.31,8208400
1994-01-31,10.25,10.28,10.13,10.22,10.22,8174800
1994-02-01,10.22,10.38,10.16,10.38,10.38,7287600
1994-02-02,10.38,10.47,10.34,10.38,10.38,5357600
1994-02-03,10.38,10.56,10.34,10.44,10.44,6431600
1994-02-04,10.41,10.44,10.13,10.19,10.19,7599600
1994-02-07,10.13,10.19,10.09,10.19,10.19,9894800
1994-02-08,10.13,10.19,10.06,10.06,10.06,5724000
1994-02-09,10.09,10.16,10.06,10.13,10.13,5275200
1994-02-10,10.16,10.28,10.13,10.19,10.19,5341600
1994-02-11,10.22,10.38,10.19,10.38,10.38,5823600
1994-02-14,10.31,10.41,10.09,10.25,10.25,4597200
1994-02-15,10.34,10.44,10.22,10.22,10.22,7434400
1994-02-16,10.22,10.41,10.22,10.34,10.34,6146000
1994-02-17,10.41,10.44,10.31,10.44,10.44,8977200
1994-02-18,10.38,10.5,10.34,10.38,10.38,8777600
1994-02-22,10.38,10.63,10.38,10.63,10.63,7760800
1994-02-23,10.69,10.72,10.56,10.66,10.66,6690000
1994-02-24,10.59,10.66,10.5,10.5,10.5,5659600
1994-02-25,10.53,10.59,10.47,10.5,10.5,5167600
1994-02-28,10.56,10.81,10.53,10.66,10.66,6970400
1994-03-01,10.69,10.72,10.53,10.59,10.59,6560400
1994-03-02,10.5,10.59,10.47,10.53,10.53,6402400
1994-03-03,10.5,10.53,10.38,10.41,10.41,4341600
1994-03-04,10.41,10.5,10.38,10.41,10.41,4234000
1994-03-07,10.47,10.5,10.34,10.41,10.41,3406000
1994-03-08,10.44,10.44,10.25,10.25,10.25,3946800
1994-03-09,10.22,10.25,10.13,10.22,10.22,5715600
1994-03-10,10.19,10.22,10.13,10.19,10.19,4548400
1994-03-11,10.19,10.31,10.09,10.22,10.22,4369600
1994-03-14,10.28,10.41,10.22,10.41,10.41,5485200
1994-03-15,10.34,10.47,10.22,10.28,10.28,8253200
1994-03-16,10.25,10.31,10.16,10.28,10.28,8538000
1994-03-17,10.41,10.44,10.31,10.38,10.38,8094000
1994-03-18,10.38,10.5,10.31,10.47,10.47,19380800
1994-03-21,10.44,10.5,10.38,10.5,10.5,4937600
1994-03-22,10.5,10.63,10.44,10.53,10.53,4993200
