Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,14.81,14.84,14.72,14.84,14.84,1661600
1994-01-04,14.81,14.84,14.69,14.78,14.78,1168000
1994-01-05,14.81,14.94,14.66,14.66,14.66,2779200
1994-01-06,14.75,14.75,14.53,14.53,14.53,1994400
1994-01-07,14.53,14.63,14.47,14.56,14.56,1718800
1994-01-10,14.47,14.75,14.38,14.75,14.75,1291200
1994-01-11,14.72,14.72,14.59,14.66,14.66,1975200
1994-01-12,14.66,14.69,14.5,14.59,14.59,1639600
1994-01-13,14.5,14.63,14.5,14.56,14.56,1772000
1994-01-14,14.53,14.88,14.41,14.75,14.75,2609600
1994-01-17,14.69,15.03,14.69,14.97,14.97,2565200
1994-01-18,15.41,15.47,15.28,15.38,15.38,5782400
1994-01-19,15.38,15.38,14.84,14.97,14.97,4237200
1994-01-20,14.91,15.06,14.78,15,15,3536800
1994-01-21,15,15.09,14.94,15.03,15.03,2638000
1994-01-24,14.97,15.06,14.69,14.78,14.78,2320800
1994-01-25,14.72,14.88,14.69,14.78,14.78,3410000
1994-01-26,14.75,14.97,14.72,14.94,14.94,1604800
1994-01-27,14.97,14.97,14.69,14.81,14.81,1483600
1994-01-28,14.84,14.97,14.75,14.94,14.94,1187200
1994-01-31,14.97,14.97,14.84,14.97,14.97,1158400
1994-02-01,14.97,15.03,14.91,14.94,14.94,1432000
1994-02-02,14.94,15.03,14.91,15.03,15.03,1223600
1994-02-03,15.03,15.06,14.63,15.06,15.06,2622800
1994-02-04,15,15.03,14.72,14.81,14.81,1675600
1994-02-07,14.75,14.81,14.69,14.75,14.75,1456800
1994-02-08,14.78,14.81,14.53,14.66,14.66,2006400
1994-02-09,14.5,14.59,14.41,14.44,14.44,1771600
1994-02-10,14.44,14.53,14.31,14.31,14.31,1678000
1994-02-11,14.28,14.34,14.03,14.19,14.19,1246800
1994-02-14,14.22,14.38,14.19,14.25,14.25,1622800
1994-02-15,14.34,14.44,14.22,14.25,14.25,1852000
1994-02-16,14.25,14.41,14.25,14.25,14.25,967600
1994-02-17,14.38,14.41,14,14,14,1386400
1994-02-18,14,14,13.5,13.69,13.69,1760800
1994-02-22,13.72,13.81,13.69,13.75,13.75,947200
