Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,3.69,3.7,3.6,3.61,3.61,5254400
1994-01-04,3.6,3.64,3.6,3.6,3.6,5657600
1994-01-05,3.6,3.6,3.43,3.5,3.5,10982400
1994-01-06,3.55,3.55,3.39,3.39,3.39,8017600
1994-01-07,3.41,3.45,3.32,3.45,3.45,10139200
1994-01-10,3.44,3.72,3.44,3.69,3.69,13912000
1994-01-11,3.69,3.8,3.69,3.79,3.79,11412800
1994-01-12,3.79,3.84,3.74,3.82,3.82,4659200
1994-01-13,3.8,3.83,3.78,3.79,3.79,4217600
1994-01-14,3.82,3.84,3.82,3.84,3.84,3140800
1994-01-17,3.83,3.84,3.8,3.84,3.84,2043200
1994-01-18,3.84,3.86,3.8,3.8,3.8,11892800
1994-01-19,3.8,3.81,3.7,3.72,3.72,4083200
1994-01-20,3.73,3.73,3.69,3.69,3.69,3670400
1994-01-21,3.7,3.88,3.7,3.83,3.83,5774400
1994-01-24,3.81,3.85,3.69,3.69,3.69,4148800
1994-01-25,3.75,3.84,3.75,3.81,3.81,4592000
1994-01-26,3.8,3.82,3.79,3.79,3.79,4617600
1994-01-27,3.8,3.8,3.77,3.79,3.79,2336000
1994-01-28,3.8,3.8,3.78,3.8,3.8,2324800
1994-01-31,3.81,3.84,3.79,3.81,3.81,3328000
1994-02-01,3.81,3.81,3.77,3.8,3.8,2499200
1994-02-02,3.8,3.82,3.77,3.8,3.8,5809600
1994-02-03,3.78,3.8,3.69,3.79,3.79,16089600
1994-02-04,3.8,3.8,3.69,3.73,3.73,8828800
1994-02-07,3.7,3.72,3.68,3.72,3.72,7241600
1994-02-08,3.71,3.72,3.61,3.62,3.62,6310400
1994-02-09,3.62,3.62,3.52,3.59,3.59,6609600
1994-02-10,3.64,3.67,3.58,3.6,3.6,4192000
1994-02-11,3.58,3.6,3.56,3.59,3.59,2710400
1994-02-14,3.59,3.69,3.59,3.63,3.63,4064000
1994-02-15,3.65,3.66,3.62,3.66,3.66,4123200
1994-02-16,3.66,3.66,3.59,3.6,3.6,2654400
1994-02-17,3.61,3.64,3.55,3.59,3.59,3124800
1994-02-18,3.59,3.59,3.47,3.56,3.56,4736000
1994-02-22,3.57,3.87,3.57,3.83,3.83,10241600
1994-02-23,3.81,3.91,3.79,3.9,3.9,9923200
1994-02-24,3.88,3.88,3.81,3.85,3.85,5035200
1994-02-25,3.85,3.97,3.83,3.95,3.95,3712000
1994-02-28,3.97,4.16,3.97,4.13,4.13,6744000
1994-03-01,4.13,4.16,4.05,4.09,4.09,10972800
1994-03-02,4,4.09,3.95,4.09,4.09,7489600
1994-03-03,4.08,4.12,4.05,4.08,4.08,8585600
1994-03-04,4.07,4.09,3.96,4.09,4.09,6716800
1994-03-07,4.06,4.18,3.99,4.11,4.11,9390400
1994-03-08,4.09,4.12,4.02,4.06,4.06,6030400
1994-03-09,4.06,4.08,4.03,4.08,4.08,3718400
1994-03-10,4.07,4.12,4.05,4.1,4.1,6172800
1994-03-11,4.09,4.14,4.09,4.1,4.1,2574400
1994-03-14,4.11,4.18,4.09,4.16,4.16,2721600
1994-03-15,4.15,4.22,4.15,4.18,4.18,6758400
1994-03-16,4.16,4.21,4.15,4.19,4.19,5819200
1994-03-17,4.18,4.19,4.13,4.14,4.14,1670400
1994-03-18,4.14,4.16,4.12,4.16,4.16,3478400
1994-03-21,4.15,4.21,4.14,4.19,4.19,2718400
1994-03-22,4.2,4.29,4.17,4.26,4.26,4777600
1994-03-23,4.25,4.32,4.25,4.25,4.25,3470400
1994-03-24,4.26,4.26,4.08,4.09,4.09,7843200
1994-03-25,4.1,4.12,4.08,4.09,4.09,4118400
1994-03-28,4.09,4.09,4,4.08,4.08,4478400
1994-03-29,4.04,4.1,3.98,4.07,4.07,5969600
1994-03-30,4.08,4.12,4.01,4.08,4.08,6990400
1994-03-31,4.09,4.1,3.92,4.03,4.03,8835200
1994-04-04,3.95,4.02,3.73,3.97,3.97,4832000
1994-04-05,4.09,4.33,4.09,4.33,4.33,5807200
1994-04-06,4.34,4.56,4.34,4.38,4.38,7343200
1994-04-07,4.47,4.48,4.41,4.45,4.45,5422400
1994-04-08,4.45,4.48,4.38,4.38,4.38,3645600
1994-04-11,4.36,4.38,4.33,4.34,4.34,3883200
1994-04-12,4.44,4.55,4.36,4.36,4.36,3207200
