Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,5.13,5.16,5.1,5.16,5.16,2139200
1994-01-04,5.16,5.21,5.15,5.17,5.17,742400
1994-01-05,5.18,5.19,5.12,5.16,5.16,1739200
1994-01-06,5.16,5.2,5.14,5.17,5.17,2662400
1994-01-07,5.17,5.26,5.14,5.17,5.17,2105600
1994-01-10,5.14,5.16,5.1,5.13,5.13,3464000
1994-01-11,5.08,5.11,5.06,5.09,5.09,4470400
1994-01-12,5.09,5.16,5.08,5.13,5.13,3968000
1994-01-13,5.13,5.15,5.11,5.13,5.13,3054400
1994-01-14,5.13,5.23,5.13,5.16,5.16,6475200
1994-01-17,5.14,5.14,5.1,5.12,5.12,2572800
1994-01-18,5.13,5.18,5.11,5.13,5.13,2139200
1994-01-19,5.15,5.15,5.03,5.04,5.04,4409600
1994-01-20,5.04,5.05,4.98,5,5,4870400
1994-01-21,5.03,5.08,5.01,5.04,5.04,4345600
1994-01-24,5.02,5.05,5,5,5,4825600
1994-01-25,4.95,5.11,4.95,5.1,5.1,2977600
1994-01-26,5.09,5.11,5.07,5.1,5.1,1305600
1994-01-27,5.09,5.2,5.04,5.18,5.18,2486400
1994-01-28,5.22,5.27,5.2,5.2,5.2,3206400
1994-01-31,5.22,5.28,5.2,5.25,5.25,2441600
1994-02-01,5.26,5.3,5.23,5.23,5.23,4105600
1994-02-02,5.24,5.47,5.24,5.47,5.47,4089600
1994-02-03,5.45,5.45,5.33,5.35,5.35,3872000
1994-02-04,5.36,5.4,5.35,5.36,5.36,2496000
1994-02-07,5.36,5.37,5.28,5.29,5.29,4608000
1994-02-08,5.31,5.4,5.28,5.36,5.36,3027200
1994-02-09,5.36,5.41,5.34,5.37,5.37,1766400
1994-02-10,5.38,5.39,5.33,5.33,5.33,1776000
1994-02-11,5.31,5.38,5.3,5.33,5.33,870400
1994-02-14,5.37,5.42,5.33,5.33,5.33,1907200
1994-02-15,5.32,5.33,5.27,5.3,5.3,1960000
1994-02-16,5.31,5.34,5.27,5.33,5.33,2716800
1994-02-17,5.31,5.33,5.05,5.13,5.13,3507200
1994-02-18,5.14,5.19,5.05,5.14,5.14,3592000
1994-02-22,5.06,5.06,4.91,4.95,4.95,4931200
1994-02-23,4.98,4.99,4.91,4.91,4.91,4497600
1994-02-24,4.93,4.99,4.91,4.97,4.97,4028800
1994-02-25,4.98,5.02,4.96,4.99,4.99,2516800
1994-02-28,4.97,4.99,4.97,4.98,4.98,1723200
1994-03-01,4.98,5.05,4.95,5.05,5.05,1630400
1994-03-02,5,5,4.95,4.95,4.95,2395200
1994-03-03,4.97,4.97,4.92,4.94,4.94,1256000
1994-03-04,4.94,4.96,4.86,4.95,4.95,3577600
1994-03-07,4.92,4.98,4.91,4.91,4.91,3014400
1994-03-08,4.94,4.96,4.93,4.95,4.95,1521600
1994-03-09,4.95,4.98,4.92,4.98,4.98,942400
1994-03-10,4.99,5.1,4.97,5.09,5.09,2086400
1994-03-11,5.09,5.13,5.06,5.11,5.11,1748800
1994-03-14,5.09,5.14,5.02,5.05,5.05,1676800
1994-03-15,5.05,5.05,5,5,5,784000
1994-03-16,5,5.02,4.95,4.95,4.95,1131200
1994-03-17,5,5.09,4.98,5.08,5.08,1881600
1994-03-18,5.08,5.14,5.05,5.09,5.09,4259200
1994-03-21,5.09,5.1,5.06,5.07,5.07,2476800
1994-03-22,5.08,5.11,5.08,5.1,5.1,1339200
1994-03-23,5.1,5.21,5.1,5.18,5.18,1912000
1994-03-24,5.16,5.21,5.16,5.19,5.19,1380800
1994-03-25,5.19,5.21,5.18,5.18,5.18,1579200
1994-03-28,5.16,5.2,5.09,5.1,5.1,6080000
1994-03-29,5.09,5.16,5.06,5.09,5.09,5025600
1994-03-30,5.09,5.17,5.07,5.08,5.08,3945600
1994-03-31,5.06,5.06,4.88,5,5,4020800
1994-04-04,4.89,4.9,4.7,4.72,4.72,4763200
1994-04-05,4.75,4.83,4.75,4.78,4.78,5308800
1994-04-06,4.78,4.83,4.7,4.73,4.73,3011200
1994-04-07,4.72,4.72,4.62,4.63,4.63,3958400
1994-04-08,4.62,4.62,4.47,4.52,4.52,4110400
1994-04-11,4.57,4.64,4.55,4.57,4.57,3990400
1994-04-12,4.56,4.56,4.53,4.54,4.54,2524800
1994-04-13,4.53,4.57,4.52,4.55,4.55,1961600
1994-04-14,4.5,4.52,4.47,4.5,4.5,3396800
1994-04-15,4.47,4.47,4.32,4.41,4.41,4409600
1994-04-18,4.39,4.45,4.39,4.44,4.44,3204800
1994-04-19,4.42,4.51,4.41,4.49,4.49,3097600
1994-04-20,4.49,4.53,4.45,4.51,4.51,2038400
1994-04-21,4.52,4.59,4.48,4.58,4.58,3880000
1994-04-22,4.59,4.75,4.59,4.69,4.69,4585600
1994-04-25,4.69,4.74,4.65,4.74,4.74,2096000
1994-04-26,4.72,4.73,4.65,4.72,4.72,1206400
1994-04-28,4.71,4.73,4.7,4.73,4.73,4339200
1994-04-29,4.73,4.78,4.7,4.7,4.7,2548800
1994-05-02,4.72,4.73,4.65,4.68,4.68,3563200
1994-05-03,4.67,4.69,4.6,4.63,4.63,1811200
1994-05-04,4.63,4.64,4.58,4.64,4.64,1681600
1994-05-05,4.65,4.76,4.65,4.75,4.75,1691200
1994-05-06,4.67,4.71,4.63,4.67,4.67,2427200
1994-05-09,4.64,4.66,4.56,4.6,4.6,1542400
1994-05-10,4.59,4.68,4.59,4.63,4.63,2724800
1994-05-11,4.61,4.62,4.49,4.52,4.52,5150400
1994-05-12,4.52,4.58,4.52,4.55,4.55,4742400
1994-05-13,4.55,4.62,4.53,4.55,4.55,2972800
1994-05-16,4.55,4.55,4.52,4.52,4.52,2880000
1994-05-17,4.51,4.53,4.48,4.52,4.52,3057600
1994-05-18,4.52,4.58,4.51,4.56,4.56,3640000
1994-05-19,4.55,4.83,4.55,4.77,4.77,5257600
1994-05-20,4.75,4.75,4.66,4.66,4.66,2836800
1994-05-23,4.66,4.71,4.66,4.66,4.66,3288000
1994-05-24,4.75,4.97,4.74,4.95,4.95,5776000
1994-05-25,4.95,5.27,4.95,5.19,5.19,11121600
1994-05-26,5.23,5.27,5.16,5.19,5.19,6673600
1994-05-27,5.17,5.21,5.13,5.2,5.2,2745600
1994-05-31,5.19,5.2,5.13,5.14,5.14,2697600
1994-06-01,5.16,5.24,5.14,5.2,5.2,3598400
1994-06-02,5.17,5.24,5.17,5.24,5.24,1532800
1994-06-03,5.23,5.28,5.22,5.24,5.24,1454400
1994-06-06,5.23,5.24,5.16,5.16,5.16,3268800
1994-06-07,5.16,5.23,5.16,5.23,5.23,2785600
1994-06-08,5.22,5.23,5.18,5.23,5.23,2192000
1994-06-09,5.22,5.23,5.19,5.2,5.2,1444800
1994-06-10,5.22,5.27,5.2,5.2,5.2,932800
1994-06-13,5.19,5.33,5.19,5.32,5.32,2804800
