Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,4.54,4.7,4.53,4.69,4.69,26763700
1994-01-04,4.67,4.72,4.65,4.72,4.72,19318148
1994-01-05,4.72,4.74,4.69,4.74,4.74,22372260
1994-01-06,4.75,4.77,4.7,4.75,4.75,21714038
1994-01-07,4.75,4.77,4.72,4.76,4.76,13434651
1994-01-10,4.76,4.8,4.71,4.8,4.8,19627608
1994-01-11,4.79,4.79,4.72,4.75,4.75,20962480
1994-01-12,4.74,4.75,4.69,4.73,4.73,22501200
1994-01-13,4.71,4.72,4.68,4.7,4.7,14094106
1994-01-14,4.7,4.73,4.67,4.69,4.69,14935306
1994-01-17,4.67,4.68,4.6,4.61,4.61,18381159
1994-01-18,4.61,4.7,4.6,4.67,4.67,20583020
1994-01-19,4.69,4.71,4.66,4.69,4.69,13989725
1994-01-20,4.69,4.71,4.66,4.7,4.7,10647024
1994-01-21,4.69,4.7,4.66,4.67,4.67,19851114
1994-01-24,4.72,4.74,4.68,4.69,4.69,23106621
1994-01-25,4.71,4.74,4.68,4.71,4.71,22687863
1994-01-26,4.73,4.83,4.68,4.82,4.82,40366593
1994-01-27,4.86,4.91,4.83,4.89,4.89,50472059
1994-01-28,4.89,4.91,4.86,4.88,4.88,24881127
1994-01-31,4.91,4.97,4.9,4.91,4.91,26728087
1994-02-01,4.89,4.91,4.86,4.87,4.87,17578026
1994-02-02,4.87,4.88,4.83,4.85,4.85,18727464
1994-02-03,4.86,4.93,4.82,4.9,4.9,28780124
1994-02-04,4.91,4.97,4.86,4.88,4.88,43720343
1994-02-07,4.85,4.89,4.81,4.88,4.88,34508887
1994-02-08,4.88,4.88,4.7,4.78,4.78,33979610
1994-02-09,4.77,4.83,4.77,4.81,4.81,17582937
1994-02-10,4.8,4.81,4.7,4.7,4.7,20191277
1994-02-11,4.68,4.7,4.64,4.68,4.68,16727001
1994-02-14,4.72,4.78,4.72,4.78,4.78,17304179
1994-02-15,4.78,4.85,4.77,4.83,4.83,16171934
1994-02-16,4.82,4.87,4.81,4.81,4.81,26832468
1994-02-17,4.81,4.82,4.72,4.73,4.73,24033786
1994-02-18,4.73,4.74,4.69,4.71,4.71,17710657
1994-02-22,4.71,4.75,4.69,4.74,4.74,14538652
1994-02-23,4.74,4.79,4.72,4.79,4.79,24156590
1994-02-24,4.77,4.86,4.73,4.74,4.74,26866851
1994-02-25,4.78,4.78,4.7,4.72,4.72,19412707
1994-02-28,4.64,4.65,4.54,4.56,4.56,52418488
1994-03-01,4.57,4.6,4.47,4.52,4.52,51977645
1994-03-02,4.48,4.57,4.46,4.53,4.53,38475424
1994-03-03,4.51,4.54,4.47,4.47,4.47,19370954
1994-03-04,4.47,4.51,4.44,4.47,4.47,24911826
1994-03-07,4.58,4.66,4.55,4.63,4.63,36915830
1994-03-08,4.6,4.61,4.55,4.56,4.56,23261353
1994-03-09,4.5,4.52,4.47,4.51,4.51,20849501
1994-03-10,4.52,4.52,4.44,4.47,4.47,18614485
1994-03-11,4.47,4.51,4.46,4.5,4.5,17008221
1994-03-14,4.5,4.57,4.48,4.57,4.57,33375415
1994-03-15,4.59,4.61,4.54,4.56,4.56,36998106
1994-03-16,4.56,4.57,4.52,4.55,4.55,17030325
1994-03-17,4.51,4.53,4.46,4.47,4.47,24033786
1994-03-18,4.48,4.51,4.46,4.48,4.48,49436829
1994-03-21,4.46,4.47,4.4,4.4,4.4,19712346
1994-03-22,4.39,4.4,4.19,4.24,4.24,59625774
1994-03-23,4.32,4.37,4.31,4.31,4.31,35399211
1994-03-24,4.34,4.35,4.23,4.25,4.25,29004853
1994-03-25,4.26,4.29,4.19,4.19,4.19,19580945
1994-03-28,4.21,4.22,4.07,4.17,4.17,40920433
1994-03-29,4.15,4.16,4.06,4.07,4.07,30812515
1994-03-30,4.11,4.19,4.05,4.13,4.13,37566682
1994-03-31,4.13,4.17,4.03,4.12,4.12,35313250
1994-04-04,3.95,4.03,3.93,4.02,4.02,45051535
1994-04-05,4.03,4.07,3.97,3.99,3.99,34478188
1994-04-06,3.99,4,3.88,3.98,3.98,37106171
1994-04-07,3.99,4.12,3.97,4.11,4.11,28845210
1994-04-08,4.06,4.09,4,4,4,28115759
1994-04-11,4.01,4.04,3.92,3.92,3.92,27123512
1994-04-12,3.96,3.97,3.89,3.91,3.91,25404268
1994-04-13,3.92,3.96,3.85,3.96,3.96,30655325
1994-04-14,3.96,4.05,3.95,4.04,4.04,33996800
1994-04-15,4.07,4.16,4.06,4.07,4.07,41315862
1994-04-18,4.09,4.12,4.03,4.08,4.08,21220367
1994-04-19,4.11,4.23,4.1,4.22,4.22,40079233
1994-04-20,4.28,4.33,4.23,4.3,4.3,41060433
1994-04-21,4.3,4.33,4.25,4.26,4.26,28382244
1994-04-22,4.29,4.32,4.24,4.32,4.32,23260124
1994-04-25,4.33,4.36,4.25,4.25,4.25,23504505
1994-04-26,4.32,4.42,4.3,4.42,4.42,44470673
1994-04-28,4.47,4.48,4.34,4.37,4.37,28237333
1994-04-29,4.34,4.47,4.32,4.44,4.44,26375641
1994-05-02,4.46,4.46,4.35,4.4,4.4,17563291
1994-05-03,4.34,4.37,4.3,4.36,4.36,16194038
1994-05-04,4.33,4.35,4.25,4.3,4.3,13010980
1994-05-05,4.28,4.29,4.21,4.23,4.23,12713799
1994-05-06,4.15,4.23,4.15,4.23,4.23,21744738
1994-05-09,4.13,4.14,4.05,4.07,4.07,30414636
1994-05-10,4.09,4.1,4,4.01,4.01,42940544
1994-05-11,3.99,4.02,3.87,3.87,3.87,51614131
1994-05-12,3.92,4.11,3.92,4.11,4.11,67606787
1994-05-13,4.15,4.29,4.14,4.24,4.24,45422393
1994-05-16,4.2,4.21,4.11,4.2,4.2,25178310
1994-05-17,4.18,4.21,4.13,4.19,4.19,18818336
1994-05-18,4.21,4.35,4.17,4.32,4.32,24333425
1994-05-19,4.25,4.31,4.17,4.17,4.17,33845750
1994-05-20,4.19,4.39,4.18,4.38,4.38,63292700
1994-05-23,4.4,4.51,4.37,4.5,4.5,60102263
1994-05-24,4.48,4.49,4.36,4.38,4.38,65650520
1994-05-25,17.92,17.92,17.92,17.92,17.92,12764638
1994-05-26,4.09,4.15,4.06,4.12,4.12,119704738
1994-05-27,4.11,4.13,4.01,4.07,4.07,49484721
1994-05-31,4.07,4.1,4,4.01,4.01,34936244
1994-06-01,4,4.02,3.95,3.95,3.95,37924042
1994-06-02,3.98,4,3.93,3.97,3.97,40814823
1994-06-03,3.97,4.05,3.96,4.03,4.03,32677892
1994-06-06,4.11,4.16,4.09,4.14,4.14,50938712
1994-06-07,4.12,4.18,4.09,4.12,4.12,31194434
1994-06-08,4.14,4.18,4.03,4.1,4.1,48674220
1994-06-09,4.04,4.1,4.04,4.09,4.09,23675201
1994-06-10,4.11,4.11,4.07,4.09,4.09,19394287
1994-06-13,4.07,4.11,4.07,4.07,4.07,44759262
1994-06-14,4.08,4.17,4.08,4.12,4.12,33866628
1994-06-15,4.15,4.17,4.1,4.12,4.12,22336647
1994-06-16,4.12,4.18,4.11,4.11,4.11,22594533
1994-06-17,4.12,4.13,4.1,4.1,4.1,44977848
1994-06-20,4.04,4.16,4.04,4.13,4.13,33077001
1994-06-21,4.15,4.21,4.12,4.21,4.21,42914756
1994-06-22,4.23,4.29,4.21,4.26,4.26,31206714
1994-06-23,4.24,4.28,4.16,4.16,4.16,31428984
1994-06-24,4.18,4.21,4.13,4.15,4.15,29927107
1994-06-27,4.14,4.25,4.14,4.23,4.23,21958413
1994-06-28,4.24,4.26,4.2,4.23,4.23,20250223
1994-06-29,4.21,4.28,4.2,4.22,4.22,18357825
1994-06-30,4.24,4.28,4.19,4.19,4.19,20783186
1994-07-01,4.22,4.24,4.21,4.22,4.22,16666829
1994-07-05,4.22,4.26,4.22,4.26,4.26,20352148
1994-07-06,4.24,4.29,4.23,4.28,4.28,23040309
1994-07-07,4.28,4.33,4.28,4.32,4.32,18566593
1994-07-08,4.32,4.34,4.3,4.32,4.32,19604278
1994-07-11,4.35,4.39,4.33,4.39,4.39,26266346
1994-07-12,4.39,4.39,4.21,4.33,4.33,28947136
1994-07-13,4.34,4.35,4.3,4.3,4.3,14334802
1994-07-14,4.33,4.38,4.31,4.38,4.38,23457841
1994-07-15,4.38,4.44,4.37,4.43,4.43,29068713
1994-07-18,4.43,4.47,4.4,4.45,4.45,17881350
1994-07-19,4.47,4.47,4.43,4.43,4.43,13858320
1994-07-20,4.42,4.43,4.39,4.41,4.41,23063643
1994-07-21,4.39,4.47,4.39,4.42,4.42,20802835
1994-07-22,4.41,4.43,4.38,4.4,4.4,16827704
1994-07-25,4.41,4.46,4.4,4.46,4.46,14710574
1994-07-26,4.46,4.47,4.44,4.45,4.45,11338403
1994-07-27,4.43,4.47,4.42,4.46,4.46,13130102
1994-07-28,4.47,4.5,4.46,4.46,4.46,29489929
1994-07-29,4.48,4.5,4.47,4.48,4.48,24149217
1994-08-01,4.48,4.52,4.45,4.46,4.46,26863167
1994-08-02,4.47,4.49,4.45,4.46,4.46,23477487
1994-08-03,4.45,4.49,4.44,4.47,4.47,20180226
1994-08-04,4.47,4.49,4.46,4.46,4.46,12378547
1994-08-05,4.44,4.49,4.44,4.49,4.49,20840903
1994-08-08,4.49,4.51,4.48,4.49,4.49,14580405
1994-08-09,4.47,4.54,4.47,4.51,4.51,21424220
1994-08-10,4.52,4.53,4.5,4.5,4.5,13596752
1994-08-11,4.51,4.53,4.47,4.49,4.49,13107998
1994-08-12,4.49,4.55,4.49,4.51,4.51,16718406
1994-08-15,4.51,4.52,4.48,4.51,4.51,17440488
1994-08-16,4.5,4.52,4.45,4.49,4.49,20478639
1994-08-17,4.5,4.51,4.47,4.47,4.47,15106002
1994-08-18,4.47,4.51,4.45,4.5,4.5,23036625
1994-08-19,4.51,4.52,4.48,4.52,4.52,19013595
1994-08-22,4.5,4.53,4.49,4.5,4.5,14099016
1994-08-23,4.52,4.64,4.51,4.61,4.61,42430913
1994-08-24,4.66,4.68,4.63,4.66,4.66,32674208
1994-08-25,4.65,4.68,4.61,4.63,4.63,15575111
1994-08-26,4.66,4.77,4.66,4.77,4.77,43964725
1994-08-29,4.76,4.8,4.74,4.75,4.75,39585565
1994-08-30,4.74,4.79,4.73,4.76,4.76,25207784
1994-08-31,4.68,5.03,4.68,4.97,4.97,107320047
1994-09-01,4.95,5.08,4.93,4.99,4.99,88698212
1994-09-02,5,5.02,4.95,4.95,4.95,33384013
1994-09-06,4.91,4.97,4.91,4.97,4.97,22113148
1994-09-07,4.97,4.99,4.94,4.95,4.95,36576893
1994-09-08,4.96,4.99,4.94,4.99,4.99,40851666
1994-09-09,4.88,4.9,4.82,4.88,4.88,30650415
1994-09-12,4.88,4.88,4.85,4.86,4.86,12313461
1994-09-13,4.87,4.88,4.82,4.83,4.83,17253828
1994-09-14,4.82,4.87,4.81,4.86,4.86,15715105
1994-09-15,4.85,4.91,4.85,4.9,4.9,23806602
1994-09-16,4.82,4.89,4.82,4.86,4.86,41093588
1994-09-19,4.87,4.92,4.86,4.89,4.89,19469195
1994-09-20,4.88,4.89,4.79,4.8,4.8,15988959
1994-09-21,4.83,4.86,4.8,4.86,4.86,22156127
1994-09-22,4.85,4.86,4.77,4.77,4.77,26793170
1994-09-23,4.79,4.79,4.74,4.76,4.76,27779278
1994-09-26,4.76,4.88,4.74,4.87,4.87,24867618
1994-09-27,4.85,4.9,4.83,4.87,4.87,18869916
1994-09-28,4.89,4.91,4.87,4.91,4.91,22621551
1994-09-29,4.93,4.95,4.87,4.89,4.89,23938001
1994-09-30,4.93,5.02,4.91,4.98,4.98,43418253
1994-10-03,4.98,5.01,4.93,4.96,4.96,21100018
1994-10-04,4.95,4.97,4.89,4.89,4.89,20312851
1994-10-05,4.86,4.87,4.8,4.86,4.86,27291749
1994-10-06,4.85,4.87,4.83,4.85,4.85,15257049
1994-10-07,4.85,4.88,4.82,4.88,4.88,15470727
1994-10-10,4.89,4.91,4.87,4.89,4.89,11197180
1994-10-11,4.91,4.98,4.9,4.98,4.98,26567212
1994-10-12,4.97,4.98,4.92,4.92,4.92,16395437
1994-10-13,4.96,4.98,4.92,4.93,4.93,19267800
1994-10-14,4.93,4.95,4.91,4.93,4.93,8308853
1994-10-17,4.94,5.04,4.93,5.03,5.03,28527148
1994-10-18,5.01,5.09,5,5.01,5.01,35642362
1994-10-19,5.03,5.07,5.01,5.05,5.05,30121133
1994-10-20,5.06,5.08,5.02,5.05,5.05,23102940
1994-10-21,5.04,5.04,4.98,4.98,4.98,24737448
1994-10-24,5.02,5.06,4.98,5.02,5.02,22949438
