Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,16.57,16.93,16.51,16.81,16.81,7956791
1994-01-04,16.98,17.22,16.87,17.16,17.16,7753965
1994-01-05,17.22,18.12,17.16,17.76,17.76,23336566
1994-01-06,17.82,17.88,17.4,17.46,17.46,8279174
1994-01-07,17.58,17.7,17.34,17.7,17.7,7274901
1994-01-10,17.76,17.94,17.58,17.88,17.88,6407383
1994-01-11,17.88,17.88,17.52,17.7,17.7,5260690
1994-01-12,17.7,17.7,17.4,17.46,17.46,5163996
1994-01-13,17.4,17.52,17.34,17.46,17.46,3685063
1994-01-14,17.46,17.64,17.28,17.4,17.4,4763168
1994-01-17,17.34,17.52,17.28,17.4,17.4,3939697
1994-01-18,17.46,17.7,17.4,17.46,17.46,5878188
1994-01-19,17.4,17.46,16.93,17.1,17.1,9647990
1994-01-20,16.98,17.1,16.87,17.04,17.04,6131564
1994-01-21,16.93,16.98,16.33,16.75,16.75,7174012
1994-01-24,16.69,16.81,16.45,16.57,16.57,6328308
1994-01-25,16.63,17.1,16.57,17.04,17.04,8606171
1994-01-26,16.87,17.16,16.87,17.1,17.1,5681235
1994-01-27,17.1,17.16,16.93,17.04,17.04,3825384
1994-01-28,17.16,17.4,16.98,17.16,17.16,5560001
1994-01-31,17.28,17.4,17.16,17.4,17.4,5648934
1994-02-01,17.34,17.4,17.22,17.28,17.28,4558244
1994-02-02,17.28,17.4,17.22,17.34,17.34,3967593
1994-02-03,17.28,17.52,16.87,17.4,17.4,6125481
1994-02-04,17.46,17.46,16.69,16.75,16.75,5910909
1994-02-07,16.63,16.87,16.63,16.75,16.75,7211976
1994-02-08,16.75,16.75,16.39,16.45,16.45,6080595
1994-02-09,16.51,16.63,16.39,16.63,16.63,3998426
1994-02-10,16.63,16.93,16.57,16.63,16.63,7023832
1994-02-11,16.51,16.87,16.45,16.63,16.63,4488817
1994-02-14,16.63,16.63,16.09,16.09,16.09,7455074
1994-02-15,16.09,16.21,15.97,16.09,16.09,7158700
1994-02-16,16.03,16.09,15.73,15.79,15.79,7400540
1994-02-17,16.03,16.03,15.67,15.79,15.79,6553997
1994-02-18,15.79,15.85,15.61,15.67,15.67,6732702
1994-02-22,15.73,15.79,15.44,15.55,15.55,6484989
1994-02-23,15.61,15.85,15.49,15.49,15.49,6715922
1994-02-24,15.49,15.49,15.14,15.2,15.2,7849191
1994-02-25,15.32,15.49,15.2,15.38,15.38,5046747
1994-02-28,15.55,15.67,15.44,15.44,15.44,5751920
1994-03-01,15.38,15.44,15.08,15.26,15.26,5972575
1994-03-02,14.9,15.26,14.78,15.26,15.26,6171626
1994-03-03,15.26,15.38,14.78,15.02,15.02,9502005
1994-03-04,14.96,15.02,14.66,14.78,14.78,6314464
1994-03-07,15.02,15.38,15.02,15.26,15.26,7930573
1994-03-08,15.32,15.38,15.02,15.14,15.14,3984583
1994-03-09,15.2,15.44,14.96,15.44,15.44,5604048
1994-03-10,15.49,15.49,15.14,15.2,15.2,5230906
1994-03-11,15.26,15.38,15.14,15.32,15.32,4484622
1994-03-14,15.44,15.44,15.2,15.26,15.26,3142235
1994-03-15,15.26,15.32,14.9,15.08,15.08,4571878
1994-03-16,15.02,15.14,14.84,14.9,14.9,4713038
1994-03-17,14.9,15.14,14.84,15.02,15.02,4943761
1994-03-18,15.02,15.14,14.9,15.14,15.14,11489368
1994-03-21,15.14,15.38,15.02,15.26,15.26,4325843
1994-03-22,15.02,15.02,14.48,14.54,14.54,10156000
1994-03-23,14.6,14.66,14.24,14.36,14.36,13460370
1994-03-24,14.3,14.6,14.3,14.42,14.42,8793476
1994-03-25,14.6,14.66,14.36,14.36,14.36,4305707
1994-03-28,14.48,14.48,14.3,14.48,14.48,4529508
1994-03-29,14.48,14.6,14.3,14.36,14.36,5250203
1994-03-30,14.42,14.42,14.06,14.06,14.06,8789281
1994-03-31,14.06,14.24,13.71,14.18,14.18,9483547
1994-04-04,13.77,14.18,13.65,13.89,13.89,9869064
1994-04-05,14.18,14.36,14.12,14.36,14.36,6945806
1994-04-06,14.36,14.48,14.12,14.12,14.12,4544610
1994-04-07,14.12,14.24,13.95,14.18,14.18,4453789
1994-04-08,14.12,14.42,14.12,14.3,14.3,4909991
1994-04-11,14.24,14.36,13.95,14.12,14.12,6581683
1994-04-12,14.24,14.36,14.06,14.12,14.12,5326341
1994-04-13,14.18,14.24,13.77,14,14,7058650
1994-04-14,13.83,14,13.77,13.83,13.83,6039275
1994-04-15,13.83,13.83,13.41,13.53,13.53,9668126
1994-04-18,13.53,13.89,13.41,13.71,13.71,6965312
1994-04-19,13.53,14,13.53,13.53,13.53,9732938
1994-04-20,13.59,14,13.59,14,14,9159067
1994-04-21,14.24,14.78,14.12,14.72,14.72,8363703
1994-04-22,14.78,14.9,14.6,14.78,14.78,5915523
1994-04-25,14.84,14.9,14.66,14.72,14.72,4037649
1994-04-26,14.72,14.78,14.36,14.78,14.78,5603209
1994-04-28,14.12,14.42,13.89,14.36,14.36,8115361
1994-04-29,14.24,14.42,14.06,14.12,14.12,4705068
1994-05-02,14.24,14.96,14.18,14.84,14.84,7748721
1994-05-03,15.02,15.08,14.54,14.6,14.6,6693269
1994-05-04,14.72,14.78,14.36,14.36,14.36,3629270
1994-05-05,14.48,14.54,14.3,14.3,14.3,2477262
1994-05-06,14.18,14.42,14.06,14.36,14.36,5041084
1994-05-09,14.24,14.54,14.18,14.24,14.24,4684302
1994-05-10,14.36,14.72,14.3,14.6,14.6,5950551
1994-05-11,14.6,14.66,14.24,14.24,14.24,3693243
1994-05-12,14.36,14.48,14.3,14.42,14.42,3895230
1994-05-13,14.48,14.48,14.24,14.42,14.42,2631708
1994-05-16,14.42,14.6,14.36,14.6,14.6,2634435
1994-05-17,14.54,14.9,14.48,14.78,14.78,5094150
1994-05-18,14.84,14.84,14.54,14.6,14.6,3972837
1994-05-19,14.6,14.66,14.36,14.54,14.54,3653601
1994-05-20,14.36,14.48,14.3,14.42,14.42,6620696
1994-05-23,14.3,14.42,14.24,14.42,14.42,3157337
1994-05-24,14.36,15.38,14.18,14.72,14.72,16455153
1994-05-25,14.6,14.9,14.48,14.66,14.66,7273223
1994-05-26,14.66,14.72,14.48,14.6,14.6,4769250
1994-05-27,14.54,14.6,14.42,14.54,14.54,3824126
1994-05-31,14.42,14.66,14.36,14.54,14.54,4706116
1994-06-01,14.48,14.54,14.36,14.48,14.48,5931464
1994-06-02,14.36,14.54,14.3,14.42,14.42,5371227
1994-06-03,14.54,14.78,14.42,14.78,14.78,5745418
1994-06-06,14.84,15.02,14.66,14.72,14.72,9358118
1994-06-07,14.66,14.9,14.66,14.78,14.78,5335151
1994-06-08,14.84,14.9,14.66,14.66,14.66,4181536
1994-06-09,14.84,15.2,14.84,15.14,15.14,7003487
1994-06-10,15.14,15.14,14.84,14.9,14.9,4740515
1994-06-13,14.9,15.02,14.84,14.9,14.9,3033795
1994-06-14,14.96,15.14,14.96,15.02,15.02,3860412
1994-06-15,14.96,15.08,14.9,14.96,14.96,2865577
1994-06-16,14.96,14.96,14.78,14.84,14.84,2641147
