Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,2.52,2.52,2.48,2.5,2.5,36646400
1994-01-04,2.51,2.52,2.48,2.52,2.52,45302400
1994-01-05,2.51,2.58,2.5,2.57,2.57,53974400
1994-01-06,2.58,2.65,2.58,2.64,2.64,82006400
1994-01-07,2.63,2.68,2.6,2.66,2.66,70832000
1994-01-10,2.66,2.7,2.66,2.68,2.68,74185600
1994-01-11,2.66,2.69,2.64,2.66,2.66,35360000
1994-01-12,2.66,2.68,2.62,2.67,2.67,39488000
1994-01-13,2.65,2.67,2.63,2.67,2.67,40755200
1994-01-14,2.67,2.69,2.65,2.68,2.68,45216000
1994-01-17,2.66,2.69,2.64,2.65,2.65,30755200
1994-01-18,2.66,2.67,2.63,2.64,2.64,43686400
1994-01-19,2.62,2.63,2.58,2.6,2.6,76563200
1994-01-20,2.6,2.7,2.6,2.7,2.7,145625631
1994-01-21,2.7,2.72,2.66,2.7,2.7,99078400
1994-01-24,2.69,2.72,2.66,2.66,2.66,38374400
1994-01-25,2.66,2.67,2.63,2.66,2.66,70361600
1994-01-26,2.66,2.66,2.63,2.63,2.63,50489600
1994-01-27,2.63,2.65,2.6,2.63,2.63,51129600
1994-01-28,2.64,2.67,2.63,2.65,2.65,41875200
1994-01-31,2.66,2.68,2.65,2.66,2.66,62566400
1994-02-01,2.66,2.68,2.64,2.66,2.66,44003200
1994-02-02,2.65,2.67,2.63,2.63,2.63,40924800
1994-02-03,2.63,2.64,2.61,2.64,2.64,31792000
1994-02-04,2.63,2.64,2.54,2.54,2.54,78217600
1994-02-07,2.49,2.54,2.48,2.52,2.52,118851200
1994-02-08,2.52,2.52,2.44,2.46,2.46,149875264
1994-02-09,2.45,2.51,2.44,2.49,2.49,98585600
1994-02-10,2.49,2.52,2.47,2.48,2.48,66620800
1994-02-11,2.48,2.48,2.44,2.46,2.46,53747200
1994-02-14,2.47,2.48,2.46,2.47,2.47,55270400
1994-02-15,2.49,2.51,2.48,2.49,2.49,28876800
1994-02-16,2.51,2.51,2.46,2.46,2.46,43731200
1994-02-17,2.47,2.48,2.44,2.46,2.46,85017600
1994-02-18,2.45,2.52,2.45,2.5,2.5,79465600
1994-02-22,2.5,2.51,2.45,2.48,2.48,63235200
1994-02-23,2.49,2.56,2.45,2.53,2.53,139462400
1994-02-24,2.5,2.52,2.48,2.5,2.5,82553600
1994-02-25,2.51,2.54,2.49,2.53,2.53,52995200
1994-02-28,2.54,2.59,2.53,2.58,2.58,55494400
1994-03-01,2.59,2.6,2.57,2.6,2.6,48070400
1994-03-02,2.55,2.59,2.53,2.59,2.59,68499200
1994-03-03,2.59,2.6,2.52,2.53,2.53,31564800
1994-03-04,2.53,2.55,2.52,2.53,2.53,25705600
1994-03-07,2.54,2.57,2.52,2.54,2.54,30540800
1994-03-08,2.54,2.54,2.49,2.53,2.53,24723200
1994-03-09,2.54,2.55,2.5,2.53,2.53,37024000
1994-03-10,2.55,2.57,2.52,2.53,2.53,46588800
1994-03-11,2.53,2.57,2.52,2.55,2.55,34857600
1994-03-14,2.58,2.63,2.57,2.62,2.62,69203200
1994-03-15,2.63,2.66,2.61,2.65,2.65,62934400
1994-03-16,2.66,2.66,2.64,2.65,2.65,41286400
1994-03-17,2.65,2.66,2.64,2.64,2.64,30992000
1994-03-18,2.64,2.66,2.61,2.65,2.65,36857600
1994-03-21,2.66,2.67,2.59,2.6,2.6,65078400
1994-03-22,2.57,2.68,2.57,2.65,2.65,89024000
1994-03-23,2.66,2.73,2.66,2.7,2.7,116441600
1994-03-24,2.68,2.73,2.66,2.73,2.73,60166400
1994-03-25,2.72,2.79,2.72,2.73,2.73,102051200
1994-03-28,2.73,2.75,2.62,2.7,2.7,118403200
1994-03-29,2.7,2.7,2.58,2.58,2.58,78339200
1994-03-30,2.59,2.66,2.58,2.61,2.61,86892800
1994-03-31,2.61,2.68,2.58,2.65,2.65,72297600
1994-04-04,2.58,2.68,2.57,2.64,2.64,74025600
1994-04-05,2.66,2.74,2.66,2.74,2.74,101878400
1994-04-06,2.73,2.79,2.73,2.78,2.78,80780800
1994-04-07,2.79,2.82,2.77,2.8,2.8,76630400
1994-04-08,2.8,2.81,2.72,2.72,2.72,118710400
1994-04-11,2.72,2.73,2.69,2.72,2.72,40400000
1994-04-12,2.71,2.71,2.63,2.65,2.65,84969600
1994-04-13,2.65,2.67,2.59,2.65,2.65,69644800
1994-04-14,2.64,2.66,2.62,2.63,2.63,53088000
1994-04-15,2.61,2.66,2.61,2.65,2.65,35241600
1994-04-18,2.65,2.68,2.57,2.59,2.59,78006400
1994-04-19,2.72,2.8,2.68,2.75,2.75,291273631
1994-04-20,2.77,2.8,2.72,2.8,2.8,104732800
1994-04-21,2.8,2.87,2.79,2.86,2.86,141980800
1994-04-22,2.88,2.9,2.84,2.87,2.87,66060800
1994-04-25,2.88,2.95,2.86,2.93,2.93,142745632
1994-04-26,2.95,2.98,2.94,2.97,2.97,113193600
1994-04-28,2.98,2.98,2.87,2.88,2.88,141382400
1994-04-29,2.88,2.92,2.85,2.89,2.89,56803200
1994-05-02,2.9,2.99,2.88,2.98,2.98,79260800
1994-05-03,2.98,2.98,2.91,2.92,2.92,41929600
1994-05-04,2.93,2.98,2.9,2.97,2.97,68889600
1994-05-05,2.98,3.01,2.94,2.95,2.95,56374400
1994-05-06,2.91,2.93,2.84,2.88,2.88,96403200
1994-05-09,2.87,2.93,2.86,2.88,2.88,47600000
1994-05-10,2.91,2.95,2.9,2.94,2.94,65305600
1994-05-11,2.94,2.95,2.9,2.92,2.92,57433600
1994-05-12,2.92,2.98,2.91,2.95,2.95,58998400
1994-05-13,3.05,3.05,2.95,3.02,3.02,179920000
1994-05-16,3.01,3.02,2.96,2.97,2.97,56633600
1994-05-17,2.97,2.98,2.92,2.96,2.96,122464000
1994-05-18,2.98,3.05,2.96,3.03,3.03,96953600
1994-05-19,3.04,3.09,3.03,3.07,3.07,89651200
1994-05-20,3.06,3.1,3.04,3.05,3.05,78140800
1994-05-23,3.06,3.19,3.03,3.16,3.16,74947200
1994-05-24,3.2,3.24,3.14,3.2,3.2,85144000
1994-05-25,3.19,3.3,3.14,3.28,3.28,86003200
1994-05-26,3.3,3.3,3.2,3.25,3.25,64296000
1994-05-27,3.23,3.3,3.2,3.27,3.27,47544000
1994-05-31,3.27,3.36,3.24,3.36,3.36,76000000
1994-06-01,3.34,3.34,3.27,3.31,3.31,100764816
1994-06-02,3.33,3.34,3.25,3.27,3.27,60291200
1994-06-03,3.28,3.34,3.27,3.3,3.3,86841632
1994-06-06,3.29,3.41,3.23,3.41,3.41,764504064
