Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,20.5,20.5,20.19,20.31,20.31,1845200
1994-01-04,20.19,20.31,20,20.06,20.06,1425800
1994-01-05,20.06,20.13,19.56,19.88,19.88,3720400
1994-01-06,19.88,20,19.63,19.63,19.63,2997400
1994-01-07,19.63,20.06,19.63,20.06,20.06,2027400
1994-01-10,20.06,20.56,19.94,20.44,20.44,2690000
1994-01-11,20.5,20.56,20.19,20.31,20.31,2255400
1994-01-12,20.25,20.25,20,20.13,20.13,1839400
1994-01-13,20.06,20.13,19.75,20,20,2327800
1994-01-14,20,20.31,20,20,20,1908400
1994-01-17,19.88,20.13,19.81,19.81,19.81,1495400
1994-01-18,19.81,20,19.69,19.81,19.81,2467600
1994-01-19,19.88,20.19,19.81,20.19,20.19,2858600
1994-01-20,20,20.06,19.88,20,20,2104800
1994-01-21,20,20,19.88,20,20,2868800
1994-01-24,19.94,19.94,19.63,19.69,19.69,2083600
1994-01-25,19.63,19.94,19.63,19.63,19.63,2133800
1994-01-26,19.63,19.88,19.56,19.56,19.56,2276200
1994-01-27,19.69,20.31,19.69,20.13,20.13,3495200
1994-01-28,20.19,20.31,20,20.06,20.06,2350200
1994-01-31,20.13,20.5,20.13,20.19,20.19,2377000
1994-02-01,19.94,20,19.69,19.81,19.81,5615600
1994-02-02,19.81,19.88,19.69,19.81,19.81,2713400
1994-02-03,19.75,19.81,19.56,19.63,19.63,2633800
1994-02-04,19.56,19.56,19,19.13,19.13,7704200
1994-02-07,19.06,19.38,19.06,19.25,19.25,4863000
1994-02-08,19.31,19.31,19.19,19.25,19.25,2697000
1994-02-09,19.19,19.31,19.06,19.19,19.19,1839400
1994-02-10,19.25,19.25,19.06,19.19,19.19,1931600
1994-02-11,19.25,19.5,19.19,19.5,19.5,2157400
1994-02-14,19.38,19.56,19.19,19.31,19.31,2514400
1994-02-15,19.38,19.5,19.25,19.38,19.38,2325600
1994-02-16,19.38,19.75,19.38,19.63,19.63,2638000
1994-02-17,19.69,19.69,19.13,19.25,19.25,3327000
1994-02-18,19.31,19.5,19.25,19.5,19.5,3807800
1994-02-22,19.5,19.94,19.5,19.81,19.81,2948200
1994-02-23,19.94,20,19.69,19.81,19.81,3044200
1994-02-24,19.69,19.81,19.44,19.44,19.44,2277400
1994-02-25,19.5,19.56,19.38,19.38,19.38,1829000
1994-02-28,19.44,19.88,19.44,19.56,19.56,2180400
1994-03-01,19.63,19.75,19.5,19.56,19.56,2363000
1994-03-02,19.31,19.56,19.25,19.44,19.44,2692400
1994-03-03,19.56,19.56,19.06,19.06,19.06,2326800
1994-03-04,19.13,19.13,18.94,19,19,2435600
1994-03-07,19.06,19.13,18.75,18.75,18.75,2602200
1994-03-08,18.75,18.81,18.38,18.56,18.56,6373400
1994-03-09,18.44,18.5,18.31,18.38,18.38,4649200
1994-03-10,18.56,18.56,18.06,18.25,18.25,4593400
1994-03-11,18.25,18.31,18.06,18.06,18.06,2760200
1994-03-14,18,18.19,17.88,18,18,4325400
1994-03-15,18.06,18.56,18.06,18.44,18.44,6113800
1994-03-16,18.56,18.75,18.44,18.63,18.63,3286000
1994-03-17,18.69,19,18.5,18.94,18.94,3674200
1994-03-18,18.88,18.94,18.69,18.81,18.81,5682800
1994-03-21,18.75,18.75,18.44,18.63,18.63,2233400
1994-03-22,18.56,18.75,18.5,18.63,18.63,1945400
1994-03-23,18.56,18.69,18.5,18.5,18.5,2104200
1994-03-24,18.38,18.75,18.31,18.75,18.75,3353400
1994-03-25,18.69,18.81,18.56,18.63,18.63,1866200
1994-03-28,18.56,18.75,18.5,18.63,18.63,1845600
1994-03-29,18.63,18.75,18.44,18.5,18.5,3103000
1994-03-30,18.44,18.5,18.25,18.25,18.25,3491600
1994-03-31,18.19,18.5,18,18.31,18.31,4433200
1994-04-04,18,18.25,17.94,18.13,18.13,3159600
1994-04-05,18.13,18.38,18.13,18.31,18.31,4213600
1994-04-06,18.38,18.5,18.25,18.31,18.31,2607800
1994-04-07,18.31,18.38,18.19,18.31,18.31,2346200
1994-04-08,18.25,18.44,18.19,18.31,18.31,2371400
1994-04-11,18.38,18.38,18.25,18.25,18.25,1300200
1994-04-12,18.38,18.44,18.25,18.38,18.38,1951000
1994-04-13,18.38,18.5,18.31,18.44,18.44,1847200
1994-04-14,18.38,18.56,18.38,18.44,18.44,2073800
1994-04-15,18.38,18.5,18.31,18.38,18.38,2753600
1994-04-18,18.38,18.56,18.31,18.31,18.31,2531400
1994-04-19,18.31,18.5,18.31,18.38,18.38,1867000
1994-04-20,18.38,18.44,17.88,18,18,4605400
1994-04-21,18.06,18.31,18,18.13,18.13,4494800
1994-04-22,18.19,18.25,17.81,17.81,17.81,2483800
1994-04-25,17.88,18.38,17.81,18.38,18.38,2070800
1994-04-26,18.38,18.5,17.81,18.31,18.31,2332400
1994-04-28,18.38,18.56,18.38,18.5,18.5,2829400
1994-04-29,18.38,18.5,18.25,18.25,18.25,2015800
1994-05-02,18.38,18.44,18.13,18.38,18.38,1600400
1994-05-03,18.56,18.63,18.44,18.5,18.5,2108400
1994-05-04,18.5,18.63,18.19,18.5,18.5,2611200
1994-05-05,18.44,18.44,18,18,18,1608200
1994-05-06,17.88,18,17.75,17.94,17.94,2721400
1994-05-09,17.75,17.94,17.63,17.88,17.88,2374000
1994-05-10,17.94,18.06,17.81,17.94,17.94,2486000
1994-05-11,17.81,17.88,17.56,17.69,17.69,1926000
1994-05-12,17.81,17.94,17.63,17.88,17.88,1899800
1994-05-13,17.94,18,17.69,17.75,17.75,1777400
1994-05-16,17.81,18,17.69,18,18,1648200
1994-05-17,18,18.5,17.94,18.5,18.5,2100800
1994-05-18,18.5,18.69,18.38,18.56,18.56,2075600
1994-05-19,18.56,18.63,18.31,18.38,18.38,1622800
1994-05-20,18.25,18.56,18.19,18.31,18.31,2761600
1994-05-23,18.19,18.31,18.06,18.06,18.06,2322600
1994-05-24,18.31,18.31,18.13,18.19,18.19,3994600
1994-05-25,18.06,18.31,18,18.19,18.19,1972600
1994-05-26,18.19,18.31,18.13,18.31,18.31,2527800
1994-05-27,18.25,18.31,18.13,18.25,18.25,1515800
1994-05-31,18.25,18.25,18,18,18,3044200
1994-06-01,17.94,18.19,17.88,18.13,18.13,2330800
1994-06-02,18.19,18.44,18.19,18.38,18.38,2897000
1994-06-03,18.25,18.31,17.88,18,18,4294200
1994-06-06,17.63,17.69,17.31,17.31,17.31,8426000
1994-06-07,17.31,17.5,17.31,17.44,17.44,5389800
1994-06-08,17.44,17.56,17.25,17.25,17.25,4822600
1994-06-09,15.56,16,14.94,15.75,15.75,42254016
1994-06-10,15.81,15.88,15.56,15.56,15.56,17738204
1994-06-13,15.5,15.69,15.5,15.69,15.69,8167200
1994-06-14,15.69,16,15.63,15.94,15.94,8376400
1994-06-15,16,16.19,15.94,16.06,16.06,6668400
1994-06-16,16,16.06,15.75,15.88,15.88,4456800
1994-06-17,15.94,16,15.63,15.63,15.63,7299800
1994-06-20,15.5,15.56,15.38,15.5,15.5,3895600
1994-06-21,15.5,15.81,15.44,15.75,15.75,3219400
1994-06-22,15.88,15.94,15.75,15.88,15.88,3527600
1994-06-23,15.81,15.88,15.56,15.56,15.56,4310800
1994-06-24,15.56,15.63,15.31,15.38,15.38,3847000
1994-06-27,15.38,15.56,15.19,15.5,15.5,4284400
1994-06-28,15.5,15.56,15.38,15.44,15.44,2646000
1994-06-29,15.5,15.69,15.44,15.63,15.63,3609200
1994-06-30,15.63,15.69,15.25,15.31,15.31,3007400
1994-07-01,15.38,15.38,15.19,15.25,15.25,2466600
1994-07-05,15.25,15.38,15.19,15.31,15.31,4580000
1994-07-06,15.25,15.31,15.06,15.06,15.06,3652400
1994-07-07,15.38,15.38,15.13,15.31,15.31,5229600
1994-07-08,15.31,15.44,15.25,15.38,15.38,3469800
1994-07-11,15.38,15.44,15.19,15.44,15.44,3256200
1994-07-12,15.44,15.44,15.25,15.31,15.31,3225000
1994-07-13,15.38,15.44,15.13,15.25,15.25,3721800
1994-07-14,15.31,15.5,15.25,15.38,15.38,3063600
1994-07-15,15.44,15.63,15.31,15.63,15.63,4084400
1994-07-18,15.5,15.5,15.25,15.25,15.25,3672400
1994-07-19,15.31,15.56,15.25,15.25,15.25,4719600
1994-07-20,15.25,15.38,15.19,15.19,15.19,3746400
1994-07-21,15.25,15.25,15,15.06,15.06,4972600
1994-07-22,15.13,15.13,15,15.06,15.06,4198000
1994-07-25,15.06,15.06,14.94,15,15,3070000
1994-07-26,14.94,15.06,14.94,15.06,15.06,3518800
1994-07-27,15.06,15.13,14.94,14.94,14.94,3694200
1994-07-28,14.75,14.9,14.63,14.88,14.88,7869800
1994-07-29,15.06,15.38,15.04,15.25,15.25,5276400
1994-08-01,15.25,15.5,15.25,15.44,15.44,2840200
1994-08-02,15.56,15.63,15.38,15.44,15.44,3430000
1994-08-03,15.44,15.5,15.31,15.44,15.44,3731800
1994-08-04,15.38,15.5,15.38,15.5,15.5,3309600
1994-08-05,15.44,15.5,15.38,15.5,15.5,2782000
1994-08-08,15.5,15.75,15.38,15.75,15.75,4351000
1994-08-09,15.69,15.69,15.5,15.56,15.56,2507600
1994-08-10,15.56,15.69,15.56,15.56,15.56,2539000
1994-08-11,15.63,15.75,15.56,15.56,15.56,3787600
1994-08-12,15.56,15.94,15.5,15.88,15.88,3024400
1994-08-15,15.94,16,15.56,15.56,15.56,2820200
1994-08-16,15.69,16.25,15.69,16.19,16.19,5470200
1994-08-17,16.38,16.63,16.31,16.63,16.63,4813400
1994-08-18,16.5,16.5,16.31,16.38,16.38,3613200
1994-08-19,16.44,16.81,16.38,16.75,16.75,5654600
1994-08-22,16.63,16.75,16.44,16.75,16.75,2858600
1994-08-23,17.06,17.25,16.88,17,17,5588400
1994-08-24,17.06,17.25,17,17.25,17.25,4067200
1994-08-25,17.19,17.31,16.88,16.94,16.94,4463200
1994-08-26,17,17.19,16.94,17.13,17.13,2259200
1994-08-29,17.13,17.19,16.88,16.88,16.88,2209600
1994-08-30,16.88,16.94,16.75,16.75,16.75,2569400
1994-08-31,16.69,16.81,16.56,16.56,16.56,2398200
1994-09-01,16.5,16.81,16.5,16.81,16.81,2454800
1994-09-02,16.88,16.88,16.69,16.88,16.88,1745000
1994-09-06,16.81,16.94,16.75,16.75,16.75,1498000
1994-09-07,16.75,16.75,16.44,16.63,16.63,2537000
1994-09-08,16.63,16.81,16.56,16.75,16.75,2392800
1994-09-09,16.63,16.69,16.44,16.56,16.56,2102800
1994-09-12,16.56,16.63,16.5,16.5,16.5,1887200
1994-09-13,16.5,16.56,16.38,16.5,16.5,2262000
1994-09-14,16.44,16.63,16.44,16.63,16.63,2200200
1994-09-15,16.75,17,16.63,17,17,2816400
1994-09-16,16.75,16.88,16.63,16.63,16.63,4634400
1994-09-19,16.63,16.75,16.56,16.69,16.69,1981600
1994-09-20,16.44,16.56,16.25,16.25,16.25,4378200
1994-09-21,16.44,16.5,16.25,16.25,16.25,3286600
1994-09-22,16.44,16.63,16.25,16.31,16.31,3427600
1994-09-23,16.25,16.31,16.13,16.25,16.25,2163600
1994-09-26,16.13,16.5,16.13,16.5,16.5,2617600
1994-09-27,16.56,16.56,16.19,16.38,16.38,1884600
1994-09-28,16.44,16.69,16.38,16.69,16.69,4083200
1994-09-29,16.69,16.75,16.5,16.56,16.56,2483800
1994-09-30,16.63,16.69,16.5,16.56,16.56,2606400
1994-10-03,16.63,16.88,16.5,16.81,16.81,3144600
1994-10-04,16.81,16.94,16.31,16.31,16.31,2938400
1994-10-05,16.31,16.69,16.19,16.69,16.69,2735200
1994-10-06,16.69,16.75,16.5,16.5,16.5,1826000
1994-10-07,16.44,16.56,16.13,16.13,16.13,2080200
1994-10-10,16.19,16.31,16.13,16.25,16.25,1135200
1994-10-11,17,17.38,16.94,17.38,17.38,7946800
1994-10-12,17.38,17.38,17.06,17.25,17.25,4812600
1994-10-13,17.5,17.5,17.19,17.25,17.25,3704800
1994-10-14,17.25,17.31,17.06,17.06,17.06,3047800
1994-10-17,17.13,17.19,16.94,17.06,17.06,2030000
1994-10-18,17,17.06,16.88,17,17,1854600
1994-10-19,16.94,17.44,16.94,17.38,17.38,3316800
1994-10-20,17.31,17.38,17.06,17.13,17.13,4167200
1994-10-21,17.06,17.25,17,17.19,17.19,2729400
1994-10-24,17.06,17.25,16.88,17,17,2573200
1994-10-25,16.81,17.13,16.81,17.13,17.13,1969800
1994-10-26,17.25,17.38,17.13,17.38,17.38,2733600
1994-10-27,17.38,17.56,17.31,17.44,17.44,3688600
1994-10-28,17.44,17.56,17.38,17.56,17.56,2950600
1994-10-31,17.56,17.56,17.44,17.5,17.5,2524400
1994-11-01,17.5,17.81,17.5,17.75,17.75,3623000
1994-11-02,17.63,17.75,17.56,17.63,17.63,3314200
1994-11-03,17.69,17.88,17.63,17.81,17.81,2627200
1994-11-04,17.75,17.88,17.69,17.69,17.69,2705400
1994-11-07,17.75,17.88,17.69,17.81,17.81,2157600
1994-11-08,17.75,18.06,17.69,17.94,17.94,3737200
1994-11-09,18.06,18.13,17.69,17.81,17.81,3078800
1994-11-10,17.88,17.94,17.56,17.63,17.63,2085600
1994-11-11,18,18.44,17.94,18.44,18.44,4911800
1994-11-14,18.44,18.69,18.31,18.56,18.56,3895000
1994-11-15,18.38,18.5,18.25,18.38,18.38,2770200
1994-11-16,18.38,18.5,18.31,18.38,18.38,2048800
1994-11-17,18.44,18.5,18.31,18.5,18.5,4020400
1994-11-18,18.31,18.38,18.13,18.31,18.31,5172600
1994-11-21,18.38,18.5,18.31,18.44,18.44,2665200
1994-11-22,18.31,18.44,18,18,18,3854200
1994-11-23,17.75,17.94,17.63,17.75,17.75,3376200
1994-11-25,17.88,18,17.81,17.94,17.94,1018600
1994-11-28,17.88,18,17.69,18,18,1927800
1994-11-29,17.94,17.94,17.75,17.94,17.94,1591000
1994-11-30,17.88,17.94,17.63,17.63,17.63,2335800
1994-12-01,17.63,17.75,17.56,17.56,17.56,2566200
1994-12-02,17.63,18,17.56,17.94,17.94,1953200
1994-12-05,17.94,18.13,17.88,18.06,18.06,2407000
1994-12-06,18.06,18.13,17.88,17.94,17.94,1929600
1994-12-07,17.94,18.06,17.88,17.94,17.94,3213600
1994-12-08,17.81,17.94,17.5,17.56,17.56,2896400
1994-12-09,17.5,17.63,17.38,17.63,17.63,2787400
1994-12-12,17.56,17.94,17.56,17.88,17.88,2282000
1994-12-13,17.81,18,17.81,17.88,17.88,2714600
1994-12-14,17.88,17.94,17.75,17.81,17.81,2178800
1994-12-15,17.94,18,17.75,17.94,17.94,4014600
1994-12-16,18,18.38,17.88,18.38,18.38,8311204
1994-12-19,18.25,18.38,18.19,18.31,18.31,2530800
1994-12-20,18.31,18.38,17.94,18.13,18.13,3220000
1994-12-21,18.13,18.44,17.81,18.19,18.19,2985400
1994-12-22,18.19,18.31,18.13,18.13,18.13,1725200
1994-12-23,18.13,18.19,18.06,18.13,18.13,759600
1994-12-27,18.19,18.38,18.13,18.38,18.38,1016600
1994-12-28,18.31,18.38,18.19,18.31,18.31,1072200
1994-12-29,18.25,18.38,18.13,18.31,18.31,1561600
1994-12-30,18.31,18.31,18.06,18.13,18.13,1770400
1995-01-03,18.13,18.13,17.81,18,18,2551000
1995-01-04,17.5,17.75,17.25,17.75,17.75,6746000
1995-01-05,17.69,17.75,17.38,17.38,17.38,4363200
1995-01-06,17.44,17.56,17.38,17.38,17.38,2682600
1995-01-09,17.38,17.56,17.38,17.44,17.44,3072200
1995-01-10,17.44,17.5,17.25,17.25,17.25,3744000
1995-01-11,17.38,17.44,16.94,17,17,5871800
1995-01-12,17,17.13,16.94,16.94,16.94,3480400
1995-01-13,17.13,17.25,16.94,17.13,17.13,3749000
1995-01-16,17.19,17.31,17.13,17.31,17.31,2901400
1995-01-17,17.31,17.63,17.25,17.56,17.56,3737000
1995-01-18,17.5,17.56,17.31,17.31,17.31,2340800
1995-01-19,17.31,17.44,17.06,17.25,17.25,2090400
1995-01-20,17.25,17.31,17.06,17.19,17.19,4870600
1995-01-23,17.13,17.38,17.06,17.38,17.38,2160800
1995-01-24,17.44,17.63,17.31,17.5,17.5,4543800
1995-01-25,17.63,17.81,17.5,17.75,17.75,3314600
1995-01-26,17.88,17.94,17.81,17.81,17.81,2725400
1995-01-27,18.06,18.38,18.06,18.19,18.19,3946600
1995-01-30,18.13,18.44,18,18.19,18.19,4864200
1995-01-31,18.25,18.5,18.19,18.44,18.44,4432000
1995-02-01,18.63,18.81,18.44,18.56,18.56,6117400
1995-02-02,18.38,19,18.38,19,19,4864000
1995-02-03,19,19.63,19,19.44,19.44,9578000
1995-02-06,19.38,19.69,19.19,19.31,19.31,3706000
1995-02-07,19.06,19.13,18.81,18.94,18.94,6385800
1995-02-08,18.75,18.81,18.44,18.44,18.44,5335800
1995-02-09,18.44,18.56,18.13,18.44,18.44,3764000
1995-02-10,18.5,18.81,18.38,18.75,18.75,2310800
1995-02-13,18.69,18.81,18.5,18.5,18.5,1352800
1995-02-14,19.06,19.5,18.94,19.31,19.31,9588602
1995-02-15,19.31,19.38,19,19.19,19.19,4079000
1995-02-16,19.13,19.31,19.06,19.31,19.31,2337200
1995-02-17,19.31,19.5,19.13,19.31,19.31,3439400
1995-02-21,19.38,19.5,19.25,19.5,19.5,2981000
1995-02-22,19.5,19.63,19.38,19.5,19.5,6178800
1995-02-23,19.56,19.81,19.56,19.63,19.63,3900200
1995-02-24,19.56,19.81,19.56,19.81,19.81,3160000
1995-02-27,19.75,19.88,19.31,19.38,19.38,3154000
1995-02-28,19.31,19.56,19.25,19.56,19.56,2842800
1995-03-01,19.75,19.81,19.38,19.38,19.38,2722600
1995-03-02,19.38,19.44,19.19,19.38,19.38,2543000
1995-03-03,19.38,19.5,19.25,19.44,19.44,1590600
1995-03-06,19.25,19.69,19.13,19.63,19.63,2338800
1995-03-07,19.56,19.69,19.19,19.19,19.19,2363200
1995-03-08,19.19,19.31,18.94,19.06,19.06,1887400
1995-03-09,19.06,19.38,19,19.25,19.25,2560800
1995-03-10,19.31,19.88,19.25,19.88,19.88,3340000
1995-03-13,19.75,19.94,19.63,19.75,19.75,3393800
