Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,5.45,5.49,5.37,5.37,5.37,8252433
1994-01-04,5.39,5.39,5.3,5.39,5.39,7382756
1994-01-05,5.42,5.49,5.41,5.43,5.43,12508405
1994-01-06,5.45,5.48,5.38,5.39,5.39,9480360
1994-01-07,5.38,5.41,5.33,5.39,5.39,9033496
1994-01-10,5.41,5.51,5.36,5.49,5.49,7352374
1994-01-11,5.5,5.52,5.41,5.45,5.45,7873927
1994-01-12,5.45,5.47,5.37,5.42,5.42,4614222
1994-01-13,5.41,5.43,5.37,5.39,5.39,3624285
1994-01-14,5.39,5.42,5.34,5.34,5.34,6973869
1994-01-17,5.35,5.38,5.33,5.33,5.33,5419338
1994-01-18,5.36,5.43,5.35,5.36,5.36,6086469
1994-01-19,5.06,5.07,4.89,4.97,4.97,73181960
1994-01-20,4.96,5.03,4.92,4.95,4.95,37565727
1994-01-21,4.94,5.01,4.93,5,5,21849518
1994-01-24,4.99,5,4.86,4.86,4.86,19258210
1994-01-25,4.82,4.95,4.8,4.9,4.9,14292065
1994-01-26,4.84,4.97,4.83,4.96,4.96,12231171
1994-01-27,4.95,4.99,4.94,4.97,4.97,9360099
1994-01-28,5,5.06,4.94,5.05,5.05,12412196
1994-01-31,5.06,5.11,5.06,5.11,5.11,12029894
1994-02-01,5.11,5.12,5.03,5.05,5.05,13026160
1994-02-02,5.05,5.09,5.05,5.07,5.07,7405543
1994-02-03,5.02,5.06,4.94,5.06,5.06,11946344
1994-02-04,5.04,5.06,4.9,4.9,4.9,6744740
1994-02-07,4.86,4.92,4.82,4.87,4.87,13702153
1994-02-08,4.86,4.88,4.56,4.69,4.69,53384499
1994-02-09,4.69,4.73,4.68,4.71,4.71,23431899
1994-02-10,4.73,4.78,4.69,4.7,4.7,31079230
1994-02-11,4.69,4.71,4.64,4.69,4.69,10188001
1994-02-14,4.66,4.68,4.59,4.6,4.6,17769506
1994-02-15,4.61,4.64,4.57,4.57,4.57,12410930
1994-02-16,4.58,4.6,4.52,4.53,4.53,25630775
1994-02-17,4.54,4.54,4.44,4.5,4.5,17354289
1994-02-18,4.5,4.54,4.47,4.53,4.53,12462833
1994-02-22,4.56,4.59,4.52,4.56,4.56,10752595
1994-02-23,4.59,4.62,4.56,4.56,4.56,12080529
1994-02-24,4.54,4.54,4.46,4.47,4.47,12583094
1994-02-25,4.5,4.59,4.47,4.53,4.53,9566442
1994-02-28,4.56,4.6,4.55,4.58,4.58,8860067
1994-03-01,4.58,4.6,4.49,4.51,4.51,16766909
1994-03-02,4.48,4.53,4.45,4.5,4.5,9056282
1994-03-03,4.48,4.51,4.4,4.41,4.41,10948810
1994-03-04,4.43,4.45,4.35,4.42,4.42,13637592
1994-03-07,4.49,4.51,4.45,4.49,4.49,9441118
1994-03-08,4.49,4.56,4.46,4.52,4.52,11541254
1994-03-09,4.5,4.58,4.44,4.54,4.54,13250225
1994-03-10,4.53,4.57,4.48,4.48,4.48,9162618
1994-03-11,4.49,4.57,4.48,4.56,4.56,6828290
1994-03-14,4.57,4.57,4.47,4.48,4.48,9523402
1994-03-15,4.51,4.51,4.39,4.44,4.44,8139768
1994-03-16,4.44,4.47,4.36,4.46,4.46,10395610
1994-03-17,4.46,4.56,4.46,4.55,4.55,9553783
1994-03-18,4.54,4.57,4.5,4.5,4.5,16411189
1994-03-21,4.52,4.62,4.52,4.58,4.58,11364027
1994-03-22,4.48,4.54,4.47,4.5,4.5,11998245
1994-03-23,4.5,4.51,4.37,4.38,4.38,18522719
1994-03-24,4.44,4.44,4.36,4.4,4.4,17713806
1994-03-25,4.41,4.45,4.4,4.42,4.42,9372758
1994-03-28,4.42,4.45,4.34,4.36,4.36,9244902
1994-03-29,4.36,4.38,4.34,4.36,4.36,8197999
1994-03-30,4.36,4.39,4.25,4.27,4.27,15754185
1994-03-31,4.27,4.31,4.2,4.27,4.27,16226367
1994-04-04,4.21,4.31,4.21,4.24,4.24,12459035
1994-04-05,4.3,4.34,4.27,4.31,4.31,11222246
1994-04-06,4.29,4.33,4.29,4.3,4.3,9062612
1994-04-07,4.3,4.39,4.28,4.37,4.37,6606756
1994-04-08,4.34,4.39,4.29,4.31,4.31,10581698
1994-04-11,4.31,4.34,4.3,4.31,4.31,7034632
1994-04-12,4.32,4.32,4.24,4.25,4.25,6489027
1994-04-13,4.26,4.31,4.23,4.26,4.26,10727277
1994-04-14,4.26,4.34,4.26,4.32,4.32,7330854
1994-04-15,4.33,4.34,4.27,4.27,4.27,8581568
1994-04-18,4.27,4.32,4.23,4.25,4.25,7210593
1994-04-19,4.24,4.41,4.24,4.4,4.4,11866591
1994-04-20,4.48,4.57,4.44,4.56,4.56,18546771
1994-04-21,4.62,4.71,4.57,4.7,4.7,15975719
1994-04-22,4.73,4.73,4.62,4.65,4.65,7576439
1994-04-25,4.65,4.67,4.61,4.64,4.64,8487891
1994-04-26,4.62,4.62,4.55,4.58,4.58,6605491
1994-04-28,4.58,4.62,4.52,4.59,4.59,10896908
1994-04-29,4.58,4.68,4.56,4.66,4.66,10419662
1994-05-02,4.66,4.84,4.66,4.83,4.83,17120097
1994-05-03,4.85,4.94,4.79,4.82,4.82,17458093
1994-05-04,4.85,4.85,4.7,4.73,4.73,8215721
1994-05-05,4.74,4.79,4.74,4.76,4.76,6457380
1994-05-06,4.76,4.76,4.7,4.7,4.7,6981465
1994-05-09,4.68,4.75,4.68,4.7,4.7,6638404
1994-05-10,4.76,4.8,4.75,4.76,4.76,7262495
1994-05-11,4.76,4.81,4.76,4.8,4.8,6253569
1994-05-12,4.83,4.87,4.82,4.85,4.85,6966274
1994-05-13,4.85,4.86,4.79,4.81,4.81,6540930
1994-05-16,4.83,4.9,4.83,4.89,4.89,9406938
1994-05-17,4.88,5.03,4.88,5.01,5.01,15161741
1994-05-18,4.97,5,4.94,4.97,4.97,11560242
1994-05-19,4.97,5.02,4.94,5.02,5.02,10718415
1994-05-20,4.98,5.02,4.96,5,5,11331114
1994-05-23,4.98,5,4.97,5,5,6166222
1994-05-24,5,5.07,4.99,5.03,5.03,14499674
1994-05-25,5.03,5.06,5,5.05,5.05,10271551
1994-05-26,5.07,5.1,5.02,5.1,5.1,8058750
1994-05-27,5.07,5.08,5,5.05,5.05,6494091
1994-05-31,4.99,5.06,4.99,5.04,5.04,4996526
1994-06-01,5.01,5.03,4.97,5,5,6913105
1994-06-02,5,5.04,4.97,5.02,5.02,5672518
1994-06-03,5,5.07,5,5.07,5.07,5002855
1994-06-06,5.09,5.11,4.98,4.98,4.98,6625745
1994-06-07,4.97,4.98,4.93,4.97,4.97,5852277
1994-06-08,4.99,5.01,4.91,4.92,4.92,5119318
1994-06-09,4.95,5.03,4.94,5.01,5.01,8870195
1994-06-10,5.03,5.03,4.96,4.98,4.98,6706763
1994-06-13,4.98,5.04,4.98,5.01,5.01,3879997
1994-06-14,5.04,5.07,5.03,5.07,5.07,6304205
1994-06-15,5.09,5.09,5.04,5.07,5.07,5204134
1994-06-16,5.06,5.07,5.04,5.05,5.05,3673655
1994-06-17,5.07,5.08,5.02,5.06,5.06,11746331
1994-06-20,5.02,5.05,5.01,5.05,5.05,5496558
1994-06-21,5.05,5.11,5.04,5.05,5.05,10651322
1994-06-22,5.06,5.08,4.94,4.97,4.97,6137106
1994-06-23,4.97,5.02,4.96,4.99,4.99,5563651
1994-06-24,4.97,4.99,4.89,4.9,4.9,7157425
1994-06-27,4.88,4.94,4.87,4.91,4.91,4418007
1994-06-28,4.92,4.94,4.83,4.88,4.88,4825628
1994-06-29,4.91,4.99,4.9,4.98,4.98,6735878
1994-06-30,5,5.01,4.98,4.99,4.99,6548525
1994-07-01,5.01,5.02,4.96,4.96,4.96,4455984
1994-07-05,4.96,5.01,4.94,4.95,4.95,5310470
1994-07-06,4.94,4.95,4.89,4.89,4.89,6996655
1994-07-07,4.9,4.96,4.9,4.92,4.92,3919241
1994-07-08,4.9,4.97,4.88,4.97,4.97,5871266
1994-07-11,4.99,5,4.95,5,5,5226920
1994-07-12,4.98,4.99,4.9,4.9,4.9,3969877
1994-07-13,4.91,4.94,4.9,4.9,4.9,4052161
1994-07-14,4.91,4.97,4.91,4.96,4.96,4007853
1994-07-15,4.95,4.98,4.94,4.96,4.96,2739417
1994-07-18,4.96,4.97,4.92,4.93,4.93,3210334
1994-07-19,4.93,4.94,4.9,4.91,4.91,2971078
1994-07-20,4.87,4.88,4.67,4.75,4.75,17702413
1994-07-21,4.76,4.78,4.71,4.78,4.78,9315793
1994-07-22,4.78,4.8,4.73,4.74,4.74,5528206
1994-07-25,4.75,4.88,4.74,4.87,4.87,7966338
1994-07-26,4.87,4.89,4.86,4.87,4.87,10129770
1994-07-27,4.87,4.87,4.84,4.86,4.86,3958484
1994-07-28,4.86,4.88,4.83,4.86,4.86,5028173
1994-07-29,4.87,4.93,4.87,4.9,4.9,5626946
1994-08-01,4.88,4.91,4.85,4.86,4.86,5115521
1994-08-02,4.89,5.02,4.86,5.02,5.02,38321471
1994-08-03,5.02,5.05,4.98,5,5,15087054
1994-08-04,4.99,5.02,4.98,5,5,4097733
1994-08-05,4.97,4.97,4.94,4.95,4.95,4291416
1994-08-08,4.96,4.99,4.92,4.95,4.95,6277621
1994-08-09,4.95,5.03,4.92,5.03,5.03,10809561
