Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,14.11,14.27,14.08,14.27,14.27,4293932
1994-01-04,14.11,14.21,14.02,14.05,14.05,2428862
1994-01-05,13.99,14.08,13.86,13.93,13.93,5059628
1994-01-06,13.93,14.14,13.77,14.11,14.11,3687826
1994-01-07,14.11,14.14,13.96,14.08,14.08,2347054
1994-01-10,14.11,14.61,14.02,14.61,14.61,4420878
1994-01-11,14.49,14.55,14.42,14.52,14.52,2984596
1994-01-12,14.55,14.61,14.36,14.52,14.52,2393802
1994-01-13,14.36,14.49,14.11,14.14,14.14,3370666
1994-01-14,14.08,14.45,14.08,14.36,14.36,2961222
1994-01-17,14.3,14.39,14.18,14.33,14.33,1892876
1994-01-18,14.36,14.49,14.3,14.33,14.33,3838546
1994-01-19,14.33,14.58,14.33,14.45,14.45,2794784
1994-01-20,14.42,14.8,14.39,14.7,14.7,4104122
1994-01-21,14.67,14.86,14.64,14.73,14.73,6779216
1994-01-24,14.64,14.73,14.39,14.45,14.45,3148616
1994-01-25,14.49,14.52,14.18,14.3,14.3,3545970
1994-01-26,14.27,14.64,14.27,14.55,14.55,3161108
1994-01-27,14.76,14.76,14.55,14.55,14.55,3051896
1994-01-28,14.8,14.86,14.64,14.83,14.83,3899802
1994-01-31,14.89,14.89,14.67,14.76,14.76,3126048
1994-02-01,14.8,14.8,14.42,14.42,14.42,3215110
1994-02-02,14.45,14.64,14.45,14.58,14.58,2181826
1994-02-03,14.49,14.67,14.49,14.64,14.64,3284426
1994-02-04,14.58,14.7,14.24,14.36,14.36,2345040
1994-02-07,14.21,14.58,14.21,14.45,14.45,3288052
1994-02-08,14.33,14.36,14.14,14.14,14.14,2354710
1994-02-09,14.18,14.73,14.18,14.7,14.7,4129108
1994-02-10,14.61,14.64,14.24,14.24,14.24,2883444
1994-02-11,14.27,14.61,14.27,14.58,14.58,2933012
1994-02-14,14.45,14.61,14.36,14.52,14.52,2287008
1994-02-15,14.52,14.64,14.52,14.61,14.61,2338994
1994-02-16,14.61,14.76,14.61,14.76,14.76,2319248
1994-02-17,14.76,14.89,14.36,14.45,14.45,6499940
