Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,18.88,18.94,18.72,18.75,18.75,460000
1994-01-04,18.72,18.75,18.63,18.75,18.75,283200
1994-01-05,18.69,18.97,18.59,18.91,18.91,515600
1994-01-06,18.91,19.03,18.91,19.03,19.03,294000
1994-01-07,19.03,19.03,18.84,18.84,18.84,521600
1994-01-10,18.94,19.09,18.88,19.09,19.09,1106800
1994-01-11,19,19.25,18.94,19.25,19.25,882800
1994-01-12,19.22,19.38,19.03,19.03,19.03,541200
1994-01-13,19,19.13,18.97,18.97,18.97,337200
1994-01-14,19.03,19.16,18.78,18.91,18.91,771600
1994-01-17,18.91,18.97,18.78,18.88,18.88,424800
1994-01-18,18.81,19,18.78,18.91,18.91,400800
1994-01-19,19,19.25,19,19.16,19.16,616800
1994-01-20,19.16,19.5,19.13,19.38,19.38,865600
1994-01-21,19.47,19.47,19,19.13,19.13,699200
1994-01-24,19,19.34,18.97,19.22,19.22,535600
1994-01-25,19.25,19.34,19.09,19.09,19.09,488800
1994-01-26,19.03,19.19,19,19.19,19.19,613200
1994-01-27,19.38,19.5,19.28,19.5,19.5,1553200
1994-01-28,19.56,19.56,19.38,19.53,19.53,312000
1994-01-31,19.5,19.72,19.38,19.72,19.72,843600
1994-02-01,19.66,19.88,19.63,19.78,19.78,892000
1994-02-02,19.91,20.06,19.78,20,20,1198000
1994-02-03,20,20.13,19.91,20.13,20.13,746800
1994-02-04,20.09,20.09,19.75,19.75,19.75,749600
1994-02-07,19.75,19.94,19.59,19.94,19.94,1032000
1994-02-08,19.94,19.97,19.88,19.94,19.94,474400
1994-02-09,19.94,20.19,19.94,20.13,20.13,1366000
1994-02-10,20.19,20.22,20.03,20.03,20.03,1162800
1994-02-11,20,20.06,19.88,19.94,19.94,512800
1994-02-14,19.97,20.16,19.84,19.84,19.84,834800
1994-02-15,19.72,19.78,19.66,19.66,19.66,456000
1994-02-16,19.72,19.72,19.44,19.5,19.5,736800
1994-02-17,19.56,19.59,19.19,19.31,19.31,1050000
1994-02-18,19.34,19.5,19.31,19.38,19.38,383600
1994-02-22,19.31,19.47,19.28,19.31,19.31,498800
1994-02-23,19.44,19.47,19.28,19.31,19.31,441600
1994-02-24,19.25,19.44,19.25,19.25,19.25,566800
1994-02-25,19.31,19.31,19.06,19.13,19.13,616400
1994-02-28,19.09,19.41,19.09,19.19,19.19,685200
1994-03-01,19.19,19.19,18.78,18.94,18.94,426000
1994-03-02,18.81,18.94,18.72,18.94,18.94,607600
1994-03-03,18.91,18.91,18.75,18.81,18.81,537200
1994-03-04,18.84,18.97,18.78,18.88,18.88,551200
1994-03-07,18.81,18.84,18.75,18.78,18.78,672800
1994-03-08,18.78,18.78,18.66,18.69,18.69,850000
1994-03-09,18.75,18.81,18.66,18.78,18.78,732800
1994-03-10,18.81,18.91,18.72,18.88,18.88,805600
1994-03-11,18.84,19.13,18.84,19.13,19.13,520400
1994-03-14,19.13,19.59,19.13,19.59,19.59,910800
1994-03-15,19.56,19.88,19.34,19.78,19.78,1138000
1994-03-16,19.78,20,19.69,19.94,19.94,877200
1994-03-17,19.91,20,19.88,19.88,19.88,518400
1994-03-18,19.91,19.91,19.78,19.84,19.84,1190400
1994-03-21,19.78,19.78,19.41,19.56,19.56,621600
1994-03-22,19.63,19.75,19.56,19.63,19.63,556400
1994-03-23,19.59,19.75,19.56,19.59,19.59,435600
1994-03-24,19.59,19.63,19.47,19.5,19.5,295600
1994-03-25,19.56,19.56,19.22,19.22,19.22,417600
1994-03-28,19.19,19.34,18.69,18.69,18.69,961600
1994-03-29,18.69,18.69,18.22,18.38,18.38,1770000
1994-03-30,18.38,18.75,18.38,18.41,18.41,1285600
1994-03-31,18.38,18.63,18.28,18.59,18.59,694400
1994-04-04,18.28,18.47,18.25,18.47,18.47,808400
1994-04-05,18.59,18.75,18.59,18.75,18.75,637200
1994-04-06,18.81,18.91,18.66,18.78,18.78,650400
1994-04-07,18.84,19,18.59,19,19,700400
1994-04-08,19,19.09,18.94,19,19,361200
1994-04-11,19.03,19.22,18.97,19.22,19.22,609200
1994-04-12,19.22,19.28,19.09,19.09,19.09,345600
1994-04-13,19.09,19.19,18.88,19.03,19.03,329600
1994-04-14,18.91,18.91,18.69,18.75,18.75,582400
1994-04-15,18.69,18.81,18.66,18.66,18.66,856800
1994-04-18,18.69,18.69,18.25,18.31,18.31,788400
1994-04-19,18.25,18.41,18.13,18.19,18.19,744000
1994-04-20,18.25,18.28,17.5,17.69,17.69,1463600
1994-04-21,17.72,18.13,17.31,17.97,17.97,1876400
1994-04-22,18.06,18.44,18,18.44,18.44,918400
1994-04-25,18.38,18.56,18.19,18.5,18.5,361600
1994-04-26,18.5,19,18.5,18.91,18.91,746800
1994-04-28,18.91,19.06,18.66,18.75,18.75,503600
1994-04-29,18.69,19,18.69,18.94,18.94,481600
1994-05-02,18.91,18.97,18.69,18.84,18.84,1162800
1994-05-03,18.84,18.97,18.81,18.97,18.97,260400
1994-05-04,18.81,18.84,18.59,18.69,18.69,340400
1994-05-05,18.75,18.81,18.69,18.81,18.81,436400
1994-05-06,18.75,18.75,18.47,18.5,18.5,647600
1994-05-09,18.47,18.47,17.88,17.97,17.97,700800
1994-05-10,18.03,18.06,17.78,17.91,17.91,1225200
1994-05-11,17.94,18.25,17.94,18.25,18.25,586400
1994-05-12,18.25,18.44,18.25,18.34,18.34,500400
1994-05-13,18.34,18.47,18.25,18.34,18.34,241600
1994-05-16,18.44,18.72,18.44,18.66,18.66,819600
1994-05-17,18.66,18.84,18.63,18.84,18.84,1042400
1994-05-18,18.91,19,18.75,19,19,614800
1994-05-19,18.97,19.13,18.91,19.09,19.09,917200
1994-05-20,19.09,19.19,19.03,19.09,19.09,966800
1994-05-23,19.09,19.13,18.94,19,19,430800
1994-05-24,18.78,18.91,18.72,18.72,18.72,1037600
1994-05-25,18.75,18.75,18.56,18.72,18.72,485600
1994-05-26,18.72,18.88,18.72,18.88,18.88,270400
1994-05-27,18.81,18.91,18.69,18.72,18.72,467600
1994-05-31,18.75,18.75,18.63,18.69,18.69,336400
1994-06-01,18.72,18.81,18.59,18.75,18.75,490000
1994-06-02,18.72,18.75,18.56,18.63,18.63,220000
1994-06-03,18.63,18.72,18.44,18.66,18.66,554800
1994-06-06,18.78,18.81,18.59,18.59,18.59,413200
1994-06-07,18.66,18.66,18.47,18.56,18.56,514400
1994-06-08,18.59,18.59,18.38,18.53,18.53,264000
1994-06-09,18.59,18.78,18.56,18.75,18.75,712800
1994-06-10,18.69,18.97,18.69,18.97,18.97,556800
1994-06-13,18.81,19.38,18.81,19.38,19.38,557200
1994-06-14,19.38,19.75,19.31,19.63,19.63,933600
1994-06-15,19.69,19.75,19.63,19.69,19.69,1046000
1994-06-16,19.63,19.69,19.38,19.38,19.38,684600
1994-06-17,19.56,19.56,19.31,19.38,19.38,1030200
1994-06-20,19.19,19.19,18.75,18.75,18.75,247600
1994-06-21,18.88,19.06,18.69,19.06,19.06,509000
1994-06-22,19.25,19.5,19.19,19.5,19.5,562600
1994-06-23,19.38,19.38,19,19,19,567400
1994-06-24,19,19,18.81,18.94,18.94,422000
1994-06-27,18.88,19.13,18.69,19.13,19.13,748400
1994-06-28,19.19,19.19,18.94,19,19,890400
1994-06-29,18.88,19.13,18.81,18.94,18.94,688600
1994-06-30,18.94,19,18.69,18.75,18.75,278800
1994-07-01,18.94,19.13,18.88,19.06,19.06,389800
1994-07-05,19,19.13,19,19.13,19.13,989800
1994-07-06,19.06,19.06,18.88,19,19,352400
1994-07-07,18.94,19.13,18.81,19,19,317000
1994-07-08,19.06,19.19,19,19.19,19.19,556000
1994-07-11,19.25,19.25,18.94,19.19,19.19,173200
1994-07-12,19.13,19.25,19,19.13,19.13,463000
1994-07-13,19,19.13,18.94,18.94,18.94,546800
1994-07-14,19.06,19.19,19,19.19,19.19,556400
1994-07-15,19.19,19.5,19.19,19.5,19.5,916000
1994-07-18,19.5,19.69,19.38,19.56,19.56,587200
1994-07-19,19.63,19.88,19.5,19.88,19.88,907400
1994-07-20,19.94,19.94,19.63,19.75,19.75,567000
1994-07-21,19.75,19.75,19.25,19.44,19.44,720400
1994-07-22,19.38,19.56,19.31,19.5,19.5,335600
1994-07-25,19.44,19.5,19.38,19.5,19.5,215000
1994-07-26,19.5,19.5,19.19,19.19,19.19,420800
1994-07-27,19,19.13,18.81,19,19,535000
1994-07-28,19,19.19,18.88,19.19,19.19,339800
1994-07-29,19.25,19.69,19,19.56,19.56,663600
1994-08-01,19.5,19.5,19.19,19.38,19.38,264600
1994-08-02,19.31,19.44,19.19,19.19,19.19,267400
1994-08-03,19.19,19.5,19.06,19.5,19.5,418600
1994-08-04,19.38,19.38,19,19.06,19.06,540800
1994-08-05,19,19.19,18.88,18.88,18.88,606000
1994-08-08,18.94,19,18.81,19,19,320800
1994-08-09,19,19.06,18.81,19,19,452800
1994-08-10,19.06,19.06,18.81,19,19,398400
1994-08-11,18.88,19.25,18.88,19.19,19.19,744600
1994-08-12,19.19,19.25,19.13,19.19,19.19,413800
1994-08-15,19.19,19.25,18.94,19,19,397800
1994-08-16,19.19,19.25,19.06,19.19,19.19,244800
1994-08-17,19.25,19.5,19.13,19.5,19.5,695400
1994-08-18,19.38,19.44,19.19,19.31,19.31,449400
1994-08-19,19.44,19.44,19.19,19.25,19.25,1718200
1994-08-22,19.13,19.44,19.06,19.38,19.38,910400
1994-08-23,19.38,19.81,19.31,19.69,19.69,418600
1994-08-24,19.69,20.19,19.56,20,20,863600
1994-08-25,19.94,20,19.44,19.56,19.56,658400
1994-08-26,19.88,20.31,19.75,20.13,20.13,529800
1994-08-29,20.31,20.63,20.06,20.19,20.19,792600
1994-08-30,20.19,20.81,20.19,20.69,20.69,1173000
1994-08-31,20.63,20.88,20.63,20.81,20.81,672800
1994-09-01,20.81,20.81,20.69,20.81,20.81,432800
1994-09-02,20.88,20.94,20.75,20.88,20.88,272800
1994-09-06,20.81,20.94,20.81,20.94,20.94,341600
1994-09-07,20.94,20.94,20.5,20.56,20.56,589200
1994-09-08,20.56,20.69,20.5,20.56,20.56,1019600
1994-09-09,20.44,20.44,20.13,20.13,20.13,476000
1994-09-12,20.5,20.5,20,20.13,20.13,513800
1994-09-13,20.25,20.38,20.19,20.31,20.31,386600
1994-09-14,20.19,20.25,20.06,20.06,20.06,237400
1994-09-15,20.5,20.63,20.31,20.63,20.63,414800
1994-09-16,20.56,20.69,20.44,20.56,20.56,968800
1994-09-19,20.5,21.06,20.5,20.63,20.63,608000
1994-09-20,20.63,20.75,20.06,20.06,20.06,874000
1994-09-21,20.06,20.13,19.56,19.81,19.81,442400
1994-09-22,19.88,20,19.63,19.81,19.81,627000
1994-09-23,19.88,19.88,19.5,19.5,19.5,394400
1994-09-26,19.5,19.75,19.25,19.31,19.31,1004600
1994-09-27,19.38,19.38,19.19,19.25,19.25,639800
1994-09-28,19.31,19.63,19.25,19.63,19.63,936600
1994-09-29,19.63,19.94,19.63,19.88,19.88,517800
1994-09-30,19.81,20.38,19.75,19.81,19.81,827400
1994-10-03,19.88,19.88,19.5,19.56,19.56,513000
1994-10-04,19.5,19.56,19.13,19.31,19.31,453600
1994-10-05,19.13,19.5,19.06,19.44,19.44,648600
1994-10-06,19.38,19.44,19,19.06,19.06,359200
1994-10-07,19.13,19.13,18.88,18.88,18.88,496600
1994-10-10,18.88,19.13,18.88,19.13,19.13,280200
1994-10-11,19.13,20,19.13,19.75,19.75,466800
1994-10-12,19.75,19.75,19.44,19.5,19.5,178800
1994-10-13,19.75,19.94,19.56,19.69,19.69,718000
1994-10-14,19.69,19.69,19.44,19.63,19.63,381400
1994-10-17,19.5,19.63,19.44,19.56,19.56,400000
1994-10-18,19.56,20.13,19.56,20.06,20.06,445600
1994-10-19,20.13,20.13,19.63,19.75,19.75,1406000
1994-10-20,19.88,20.13,19.75,19.94,19.94,1044600
1994-10-21,19.94,19.94,19.81,19.94,19.94,353200
1994-10-24,19.94,19.94,19.81,19.81,19.81,765800
1994-10-25,19.81,19.94,19.69,19.81,19.81,1392600
1994-10-26,20,20,19.75,19.94,19.94,922800
1994-10-27,19.94,20,19.91,20,20,1172000
1994-10-28,19.94,20.44,19.94,20.44,20.44,330000
1994-10-31,20.44,20.75,20.38,20.38,20.38,458400
1994-11-01,20.25,20.31,20,20,20,800000
