Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,13.59,13.62,13.34,13.39,13.39,1721122
1994-01-04,13.39,13.56,13.31,13.42,13.42,2176132
1994-01-05,13.48,13.73,13.45,13.7,13.7,6076026
1994-01-06,13.68,13.73,13.59,13.62,13.62,2300984
1994-01-07,13.73,13.9,13.68,13.88,13.88,2510244
1994-01-10,13.9,13.99,13.82,13.85,13.85,2304062
1994-01-11,13.7,13.7,13.39,13.53,13.53,5850938
1994-01-12,13.53,13.65,13.51,13.62,13.62,2912060
1994-01-13,13.59,13.59,13.42,13.48,13.48,2190200
1994-01-14,13.45,13.59,13.45,13.56,13.56,1999842
1994-01-17,13.51,13.85,13.51,13.7,13.7,1826192
1994-01-18,13.73,13.79,13.68,13.7,13.7,1256002
1994-01-19,13.85,13.85,13.62,13.7,13.7,2572672
1994-01-20,13.73,13.73,13.53,13.59,13.59,2940636
1994-01-21,13.62,13.65,13.51,13.56,13.56,2726978
1994-01-24,13.53,13.56,13.28,13.34,13.34,3928468
1994-01-25,13.34,13.39,12.97,13.02,13.02,4402382
1994-01-26,12.8,13.11,12.43,13.05,13.05,9790398
1994-01-27,13.11,13.34,13.05,13.14,13.14,2710712
1994-01-28,13.28,13.34,13.16,13.22,13.22,2035012
1994-01-31,13.31,13.53,13.25,13.51,13.51,1800694
1994-02-01,13.56,13.65,13.34,13.42,13.42,2440784
1994-02-02,13.53,13.82,13.53,13.7,13.7,3112088
1994-02-03,13.73,13.73,13.53,13.65,13.65,2138764
1994-02-04,13.59,13.62,13.31,13.34,13.34,2181408
1994-02-07,13.28,13.45,13.22,13.31,13.31,1737828
1994-02-08,13.34,13.51,13.28,13.39,13.39,1866198
1994-02-09,13.39,13.42,13.11,13.11,13.11,2500134
1994-02-10,13.08,13.14,12.97,12.97,12.97,2202948
1994-02-11,12.94,13.25,12.91,13.19,13.19,1768602
1994-02-14,13.19,13.45,13.08,13.11,13.11,2811386
1994-02-15,13.14,13.14,13.05,13.05,13.05,1846414
1994-02-16,13.02,13.02,12.91,12.97,12.97,2104034
1994-02-17,13.02,13.16,13.02,13.11,13.11,2445180
1994-02-18,13.11,13.31,13.08,13.19,13.19,2121178
1994-02-22,13.11,13.22,13.05,13.08,13.08,1090264
1994-02-23,13.19,13.28,13.11,13.25,13.25,1684194
1994-02-24,13.19,13.22,12.91,12.91,12.91,2258342
1994-02-25,12.91,12.94,12.8,12.82,12.82,1759808
1994-02-28,12.8,13.05,12.8,12.94,12.94,1405472
1994-03-01,12.94,13.05,12.94,12.94,12.94,2290434
1994-03-02,12.8,13.05,12.8,13.05,13.05,2250868
1994-03-03,13.05,13.05,12.91,12.91,12.91,1920710
1994-03-04,12.97,13.14,12.94,13.05,13.05,2158986
1994-03-07,13.08,13.11,12.82,12.85,12.85,3013174
1994-03-08,12.82,12.85,12.74,12.77,12.77,2816222
1994-03-09,12.82,12.91,12.77,12.85,12.85,1996326
1994-03-10,12.85,12.94,12.8,12.94,12.94,2179648
1994-03-11,12.91,13.05,12.82,12.91,12.91,4399304
1994-03-14,12.94,12.94,12.74,12.91,12.91,2377918
