Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,13.44,13.44,13.13,13.28,13.28,801313
1994-01-04,13.13,13.36,13.13,13.36,13.36,1121182
1994-01-05,13.28,13.36,13.21,13.25,13.25,1031527
1994-01-06,13.25,13.28,13.13,13.13,13.13,1168472
1994-01-07,13.13,13.21,12.94,13.17,13.17,1000656
1994-01-10,13.21,13.32,13.06,13.28,13.28,1138916
1994-01-11,13.25,13.28,13.02,13.13,13.13,849917
1994-01-12,13.13,13.32,13.06,13.25,13.25,1144170
1994-01-13,13.17,13.17,12.98,13.02,13.02,755008
1994-01-14,12.98,13.02,12.87,13.02,13.02,967487
1994-01-17,13.02,13.13,12.9,13.06,13.06,839080
1994-01-18,13.17,13.28,13.09,13.25,13.25,1071264
1994-01-19,13.28,13.32,13.25,13.32,13.32,848604
1994-01-20,13.32,13.32,13.25,13.32,13.32,858128
1994-01-21,13.28,13.32,13.06,13.17,13.17,2054187
1994-01-24,13.13,13.17,13.02,13.06,13.06,1444663
1994-01-25,13.02,13.02,12.83,12.9,12.9,1472577
1994-01-26,12.94,13.06,12.9,13.02,13.02,1111330
1994-01-27,13.06,13.32,13.02,13.17,13.17,4044334
1994-01-28,13.32,13.4,13.28,13.28,13.28,1948111
1994-01-31,13.25,13.28,13.21,13.25,13.25,1874876
1994-02-01,13.02,13.06,12.83,12.87,12.87,3196715
1994-02-02,12.9,12.9,12.79,12.83,12.83,1517898
1994-02-03,12.83,12.87,12.71,12.79,12.79,2111658
1994-02-04,12.79,12.79,12.64,12.64,12.64,1240065
1994-02-07,12.6,12.67,12.56,12.67,12.67,1742857
1994-02-08,12.67,12.67,12.41,12.52,12.52,1069293
1994-02-09,12.56,12.71,12.52,12.56,12.56,1365188
1994-02-10,12.56,12.6,12.33,12.33,12.33,1437110
1994-02-11,12.33,12.48,12.18,12.33,12.33,796387
1994-02-14,12.37,12.45,12.26,12.45,12.45,1323152
1994-02-15,12.48,12.71,12.48,12.6,12.6,2087027
1994-02-16,12.6,12.67,12.45,12.52,12.52,2216748
1994-02-17,12.56,12.71,12.52,12.64,12.64,2129720
1994-02-18,12.64,12.64,12.41,12.45,12.45,2301477
1994-02-22,12.45,12.6,12.29,12.52,12.52,1684400
1994-02-23,12.56,12.56,12.29,12.37,12.37,851888
1994-02-24,12.41,12.48,12.29,12.33,12.33,1135632
1994-02-25,12.29,12.45,12.26,12.45,12.45,852216
1994-02-28,12.48,12.56,12.45,12.52,12.52,1933004
1994-03-01,12.56,12.71,12.48,12.56,12.56,1514285
1994-03-02,12.41,12.71,12.33,12.71,12.71,1555336
1994-03-03,12.64,12.71,12.48,12.64,12.64,974876
1994-03-04,12.64,12.87,12.48,12.64,12.64,1171100
1994-03-07,12.71,12.87,12.64,12.64,12.64,872906
1994-03-08,12.71,12.87,12.64,12.71,12.71,1416912
1994-03-09,12.71,12.71,12.33,12.56,12.56,1363054
1994-03-10,12.56,12.56,12.26,12.41,12.41,725123
1994-03-11,12.41,12.64,12.33,12.33,12.33,959113
1994-03-14,12.41,12.41,12.33,12.33,12.33,553530
1994-03-15,12.26,12.33,12.18,12.18,12.18,1071100
1994-03-16,12.18,12.33,12.18,12.18,12.18,2463546
1994-03-17,12.26,12.26,12.03,12.1,12.1,1094252
1994-03-18,12.1,12.1,11.88,11.95,11.95,3643185
1994-03-21,11.88,12.1,11.8,12.1,12.1,933497
1994-03-22,12.03,12.48,12.03,12.33,12.33,1298357
1994-03-23,12.26,12.41,12.1,12.1,12.1,718226
1994-03-24,12.1,12.18,11.95,12.03,12.03,951395
1994-03-25,12.03,12.18,11.95,11.95,11.95,840722
1994-03-28,12.03,12.26,11.88,12.26,12.26,826929
1994-03-29,12.18,12.26,12.03,12.03,12.03,1032183
1994-03-30,12.1,12.1,11.72,11.72,11.72,1313957
1994-03-31,11.8,11.88,11.27,11.57,11.57,1492775
1994-04-04,11.42,11.65,11.34,11.57,11.57,1228078
1994-04-05,11.72,11.88,11.57,11.72,11.72,1570114
1994-04-06,11.65,11.72,11.57,11.65,11.65,960426
1994-04-07,11.65,11.72,11.42,11.65,11.65,1058949
1994-04-08,11.57,11.65,11.42,11.42,11.42,948440
1994-04-11,11.49,11.65,11.42,11.57,11.57,664860
1994-04-12,11.57,11.72,11.57,11.65,11.65,1009031
1994-04-13,11.72,11.72,11.57,11.72,11.72,717241
1994-04-14,11.72,11.88,11.65,11.88,11.88,756650
1994-04-15,11.8,11.88,11.65,11.72,11.72,1742200
1994-04-18,11.65,11.88,11.57,11.65,11.65,1278489
1994-04-19,11.65,11.88,11.57,11.72,11.72,1389326
1994-04-20,11.8,12.33,11.72,12.26,12.26,1785878
1994-04-21,12.33,12.48,12.26,12.33,12.33,920361
1994-04-22,12.41,12.41,12.03,12.1,12.1,1373399
1994-04-25,12.1,12.33,12.03,12.26,12.26,1569786
1994-04-26,12.03,12.18,11.88,11.95,11.95,2154351
1994-04-28,11.8,11.88,11.49,11.65,11.65,2256321
1994-04-29,11.57,12.03,11.57,11.88,11.88,1341050
1994-05-02,11.8,11.88,11.65,11.8,11.8,847290
1994-05-03,11.8,11.88,11.65,11.8,11.8,1048604
1994-05-04,11.8,11.88,11.57,11.72,11.72,973399
1994-05-05,11.65,11.72,11.49,11.57,11.57,865024
1994-05-06,11.42,11.57,11.04,11.34,11.34,2672906
1994-05-09,11.27,11.34,10.96,11.11,11.11,1919211
1994-05-10,11.27,11.27,10.81,11.11,11.11,2797536
1994-05-11,11.19,11.19,10.81,10.96,10.96,1857471
1994-05-12,11.11,11.19,10.96,11.04,11.04,1453366
1994-05-13,11.04,11.19,10.96,11.04,11.04,1398029
1994-05-16,11.11,11.27,11.04,11.19,11.19,1140558
1994-05-17,11.11,11.49,11.04,11.42,11.42,2447783
1994-05-18,11.49,11.65,11.34,11.57,11.57,2525451
1994-05-19,11.57,11.65,11.34,11.34,11.34,1255008
1994-05-20,11.42,11.57,11.34,11.42,11.42,2042528
1994-05-23,11.42,11.42,11.19,11.34,11.34,1205582
1994-05-24,11.34,11.57,11.11,11.19,11.19,2910509
1994-05-25,11.27,11.42,11.19,11.34,11.34,1561083
1994-05-26,11.34,11.57,11.34,11.34,11.34,1097536
1994-05-27,11.19,11.49,11.11,11.42,11.42,1206403
1994-05-31,11.34,11.42,11.27,11.27,11.27,905747
1994-06-01,11.27,11.49,11.11,11.34,11.34,1324302
1994-06-02,11.42,11.49,11.34,11.34,11.34,647290
1994-06-03,11.34,11.49,11.34,11.42,11.42,581444
1994-06-06,11.49,11.8,11.49,11.65,11.65,1099343
1994-06-07,11.65,11.8,11.65,11.72,11.72,1158949
1994-06-08,11.72,11.72,11.57,11.72,11.72,874384
1994-06-09,11.72,11.8,11.65,11.65,11.65,647619
1994-06-10,11.65,11.8,11.65,11.8,11.8,507717
1994-06-13,11.72,11.88,11.72,11.8,11.8,622003
1994-06-14,11.8,11.88,11.72,11.8,11.8,882922
1994-06-15,11.8,11.8,11.65,11.8,11.8,979146
1994-06-16,11.72,11.8,11.65,11.8,11.8,1022660
1994-06-17,11.88,11.95,11.72,11.8,11.8,3322495
1994-06-20,11.65,11.65,11.42,11.65,11.65,850082
1994-06-21,11.57,11.65,11.34,11.57,11.57,1675533
1994-06-22,11.57,11.65,11.49,11.57,11.57,857471
1994-06-23,11.49,11.57,11.42,11.49,11.49,1316912
1994-06-24,11.49,11.57,11.42,11.42,11.42,628571
1994-06-27,11.42,11.49,11.42,11.42,11.42,677504
1994-06-28,11.49,11.49,11.27,11.42,11.42,1271756
1994-06-29,11.42,11.65,11.34,11.42,11.42,1281116
1994-06-30,11.49,11.57,11.34,11.42,11.42,1607881
1994-07-01,11.49,11.65,11.49,11.65,11.65,1147290
1994-07-05,11.57,11.65,11.34,11.49,11.49,1166830
1994-07-06,11.42,11.49,11.34,11.42,11.42,1839901
1994-07-07,11.42,11.49,11.34,11.42,11.42,1052052
1994-07-08,11.34,11.42,11.27,11.42,11.42,769622
1994-07-11,11.42,11.42,11.27,11.42,11.42,623316
1994-07-12,11.34,11.42,11.27,11.42,11.42,683743
1994-07-13,11.34,11.42,11.27,11.34,11.34,680295
1994-07-14,11.34,11.57,11.34,11.49,11.49,1355829
1994-07-15,11.49,11.65,11.42,11.49,11.49,2205254
1994-07-18,11.49,11.57,11.42,11.57,11.57,429720
1994-07-19,11.49,11.72,11.49,11.57,11.57,917733
1994-07-20,11.65,11.65,11.57,11.65,11.65,469950
1994-07-21,11.57,11.8,11.57,11.65,11.65,1114942
1994-07-22,11.72,11.8,11.65,11.72,11.72,1196387
1994-07-25,11.72,11.8,11.65,11.72,11.72,2475533
1994-07-26,11.42,11.57,11.34,11.34,11.34,3101477
1994-07-27,11.42,11.49,11.34,11.49,11.49,1669458
1994-07-28,11.49,11.65,11.49,11.65,11.65,440065
1994-07-29,11.65,12.03,11.65,11.8,11.8,1275697
1994-08-01,11.88,12.03,11.8,11.95,11.95,1379146
1994-08-02,11.95,12.18,11.88,11.88,11.88,1554187
1994-08-03,11.88,12.1,11.8,12.1,12.1,1324630
1994-08-04,12.1,12.1,11.88,11.88,11.88,2125615
1994-08-05,11.8,11.95,11.65,11.65,11.65,902791
1994-08-08,11.72,11.72,11.57,11.65,11.65,789655
1994-08-09,11.57,11.65,11.57,11.57,11.57,487356
1994-08-10,11.65,11.72,11.57,11.65,11.65,878160
1994-08-11,11.65,11.72,11.42,11.49,11.49,880459
1994-08-12,11.49,11.65,11.42,11.49,11.49,870771
1994-08-15,11.49,11.57,11.42,11.49,11.49,508538
1994-08-16,11.49,11.65,11.42,11.57,11.57,2421182
1994-08-17,11.57,11.65,11.42,11.42,11.42,1157799
1994-08-18,11.42,11.49,11.27,11.34,11.34,1516091
1994-08-19,11.42,11.49,11.34,11.42,11.42,2261576
1994-08-22,11.34,11.42,11.27,11.34,11.34,665353
1994-08-23,11.42,11.49,11.34,11.34,11.34,1678489
1994-08-24,11.34,11.42,11.34,11.34,11.34,438916
1994-08-25,11.34,11.57,11.27,11.34,11.34,1455993
1994-08-26,11.42,11.57,11.34,11.49,11.49,978981
1994-08-29,11.57,11.72,11.49,11.57,11.57,1168308
1994-08-30,11.49,11.57,11.42,11.42,11.42,513628
1994-08-31,11.42,11.49,11.27,11.49,11.49,1812479
1994-09-01,11.42,11.42,11.27,11.27,11.27,1265517
1994-09-02,11.34,11.42,11.11,11.19,11.19,758620
1994-09-06,11.19,11.27,11.04,11.19,11.19,1315763
1994-09-07,11.27,11.34,11.04,11.04,11.04,906568
1994-09-08,11.04,11.19,11.04,11.19,11.19,1184564
1994-09-09,11.04,11.11,10.96,11.04,11.04,1182758
1994-09-12,10.81,10.89,10.58,10.66,10.66,1493924
1994-09-13,10.73,10.81,10.66,10.73,10.73,1394581
1994-09-14,10.66,10.81,10.35,10.73,10.73,762397
1994-09-15,10.66,10.96,10.66,10.96,10.96,1100821
1994-09-16,10.96,11.04,10.73,10.81,10.81,4161247
1994-09-19,10.81,10.89,10.81,10.89,10.89,725779
1994-09-20,10.81,10.89,10.66,10.66,10.66,892610
1994-09-21,10.66,10.89,10.51,10.66,10.66,1954515
1994-09-22,10.73,10.89,10.66,10.81,10.81,1212643
1994-09-23,10.89,11.04,10.73,10.96,10.96,1657963
1994-09-26,11.04,11.19,10.96,11.19,11.19,815270
1994-09-27,11.11,11.19,10.96,11.04,11.04,1288998
1994-09-28,11.11,11.27,11.11,11.19,11.19,1423809
1994-09-29,11.11,11.19,11.04,11.19,11.19,684564
1994-09-30,11.19,11.34,11.11,11.34,11.34,1386699
1994-10-03,11.34,11.34,11.19,11.19,11.19,1074712
1994-10-04,11.19,11.34,11.19,11.19,11.19,917569
1994-10-05,11.19,11.27,11.11,11.19,11.19,706896
1994-10-06,11.19,11.27,11.19,11.19,11.19,463711
1994-10-07,11.19,11.34,11.11,11.19,11.19,618719
1994-10-10,11.34,11.42,11.27,11.34,11.34,770607
1994-10-11,11.42,11.57,11.34,11.57,11.57,894909
1994-10-12,11.57,11.65,11.42,11.57,11.57,1853694
1994-10-13,11.72,11.8,11.65,11.65,11.65,757635
1994-10-14,11.8,11.88,11.65,11.8,11.8,948932
1994-10-17,11.88,11.95,11.72,11.88,11.88,941871
1994-10-18,11.88,11.88,11.72,11.72,11.72,974712
1994-10-19,11.72,11.88,11.65,11.88,11.88,1793103
1994-10-20,11.88,11.95,11.8,11.88,11.88,1630706
1994-10-21,11.88,11.88,11.72,11.88,11.88,1152052
1994-10-24,11.8,11.88,11.57,11.57,11.57,703940
1994-10-25,11.49,11.8,11.49,11.8,11.8,1443513
1994-10-26,11.88,11.88,11.72,11.72,11.72,1407553
1994-10-27,11.8,11.8,11.72,11.8,11.8,550574
1994-10-28,11.72,12.18,11.72,12.18,12.18,1739408
1994-10-31,12.18,12.18,12.03,12.1,12.1,2785385
1994-11-01,11.72,11.88,11.61,11.65,11.65,2924958
1994-11-02,11.65,11.88,11.57,11.8,11.8,2459605
