Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,15.66,15.8,15.57,15.66,15.66,1899106
1994-01-04,15.38,15.47,15.24,15.33,15.33,1688712
1994-01-05,15.14,15.19,14.62,14.67,14.67,4452446
1994-01-06,14.77,14.77,14.34,14.53,14.53,3956935
1994-01-07,14.44,14.95,14.44,14.81,14.81,2531877
1994-01-10,14.95,15.24,14.86,15.14,15.14,2694044
1994-01-11,15.14,15.14,14.86,14.95,14.95,2236955
1994-01-12,15,15,14.72,14.81,14.81,2227150
1994-01-13,14.86,14.95,14.67,14.81,14.81,2802950
1994-01-14,14.77,14.86,14.58,14.72,14.72,2429330
1994-01-17,14.62,14.67,14.44,14.44,14.44,1750188
1994-01-18,14.53,14.86,14.48,14.81,14.81,2219996
1994-01-19,14.81,14.95,14.81,14.95,14.95,2352751
1994-01-20,15,15.24,15,15.24,15.24,2261863
1994-01-21,15.14,15.19,15.05,15.1,15.1,2240399
1994-01-24,15.05,15.1,14.67,14.67,14.67,2908942
1994-01-25,14.53,14.58,14.34,14.39,14.39,4712656
1994-01-26,14.44,14.86,14.44,14.86,14.86,4062132
1994-01-27,15,15.47,15,15.47,15.47,3295282
1994-01-28,15.47,15.61,15.38,15.47,15.47,2190318
1994-01-31,15.38,15.85,15.38,15.8,15.8,2347451
1994-02-01,15.71,15.76,15.19,15.24,15.24,1694542
1994-02-02,15.43,15.47,15.33,15.38,15.38,989167
1994-02-03,15.28,15.33,15.1,15.1,15.1,986252
1994-02-04,15.1,15.33,14.67,14.72,14.72,1876848
1994-02-07,14.62,14.91,14.62,14.81,14.81,1597560
1994-02-08,14.81,14.81,14.62,14.67,14.67,1675728
1994-02-09,14.62,14.62,14.39,14.44,14.44,2846672
1994-02-10,14.44,14.48,14.01,14.06,14.06,3032157
1994-02-11,14.15,14.39,14.06,14.29,14.29,1695072
1994-02-14,14.48,14.62,14.25,14.29,14.29,1688447
1994-02-15,14.44,14.53,14.29,14.29,14.29,1990789
1994-02-16,14.39,14.44,14.25,14.29,14.29,1760787
1994-02-17,14.39,14.44,13.87,14.15,14.15,2010927
1994-02-18,14.15,14.44,13.96,14.39,14.39,2453973
1994-02-22,14.34,14.62,14.25,14.48,14.48,2456622
1994-02-23,14.58,14.58,14.1,14.15,14.15,2113209
1994-02-24,14.48,14.62,14.25,14.62,14.62,3147953
1994-02-25,14.72,15.05,14.72,14.86,14.86,2625679
1994-02-28,14.86,14.91,14.72,14.77,14.77,1423203
1994-03-01,14.77,14.81,14.62,14.72,14.72,1928784
1994-03-02,14.67,15.05,14.53,15,15,3256860
1994-03-03,14.95,15,14.72,14.95,14.95,2687949
1994-03-04,14.95,14.95,14.67,14.91,14.91,3145039
1994-03-07,14.95,14.95,14.72,14.77,14.77,2377924
1994-03-08,14.77,14.91,14.72,14.77,14.77,2222646
1994-03-09,14.77,14.77,14.67,14.77,14.77,2404951
1994-03-10,15.05,15.14,14.86,15.1,15.1,3996417
1994-03-11,15.28,15.38,15.19,15.33,15.33,2705703
1994-03-14,15.24,15.38,15.19,15.33,15.33,1862539
1994-03-15,15.33,15.33,15.1,15.19,15.19,1283294
1994-03-16,15.14,15.38,14.95,15.38,15.38,2118509
1994-03-17,15.38,15.47,15.19,15.38,15.38,1522835
1994-03-18,15.43,15.43,15.24,15.28,15.28,4781551
1994-03-21,15.24,15.24,15.1,15.1,15.1,2129108
1994-03-22,15.05,15.43,15.05,15.33,15.33,2609250
1994-03-23,15.38,15.52,15.19,15.19,15.19,1394850
1994-03-24,15.1,15.14,14.91,15.1,15.1,1968266
1994-03-25,15.05,15.47,14.95,15.19,15.19,1442017
1994-03-28,15.38,15.47,15.28,15.43,15.43,1657180
1994-03-29,15.38,15.76,15.28,15.43,15.43,2454238
1994-03-30,15.38,15.52,14.81,14.81,14.81,4349634
1994-03-31,14.86,15.24,14.77,15.24,15.24,2709678
1994-04-04,14.62,14.91,14.58,14.58,14.58,2481530
1994-04-05,14.81,15.19,14.77,14.91,14.91,3772509
1994-04-06,14.81,15,14.77,14.81,14.81,2901258
1994-04-07,14.72,15,14.62,15,15,2116919
1994-04-08,14.91,15.05,14.72,14.77,14.77,1626707
1994-04-11,14.81,14.95,14.81,14.95,14.95,1025204
1994-04-12,15.1,15.14,14.91,14.91,14.91,1074225
1994-04-13,14.91,15.19,14.81,15.14,15.14,1908910
1994-04-14,15.14,15.43,15.1,15.38,15.38,2812225
1994-04-15,15.47,15.61,15.43,15.61,15.61,3729583
1994-04-18,15.66,15.99,15.66,15.94,15.94,3029773
1994-04-19,15.9,16.18,15.9,16.09,16.09,2657742
1994-04-20,16.27,16.46,16.09,16.23,16.23,3024738
1994-04-21,16.42,16.75,16.32,16.7,16.7,3429361
1994-04-22,16.65,16.7,16.13,16.13,16.13,2696694
