Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,3.95,3.98,3.88,3.91,3.91,5681600
1994-01-04,3.89,3.95,3.81,3.88,3.88,10616000
1994-01-05,3.88,4.13,3.88,4.13,4.13,16542400
1994-01-06,4.22,4.27,4.2,4.23,4.23,25976000
1994-01-07,4.17,4.3,4.16,4.27,4.27,14520000
1994-01-10,4.27,4.31,4.23,4.27,4.27,9873600
1994-01-11,4.26,4.29,4.19,4.19,4.19,10105600
1994-01-12,4.36,4.41,4.29,4.39,4.39,22905600
1994-01-13,4.38,4.42,4.33,4.34,4.34,9209600
1994-01-14,4.41,4.58,4.41,4.53,4.53,19627200
1994-01-17,4.51,4.56,4.51,4.53,4.53,8451200
1994-01-18,4.55,4.55,4.43,4.43,4.43,7086400
1994-01-19,4.33,4.36,4.3,4.34,4.34,10076800
1994-01-20,4.34,4.47,4.34,4.47,4.47,6968000
1994-01-21,4.48,4.56,4.48,4.56,4.56,11804800
1994-01-24,4.53,4.61,4.52,4.57,4.57,9051200
1994-01-25,4.59,4.63,4.5,4.52,4.52,12801600
1994-01-26,4.49,4.5,4.41,4.41,4.41,8732800
1994-01-27,4.38,4.45,4.38,4.43,4.43,7292800
1994-01-28,4.55,4.55,4.42,4.44,4.44,9435200
1994-01-31,4.45,4.49,4.38,4.38,4.38,9552000
1994-02-01,4.4,4.48,4.3,4.45,4.45,10406400
1994-02-02,4.49,4.55,4.47,4.55,4.55,7841600
1994-02-03,4.53,4.59,4.47,4.5,4.5,5204800
1994-02-04,4.52,4.57,4.34,4.39,4.39,9934400
1994-02-07,4.34,4.51,4.34,4.5,4.5,9688000
1994-02-08,4.55,4.65,4.47,4.62,4.62,14433600
1994-02-09,4.63,4.7,4.59,4.6,4.6,18459200
1994-02-10,4.61,4.64,4.56,4.58,4.58,8078400
1994-02-11,4.53,4.57,4.48,4.54,4.54,4736000
1994-02-14,4.55,4.63,4.54,4.59,4.59,4185600
1994-02-15,4.66,4.78,4.64,4.77,4.77,10737600
1994-02-16,4.83,4.91,4.8,4.91,4.91,13256000
1994-02-17,4.97,4.97,4.72,4.78,4.78,11019200
1994-02-18,4.78,4.99,4.75,4.95,4.95,13851200
