Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,10.49,10.51,10.38,10.51,10.51,1483641
1994-01-04,10.51,10.61,10.46,10.61,10.61,1132064
1994-01-05,10.59,10.95,10.57,10.86,10.86,2187388
1994-01-06,10.84,11.18,10.82,11.16,11.16,3656157
1994-01-07,11.07,11.14,11.03,11.03,11.03,1942296
1994-01-10,10.99,11.16,10.97,11.07,11.07,2721594
1994-01-11,11.12,11.2,11.07,11.07,11.07,1675788
1994-01-12,11.07,11.07,10.93,10.93,10.93,1941701
1994-01-13,10.91,11.01,10.91,10.99,10.99,1299822
1994-01-14,11.03,11.28,11.01,11.26,11.26,2048780
1994-01-17,11.24,11.24,11.16,11.22,11.22,1431886
1994-01-18,11.24,11.26,11.2,11.24,11.24,1086258
1994-01-19,11.24,11.26,11.14,11.16,11.16,1028554
1994-01-20,11.03,11.03,10.74,10.74,10.74,6049970
1994-01-21,10.59,10.61,10.42,10.42,10.42,5627603
1994-01-24,10.38,10.53,10.34,10.44,10.44,2472338
1994-01-25,10.49,10.53,10.38,10.4,10.4,2111243
1994-01-26,10.42,10.51,10.32,10.34,10.34,3022011
1994-01-27,10.38,10.61,10.36,10.61,10.61,3034503
1994-01-28,10.65,10.91,10.63,10.8,10.8,3266508
1994-01-31,10.91,11.03,10.86,10.99,10.99,2191553
1994-02-01,10.99,10.99,10.88,10.95,10.95,2297442
1994-02-02,10.88,10.88,10.72,10.88,10.88,6427722
1994-02-03,10.84,10.86,10.72,10.82,10.82,2898870
1994-02-04,10.82,10.82,10.57,10.59,10.59,1980369
1994-02-07,10.53,10.86,10.49,10.86,10.86,2506841
1994-02-08,10.8,10.8,10.63,10.63,10.63,2185009
1994-02-09,10.55,10.63,10.42,10.44,10.44,2539560
1994-02-10,10.42,10.42,10.21,10.3,10.3,2618679
1994-02-11,10.32,10.51,10.32,10.44,10.44,1079714
1994-02-14,10.44,10.55,10.42,10.49,10.49,1508031
1994-02-15,10.49,10.63,10.46,10.46,10.46,3302796
1994-02-16,10.51,10.51,10.3,10.4,10.4,2116002
1994-02-17,10.42,10.44,10.17,10.34,10.34,2136228
1994-02-18,10.32,10.34,10.04,10.17,10.17,2111838
1994-02-22,10.25,10.3,10.17,10.19,10.19,2822725
1994-02-23,10.23,10.23,10.04,10.15,10.15,2026770
1994-02-24,10.21,10.21,9.92,9.92,9.92,2053540
1994-02-25,9.96,10.19,9.94,10.17,10.17,3146341
1994-02-28,10.15,10.21,10.02,10.04,10.04,1632957
1994-03-01,10.02,10.04,9.75,9.85,9.85,3638311
1994-03-02,9.81,10.06,9.69,10.06,10.06,3112433
1994-03-03,10.09,10.13,9.98,10.04,10.04,3417609
1994-03-04,10.11,10.15,10.02,10.02,10.02,2038073
1994-03-07,10.04,10.09,10.02,10.04,10.04,1481856
1994-03-08,10.06,10.15,9.98,10.15,10.15,5472933
1994-03-09,10.15,10.17,9.92,9.92,9.92,2690660
1994-03-10,9.88,9.9,9.69,9.77,9.77,3026175
1994-03-11,9.79,9.88,9.75,9.81,9.81,2113623
1994-03-14,9.81,9.88,9.73,9.73,9.73,1519334
1994-03-15,9.73,9.9,9.71,9.85,9.85,3615110
1994-03-16,9.9,10,9.83,9.96,9.96,2534801
1994-03-17,9.96,10.06,9.94,9.96,9.96,2724569
1994-03-18,9.96,10.15,9.94,10.09,10.09,3947650
