Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,3.79,3.83,3.72,3.78,3.78,756675
1994-01-04,3.83,3.86,3.72,3.83,3.83,817830
1994-01-05,3.83,3.89,3.79,3.86,3.86,690044
1994-01-06,3.86,3.86,3.81,3.86,3.86,45637
1994-01-07,3.81,3.89,3.81,3.81,3.81,82146
1994-01-10,3.89,3.89,3.81,3.89,3.89,79408
1994-01-11,3.89,3.92,3.81,3.92,3.92,213583
1994-01-12,3.92,3.94,3.83,3.86,3.86,412566
1994-01-13,3.94,3.94,3.86,3.94,3.94,291166
1994-01-14,3.94,3.99,3.89,3.94,3.94,481021
1994-01-17,4,4,3.92,3.92,3.92,31033
1994-01-18,3.94,4.03,3.92,3.93,3.93,148777
1994-01-19,4,4,3.92,3.96,3.96,139650
1994-01-20,4,4,3.92,3.92,3.92,115919
1994-01-21,3.97,3.97,3.92,3.96,3.96,283864
1994-01-24,4,4,3.9,3.9,3.9,234576
1994-01-25,3.89,3.94,3.86,3.89,3.89,249180
1994-01-26,3.88,3.92,3.86,3.86,3.86,412566
1994-01-27,3.92,3.92,3.86,3.86,3.86,40160
1994-01-28,3.92,3.94,3.86,3.89,3.89,254656
1994-01-31,3.83,3.89,3.81,3.81,3.81,491974
1994-02-01,3.83,3.89,3.83,3.89,3.89,253744
1994-02-02,3.86,3.94,3.86,3.89,3.89,444511
1994-02-03,3.89,3.94,3.89,3.89,3.89,299381
1994-02-04,3.89,3.94,3.72,3.72,3.72,315814
1994-02-07,3.71,3.75,3.7,3.75,3.75,327680
1994-02-08,3.75,3.78,3.7,3.7,3.7,61153
1994-02-09,3.78,3.82,3.72,3.82,3.82,186200
1994-02-10,3.83,3.83,3.78,3.83,3.83,75757
1994-02-11,3.83,3.83,3.78,3.83,3.83,163381
1994-02-14,3.89,3.92,3.81,3.92,3.92,178898
1994-02-15,3.92,3.94,3.86,3.94,3.94,42898
1994-02-16,3.86,3.94,3.86,3.86,3.86,235489
1994-02-17,3.86,3.94,3.86,3.86,3.86,73019
1994-02-18,3.86,3.94,3.86,3.86,3.86,29207
1994-02-22,3.86,3.94,3.86,3.86,3.86,117744
1994-02-23,3.86,3.94,3.86,3.88,3.88,68455
1994-02-24,3.92,3.93,3.83,3.86,3.86,453639
1994-02-25,3.86,3.94,3.86,3.86,3.86,90361
1994-02-28,3.86,3.94,3.86,3.94,3.94,146952
1994-03-01,3.86,3.94,3.83,3.89,3.89,318552
1994-03-02,3.83,3.89,3.83,3.83,3.83,94925
1994-03-03,3.83,3.92,3.83,3.92,3.92,301206
1994-03-04,3.86,3.94,3.86,3.92,3.92,708299
1994-03-07,3.89,3.94,3.89,3.92,3.92,244616
1994-03-08,3.94,4,3.94,3.94,3.94,538525
1994-03-09,4,4,3.94,4,4,94012
1994-03-10,3.94,3.97,3.92,3.97,3.97,287515
1994-03-11,3.94,3.97,3.92,3.97,3.97,570471
1994-03-14,3.97,3.97,3.92,3.97,3.97,427169
1994-03-15,3.97,3.97,3.92,3.92,3.92,345022
1994-03-16,3.97,3.97,3.92,3.97,3.97,525746
1994-03-17,3.97,3.97,3.94,3.94,3.94,966610
1994-03-18,3.94,3.97,3.94,3.97,3.97,391571
1994-03-21,3.94,3.97,3.92,3.92,3.92,1464062
1994-03-22,3.92,3.97,3.92,3.94,3.94,182549
1994-03-23,4,4.05,3.97,4.05,4.05,286602
1994-03-24,4.05,4.05,4,4.05,4.05,114093
1994-03-25,3.97,4.05,3.97,4.05,4.05,47462
1994-03-28,4.05,4.05,4,4,4,135999
1994-03-29,4,4.05,4,4,4,73932
1994-03-30,4,4.05,4,4.05,4.05,1536173
1994-03-31,4,4.05,4,4,4,824219
1994-04-04,3.97,4.05,3.97,4.03,4.03,434471
1994-04-05,4.04,4.05,4,4.03,4.03,181636
1994-04-06,4.05,4.05,4,4.04,4.04,211757
1994-04-07,4,4.08,4,4.08,4.08,358713
1994-04-08,4.05,4.11,4.03,4.05,4.05,200804
1994-04-11,4.03,4.19,4.03,4.16,4.16,974825
1994-04-12,4.22,4.25,4.16,4.23,4.23,1057886
1994-04-13,4.27,4.27,4.19,4.19,4.19,1060624
1994-04-14,4.19,4.29,4.19,4.22,4.22,954745
1994-04-15,4.25,4.35,4.25,4.27,4.27,1131819
1994-04-18,4.33,4.33,4.22,4.27,4.27,1083442
1994-04-19,4.27,4.3,4.22,4.22,4.22,582336
1994-04-20,4.22,4.3,4.22,4.27,4.27,227274
1994-04-21,4.3,4.3,4.25,4.25,4.25,261045
1994-04-22,4.25,4.3,4.22,4.25,4.25,2900746
1994-04-25,4.3,4.3,4.25,4.3,4.3,805963
1994-04-26,4.25,4.3,4.25,4.25,4.25,274737
1994-04-28,4.27,4.27,4.25,4.27,4.27,409827
1994-04-29,4.27,4.3,4.25,4.29,4.29,771279
1994-05-02,4.3,4.3,4.25,4.25,4.25,543088
1994-05-03,4.25,4.33,4.25,4.27,4.27,598766
1994-05-04,4.33,4.33,4.27,4.33,4.33,132348
1994-05-05,4.33,4.33,4.27,4.27,4.27,235489
1994-05-06,4.25,4.26,4.25,4.25,4.25,177072
1994-05-09,4.26,4.26,4.25,4.26,4.26,23731
1994-05-10,4.25,4.25,4.18,4.18,4.18,462766
1994-05-11,4.19,4.19,4.14,4.16,4.16,229100
1994-05-12,4.16,4.16,4.15,4.16,4.16,349585
1994-05-13,4.15,4.18,4.15,4.16,4.16,169770
1994-05-16,4.18,4.18,4.12,4.12,4.12,159730
1994-05-17,4.14,4.14,4.11,4.12,4.12,335894
1994-05-18,4.11,4.16,4.11,4.15,4.15,626152
1994-05-19,4.15,4.16,4.14,4.16,4.16,107704
1994-05-20,4.19,4.19,4.15,4.16,4.16,217234
1994-05-23,4.16,4.19,4.15,4.18,4.18,509317
1994-05-24,4.19,4.22,4.19,4.19,4.19,633454
1994-05-25,4.19,4.19,4.14,4.15,4.15,227274
1994-05-26,4.16,4.18,4.15,4.16,4.16,500189
1994-05-27,4.16,4.16,4.14,4.15,4.15,330418
1994-05-31,4.15,4.15,4.09,4.09,4.09,161556
1994-06-01,4.11,4.16,4.11,4.14,4.14,469155
1994-06-02,4.15,4.15,4.14,4.15,4.15,408002
1994-06-03,4.15,4.16,4.14,4.15,4.15,734769
1994-06-06,4.15,4.16,4.14,4.16,4.16,242791
1994-06-07,4.19,4.19,4.15,4.15,4.15,167945
