Date,Open,High,Low,Close,Adj Close,Volume
2003-09-10,78.5,78.9,77.35,77.82,77.82,1998300
2003-09-11,78.28,79.15,78.05,78.29,78.29,2071700
2003-09-12,78.29,78.78,77.35,78.53,78.53,1683100
2003-09-15,78.5,78.74,78.06,78.2,78.2,1399400
2003-09-16,78.4,80.06,78.4,79.84,79.84,1872000
2003-09-17,79.4,80.16,78.97,79.26,79.26,1161300
2003-09-18,79.26,79.72,78.9,79.44,79.44,1277300
2003-09-19,79.44,80.31,79.09,79.15,79.15,2393700
2003-09-22,78.5,79.16,78.12,78.43,78.43,1561500
2003-09-23,78.44,79.49,78.01,79.26,79.26,1815200
2003-09-24,79.1,79.54,78.12,78.24,78.24,2430000
2003-09-25,78.24,78.95,77.86,78.2,78.2,2850400
2003-09-26,78.17,78.35,77.42,78.01,78.01,2081800
2003-09-29,78.5,79.5,78.23,79.26,79.26,2229000
2003-09-30,79.06,79.2,76.76,77.28,77.28,3107800
2003-10-01,78,80.06,77.51,79.88,79.88,2766000
2003-10-02,79.65,81.11,79.43,80.45,80.45,2652100
2003-10-03,80.45,82.79,80.45,81.8,81.8,2561600
2003-10-06,81.8,82.2,81.28,81.39,81.39,1377100
2003-10-07,81.39,82.09,81,81.77,81.77,1699500
2003-10-08,81.43,82.41,81.31,82,82,1412500
2003-10-09,83.45,84.17,82.15,82.6,82.6,2465600
2003-10-10,82.6,82.95,82,82.13,82.13,1302000
2003-10-13,82.5,83.29,82.5,83.21,83.21,1301800
2003-10-14,83.75,84.45,83.1,84.26,84.26,1465300
2003-10-15,84.26,84.28,83,83.7,83.7,2235300
2003-10-16,83.7,85,83.65,84.4,84.4,2543500
2003-10-17,84.4,84.4,83.15,83.74,83.74,1766200
2003-10-20,84.5,84.88,83.71,84.3,84.3,1696500
2003-10-21,84.35,84.4,83.69,83.88,83.88,1492400
2003-10-22,83.35,83.66,82.3,82.89,82.89,1620100
2003-10-23,82.89,83.79,82.21,82.97,82.97,1554900
2003-10-24,82.55,83.22,82.2,83.17,83.17,1671700
2003-10-27,83.35,84,83.18,83.97,83.97,1485100
2003-10-28,83.94,84.2,83.25,84.09,84.09,1929400
2003-10-29,84.36,84.9,84,84.5716,84.5716,1743600
2003-10-30,84.78,85.96,84.62,85.75,85.75,1997500
2003-10-31,85.75,85.99,84.58,84.69,84.69,1478100
2003-11-03,85.25,86.22,85.24,85.8,85.8,1513661
2003-11-04,85.68,86.31,85.05,86.02,86.02,1499982
2003-11-05,86.1,86.98,86.03,86.4,86.4,1945000
2003-11-06,86.27,87.8,86.26,87.33,87.33,2084000
2003-11-07,87.5,87.95,86.54,86.68,86.68,2069900
2003-11-10,86.75,86.98,84.88,85.43,85.43,1420100
2003-11-11,85.43,85.44,84.45,85.26,85.26,1274800
2003-11-12,85.05,86.43,84.66,86.2,86.2,1809900
2003-11-13,85.55,86.81,85.13,86.45,86.45,1397800
2003-11-14,86.3,87,85.6,85.9,85.9,1394700
2003-11-17,85.9,85.9,84.19,84.99,84.99,1281100
2003-11-18,85.2,85.35,83.24,83.24,83.24,2179800
2003-11-19,82.6,83.63,82.59,83.09,83.09,2714200
2003-11-20,83.09,84.17,82.58,83.3,83.3,2330800
2003-11-21,83.55,84.06,83.15,83.9,83.9,2095500
2003-11-24,84.4,85.13,84.3,85.1,85.1,1969600
2003-11-25,84.85,85.75,84.58,85.41,85.41,1693600
2003-11-26,85.59,86.5,85.09,86.32,86.32,1829300
2003-11-28,86.32,86.65,85.69,85.7,85.7,753300
2003-12-01,86.6,87.85,86.4,87.39,87.39,1989500
2003-12-02,87.19,88.1,87.02,87.56,87.56,1937200
2003-12-03,87.7,88.33,87.26,87.27,87.27,1861300
2003-12-04,87.35,88.09,87.3,87.95,87.95,1424600
2003-12-05,87.97,87.97,87.43,87.73,87.73,1670000
2003-12-08,87.6,88.85,87.53,88.55,88.55,1717700
2003-12-09,88.95,89.8,88.34,88.49,88.49,2163300
2003-12-10,88.49,88.9,88.01,88.27,88.27,1754800
2003-12-11,88.12,89.6,88.11,89.27,89.27,1695800
2003-12-12,89.95,92.14,89.81,91.6,91.6,3739100
2003-12-15,92.38,92.99,91.55,91.55,91.55,2904500
2003-12-16,91.7,93.96,91.55,93.52,93.52,2840000
2003-12-17,93.53,93.59,92.88,93.12,93.12,1650800
2003-12-18,93.3,94,92.5,93.83,93.83,1982200
2003-12-19,94.6,94.98,93.52,94.1,94.1,3294200
2003-12-22,94,95.05,93.6,95.05,95.05,2199100
2003-12-23,96.2,96.75,94.55,94.98,94.98,1734800
2003-12-24,94.98,95.1,94.01,94.06,94.06,815300
2003-12-26,94.4,95.04,94.27,94.66,94.66,368700
