Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,4.23,4.31,4.23,4.25,4.25,15979815
1994-01-04,4.25,4.31,4.23,4.29,4.29,13207813
1994-01-05,4.29,4.29,4.17,4.25,4.25,18868218
1994-01-06,4.23,4.23,4.04,4.1,4.1,32613032
1994-01-07,4.04,4.1,4.02,4.06,4.06,23872223
1994-01-10,4.1,4.15,4.06,4.15,4.15,14189414
1994-01-11,4.15,4.29,4.12,4.25,4.25,20305220
1994-01-12,4.29,4.29,4.21,4.25,4.25,15369015
1994-01-13,4.23,4.25,4.17,4.25,4.25,12619212
1994-01-14,4.25,4.29,4.19,4.27,4.27,14631614
1994-01-17,4.25,4.27,4.19,4.21,4.21,10939210
1994-01-18,4.23,4.23,4.17,4.17,4.17,11317211
1994-01-19,4.17,4.23,4.15,4.23,4.23,15869415
1994-01-20,4.23,4.27,4.19,4.23,4.23,10621210
1994-01-21,4.23,4.23,4.17,4.21,4.21,19104019
1994-01-24,4.21,4.21,4.1,4.15,4.15,9862209
1994-01-25,4.17,4.21,4.12,4.12,4.12,9739209
1994-01-26,4.15,4.23,4.15,4.23,4.23,10932010
1994-01-27,4.25,4.33,4.19,4.33,4.33,19667419
1994-01-28,4.4,4.44,4.25,4.42,4.42,20062200
1994-01-31,4.46,4.5,4.4,4.42,4.42,16638016
1994-02-01,4.52,4.58,4.46,4.5,4.5,23844023
1994-02-02,4.52,4.67,4.5,4.62,4.62,25055413
1994-02-03,4.67,4.69,4.54,4.69,4.69,31519225
1994-02-04,4.67,4.67,4.52,4.56,4.56,21166821
1994-02-07,4.5,4.56,4.46,4.5,4.5,15587415
1994-02-08,4.52,4.52,4.44,4.46,4.46,10878610
1994-02-09,4.46,4.54,4.46,4.5,4.5,11910611
1994-02-10,4.54,4.58,4.46,4.48,4.48,12013212
1994-02-11,4.48,4.58,4.46,4.52,4.52,8833808
1994-02-14,4.5,4.58,4.48,4.54,4.54,8479208
1994-02-15,4.56,4.58,4.5,4.52,4.52,9394209
1994-02-16,4.56,4.58,4.52,4.56,4.56,8367608
1994-02-17,4.58,4.62,4.52,4.62,4.62,12406212
1994-02-18,4.62,4.69,4.58,4.62,4.62,18782418
1994-02-22,4.62,4.73,4.6,4.71,4.71,14682614
1994-02-23,4.75,4.85,4.69,4.83,4.83,33683421
1994-02-24,4.79,4.83,4.69,4.69,4.69,18864618
1994-02-25,4.75,4.79,4.69,4.73,4.73,10914010
1994-02-28,4.77,4.79,4.73,4.73,4.73,8991608
1994-03-01,4.73,4.75,4.62,4.67,4.67,11906411
1994-03-02,4.56,4.67,4.56,4.6,4.6,16240816
1994-03-03,4.69,4.69,4.62,4.62,4.62,13534213
1994-03-04,4.65,4.71,4.6,4.67,4.67,12344412
1994-03-07,4.71,4.77,4.69,4.73,4.73,12591612
1994-03-08,4.73,4.81,4.71,4.77,4.77,12100212
1994-03-09,4.77,4.87,4.77,4.85,4.85,17787017
1994-03-10,4.85,4.85,4.73,4.73,4.73,12431412
1994-03-11,4.75,4.77,4.69,4.71,4.71,8898008
1994-03-14,4.71,4.73,4.67,4.67,4.67,9227409
1994-03-15,4.65,4.69,4.6,4.62,4.62,10774210
1994-03-16,4.58,4.6,4.5,4.58,4.58,13745413
1994-03-17,4.56,4.58,4.5,4.54,4.54,13906213
1994-03-18,4.52,4.54,4.44,4.46,4.46,47656853
1994-03-21,4.46,4.5,4.44,4.46,4.46,7723207
1994-03-22,4.5,4.67,4.48,4.6,4.6,14644814
1994-03-23,4.6,4.69,4.54,4.56,4.56,17239217
1994-03-24,4.52,4.62,4.5,4.56,4.56,13926613
1994-03-25,4.54,4.67,4.52,4.54,4.54,10206610
1994-03-28,4.54,4.54,4.46,4.52,4.52,9288009
1994-03-29,4.5,4.54,4.44,4.44,4.44,8673608
1994-03-30,4.46,4.48,4.33,4.33,4.33,17275817
1994-03-31,4.33,4.35,4.06,4.31,4.31,22195222
1994-04-04,4.19,4.25,4.12,4.23,4.23,21169221
1994-04-05,4.23,4.37,4.23,4.37,4.37,27042027
1994-04-06,4.37,4.4,4.29,4.31,4.31,16272016
1994-04-07,4.44,4.5,4.37,4.44,4.44,28196416
1994-04-08,4.44,4.44,4.27,4.29,4.29,13202413
1994-04-11,4.31,4.33,4.25,4.29,4.29,10915810
1994-04-12,4.29,4.33,4.25,4.29,4.29,10390810
1994-04-13,4.29,4.31,4.17,4.23,4.23,11779211
1994-04-14,4.21,4.23,4.12,4.15,4.15,12463812
1994-04-15,4.17,4.21,4.08,4.1,4.1,22089622
1994-04-18,4.1,4.12,4.02,4.06,4.06,14067014
1994-04-19,4.04,4.1,4,4,4,16689016
1994-04-20,4.02,4.02,3.92,4,4,23707223
1994-04-21,4.02,4.29,4.02,4.27,4.27,19576219
1994-04-22,4.29,4.31,4.17,4.23,4.23,12781812
1994-04-25,4.19,4.27,4.17,4.23,4.23,8381408
1994-04-26,4.21,4.27,4.19,4.23,4.23,10371610
1994-04-28,4.25,4.29,4.21,4.29,4.29,14341814
1994-04-29,4.27,4.27,4.19,4.21,4.21,9910209
1994-05-02,4.21,4.27,4.17,4.21,4.21,12043212
1994-05-03,4.19,4.21,4.12,4.17,4.17,11507411
1994-05-04,4.15,4.17,4.12,4.17,4.17,11623811
1994-05-05,4.19,4.27,4.19,4.21,4.21,11088611
