Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,15.81,16,15.78,15.94,15.94,6504400
1994-01-04,15.91,16.09,15.91,16.06,16.06,4686800
1994-01-05,16.09,16.19,16.06,16.16,16.16,6709200
1994-01-06,16.22,16.22,16.06,16.06,16.06,5274800
1994-01-07,16.09,16.09,15.88,15.94,15.94,4224800
1994-01-10,15.94,16.16,15.91,16.16,16.16,4465200
1994-01-11,16.13,16.22,16.06,16.13,16.13,5502800
1994-01-12,16.19,16.22,16.16,16.22,16.22,4238400
1994-01-13,16.25,16.47,16.25,16.41,16.41,7874000
1994-01-14,16.38,16.44,16.13,16.19,16.19,6687600
1994-01-17,16.16,16.31,16.16,16.25,16.25,2997600
1994-01-18,16.31,16.38,16.22,16.22,16.22,3915600
1994-01-19,16.28,16.38,16.28,16.38,16.38,3476400
1994-01-20,16.38,16.59,16.38,16.59,16.59,4532400
1994-01-21,16.47,16.59,16.47,16.53,16.53,7774000
1994-01-24,16.5,16.59,16.44,16.53,16.53,3566000
1994-01-25,16.5,16.66,16.47,16.56,16.56,4605200
1994-01-26,16.59,16.69,16.47,16.53,16.53,4388800
1994-01-27,16.56,16.59,16.41,16.41,16.41,4576800
1994-01-28,16.53,16.53,16.38,16.44,16.44,4446000
1994-01-31,16.47,16.63,16.41,16.63,16.63,4042400
1994-02-01,16.63,16.63,16.47,16.56,16.56,4310400
1994-02-02,16.63,16.81,16.63,16.78,16.78,4766800
1994-02-03,16.81,16.84,16.66,16.75,16.75,6344000
1994-02-04,16.53,16.59,16.38,16.38,16.38,3924000
1994-02-07,16.34,16.59,16.28,16.34,16.34,4317600
1994-02-08,16.41,16.41,16.28,16.34,16.34,2760400
1994-02-09,16.28,16.53,16.28,16.5,16.5,3877200
1994-02-10,16.47,16.53,16.44,16.47,16.47,4056800
1994-02-11,16.47,16.66,16.47,16.63,16.63,3193200
1994-02-14,16.56,16.69,16.5,16.56,16.56,3799200
1994-02-15,16.59,16.72,16.56,16.66,16.66,4579600
1994-02-16,16.69,16.78,16.66,16.69,16.69,3784800
1994-02-17,16.72,16.81,16.59,16.69,16.69,4660800
1994-02-18,16.69,16.75,16.53,16.53,16.53,5896400
1994-02-22,16.59,16.66,16.56,16.66,16.66,2774400
1994-02-23,16.63,16.69,16.56,16.63,16.63,3095600
1994-02-24,16.56,16.59,16.31,16.31,16.31,3857200
1994-02-25,16.34,16.38,16.28,16.38,16.38,4866800
1994-02-28,16.34,16.41,16.22,16.22,16.22,3781600
1994-03-01,16.16,16.22,16.09,16.22,16.22,4125600
1994-03-02,16.16,16.5,16.13,16.47,16.47,5707600
1994-03-03,16.5,16.59,16.44,16.53,16.53,4846800
1994-03-04,16.5,16.5,16.28,16.31,16.31,2743200
1994-03-07,16.28,16.34,16.22,16.31,16.31,3142400
1994-03-08,16.34,16.44,16.31,16.34,16.34,3317200
1994-03-09,16.34,16.41,16.28,16.38,16.38,3190000
1994-03-10,16.38,16.38,16.16,16.22,16.22,3243200
1994-03-11,16.19,16.31,16.09,16.31,16.31,4704000
1994-03-14,16.28,16.31,16.22,16.31,16.31,2412800
1994-03-15,16.25,16.28,16.16,16.19,16.19,3816400
1994-03-16,16.16,16.31,16.06,16.22,16.22,4597200
1994-03-17,16.25,16.44,16.19,16.41,16.41,5810000
1994-03-18,16.41,16.5,16.34,16.47,16.47,15222400
1994-03-21,16.44,16.47,16.34,16.38,16.38,3170400
1994-03-22,16.38,16.53,16.34,16.41,16.41,2990400
1994-03-23,16.41,16.44,16.34,16.34,16.34,2469600
1994-03-24,16.38,16.5,16.28,16.38,16.38,4818000
1994-03-25,16.31,16.5,16.28,16.38,16.38,3607600
1994-03-28,16.28,16.34,16.16,16.25,16.25,4301200
1994-03-29,16.19,16.34,16.09,16.25,16.25,4134400
1994-03-30,16.13,16.25,15.88,15.88,15.88,5869600
1994-03-31,15.91,15.94,15.38,15.72,15.72,7746800
1994-04-04,15.41,15.53,15.09,15.25,15.25,9793200
1994-04-05,15.38,15.38,15.19,15.28,15.28,12052400
1994-04-06,15.28,15.38,15.19,15.28,15.28,8064800
1994-04-07,15.28,15.38,15.16,15.31,15.31,6170400
1994-04-08,15.31,15.44,15.19,15.25,15.25,7733600
1994-04-11,15.25,15.41,15.19,15.41,15.41,3884800
1994-04-12,15.41,15.47,15.38,15.41,15.41,3665200
1994-04-13,15.44,15.44,15.22,15.44,15.44,3455600
1994-04-14,15.44,15.72,15.41,15.72,15.72,5934400
1994-04-15,15.63,15.84,15.56,15.75,15.75,7315600
1994-04-18,15.75,15.88,15.44,15.56,15.56,4478800
1994-04-19,15.63,15.84,15.59,15.78,15.78,4003600
1994-04-20,15.69,15.78,15.63,15.75,15.75,4651200
1994-04-21,15.78,15.84,15.63,15.63,15.63,3487200
1994-04-22,15.66,15.81,15.53,15.78,15.78,4935200
1994-04-25,15.69,15.91,15.63,15.91,15.91,4089200
1994-04-26,15.84,15.88,15.69,15.72,15.72,3683200
1994-04-28,15.75,15.75,15.44,15.47,15.47,4846400
1994-04-29,15.44,15.75,15.44,15.72,15.72,5345600
1994-05-02,15.72,15.72,15.38,15.38,15.38,3930000
1994-05-03,15.41,15.44,15.19,15.31,15.31,4805200
1994-05-04,15.28,15.28,15.16,15.16,15.16,3971200
1994-05-05,15.19,15.25,15.09,15.19,15.19,5820400
1994-05-06,15.25,15.69,15.25,15.69,15.69,8401200
1994-05-09,15.44,15.59,15.28,15.34,15.34,2954800
1994-05-10,15.38,15.59,15.31,15.53,15.53,4014400
1994-05-11,15.53,15.56,15.22,15.34,15.34,2670400
1994-05-12,15.34,15.53,15.28,15.5,15.5,3447200
1994-05-13,15.5,15.63,15.34,15.5,15.5,3215200
1994-05-16,15.5,15.5,15.34,15.38,15.38,2912400
1994-05-17,15.41,15.5,15.31,15.47,15.47,3261200
1994-05-18,15.5,15.5,15.38,15.44,15.44,3508400
1994-05-19,15.41,15.66,15.41,15.56,15.56,3360800
1994-05-20,15.56,15.59,15.41,15.53,15.53,9628400
1994-05-23,15.44,15.47,15.28,15.44,15.44,5121600
1994-05-24,15.44,15.44,15.34,15.34,15.34,2922800
1994-05-25,15.34,15.41,15.28,15.38,15.38,3627200
1994-05-26,15.41,15.44,15.31,15.34,15.34,2707200
1994-05-27,15.31,15.38,15.28,15.31,15.31,2031600
1994-05-31,15.28,15.34,15.25,15.28,15.28,2644000
1994-06-01,15.25,15.25,15.09,15.19,15.19,3550000
1994-06-02,15.19,15.22,15.13,15.22,15.22,4206800
1994-06-03,15.19,15.38,15.13,15.34,15.34,4008400
1994-06-06,15.44,15.47,15.25,15.28,15.28,3757600
1994-06-07,15.19,15.44,15.19,15.41,15.41,3900400
1994-06-08,15.41,15.41,15.31,15.34,15.34,3442800
