year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,9156009000,2144207000,1516683000,8523724000,4049400000,287091000,2212137000,0,0.93
1995,10012194000,2382904000,1688700000,9412580000,4396847000,435198000,1965581000,0,1.06
1996,11013460000,2617061000,1882000000,11125600000,4820182000,932898000,2382062000,-949000000,1.21
1997,11883462000,2850426000,2079100000,12061068000,4998677000,937983000,2628767000,-1209600000,1.35
1998,12477845000,3117923000,2334400000,13216213000,5713661000,1339694000,2732901000,-1242700000,1.52
1999,13177625000,3149375000,2445800000,14471044000,7427595000,1336789000,2937521000,-987098000,1.59
2000,13745916000,3400575000,2785977000,15283254000,8570906000,1076368000,3099618000,-1035873000,1.8
2001,16285246000,1894032000,1550390000,23296423000,9059432000,4335493000,3566848000,-1163707000,1
2002,17684663000,3151944000,2793703000,24259102000,10664553000,4273973000,4182944000,-1296397000,1.79
2003,19680561000,2974012000,2753233000,26715342000,13072258000,3452329000,3746448000,-1246741000,1.76
2004,19680016000,4177326000,3235851000,28767494000,14325783000,4787934000,4407943000,-1291633000,2.07
2005,22337808000,4649399000,3372065000,29141203000,14415271000,4571504000,5174416000,-1207493000,2.17
2006,22476322000,4336219000,1716755000,36178172000,14054186000,7009664000,5329241000,-1337818000,1.12
