year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,936300000,27900000,12700000,343500000,150500000,80000000,30500000,-16600000,0.0659
1995,1054800000,36900000,16900000,359200000,165400000,74300000,13400000,-15100000,0.43
1996,1143700000,49200000,23300000,404100000,189300000,62900000,36400000,-23500000,0.56
1997,1160300000,50700000,27100000,394100000,207600000,51400000,41800000,-21600000,0.65
1998,1491400000,58500000,30100000,606100000,294500000,90000000,1200000,-66800000,0.62
1999,1555424000,42400000,19900000,574300000,293600000,126000000,83100000,-26100000,0.41
2000,1601084000,57717000,31048000,594667000,299331000,112168000,76444000,-9510000,0.68
2001,1625755000,55001000,28048000,578854000,311518000,113494000,37217000,-11731000,0.64
2002,1446569000,30834000,2655000,534566000,298147000,83478000,68948000,-10050000,0.0622
2003,1464367000,36254000,19832000,553404000,307856000,78558000,67291000,-12794000,0.47
2004,1517004000,51448000,31471000,596841000,339535000,77767000,43088000,-14387000,0.48
2005,1717055000,87968000,55339000,690170000,393287000,76977000,81034000,-9208000,0.83
2006,1900780000,115592000,72299000,730671000,414822000,76186000,69853000,-11057000,1.62
