year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,21464000000,18207000000,484000000,61369000000,8426000000,869000000,2070000000,-132000000,0.54
1995,23008000000,20793000000,1904000000,70029000000,12680000000,1228000000,2728000000,-106000000,2.13
1996,24299000000,2669000000,2075000000,74508000000,13452000000,1234000000,3036000000,-126000000,2.33
1997,24949000000,4434000000,3105000000,80918000000,15610000000,1497000000,3342000000,-150000000,3.58
1998,25879000000,4745000000,3294000000,87691000000,17240000000,1353000000,2891000000,-188000000,3.96
1999,26959000000,3907000000,2720000000,98119000000,16601000000,2186000000,2267000000,-212000000,3.4
2000,29134000000,3047000000,2211000000,104808000000,17451000000,3112000000,1731000000,-300000000,2.97
2001,28865000000,1348000000,1158000000,109175000000,17196000000,3694000000,2291000000,-186000000,1.61
2002,29579000000,1540000000,1134000000,117426000000,17438000000,3961000000,4423000000,-239000000,1.6
2003,32149000000,3571000000,2705000000,134142000000,20565000000,5073000000,5691000000,-169000000,3.85
2004,33936000000,4586000000,3181000000,149725000000,21823000000,5291000000,5468000000,-200000000,4.57
2005,35383000000,2088000000,1765000000,156072000000,20186000000,4887000000,5605000000,-196000000,2.67
2006,35796000000,7178000000,4993000000,157554000000,21846000000,4650000000,5055000000,-161000000,7.89
