year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,1620000000,698500000,319700000,1994100000,1274300000,183400000,531900000,-130800000,0.29
1995,1903800000,760800000,537700000,2432800000,1671800000,177200000,773200000,-162700000,0.48
1996,2198100000,916000000,679800000,2765600000,1906300000,59000000,822600000,-266900000,0.61
1997,2345700000,930300000,644300000,3110200000,2139300000,229000000,902900000,-387800000,0.61
1998,2642300000,1118400000,863200000,3672200000,2562200000,223000000,1041500000,-407800000,0.85
1999,3204200000,1325000000,1096400000,4077600000,3023500000,223000000,1075300000,-304200000,1.07
2000,3448400000,1368100000,1138500000,5399600000,4314500000,223000000,1634600000,-437700000,1.11
2001,4015700000,1531200000,1119700000,6443100000,5217200000,223000000,1480200000,-441800000,1.07
2002,5523000000,-785000000,-1391900000,24456300000,18286000000,3048000000,2248800000,-658500000,-1.21
2003,8356000000,3091000000,2259500000,26176500000,19389000000,3080000000,3566600000,-1356800000,1.75
2004,10550000000,3348000000,2363000000,29221000000,19705000000,3937000000,3697000000,-1336000000,1.86
2005,12430000000,4848000000,3674000000,29297000000,20451000000,3957000000,4911000000,-867000000,2.97
2006,14268000000,3840000000,2950000000,33788000000,18964000000,7134000000,5389000000,-1218000000,2.51
