year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,14282000000,1891000000,1413000000,97006000000,6433000000,7162000000,1814000000,-333000000,0.92
1995,15841000000,2183000000,1564000000,107405000000,8220000000,7570000000,3054000000,-347000000,1.04
1996,16237000000,2664000000,1901000000,108512000000,8528000000,6552000000,4939000000,-438000000,1.3
1997,17760000000,2750000000,1991000000,120003000000,9574000000,7873000000,5170000000,-343000000,1.43
1998,19132000000,2925000000,2141000000,126933000000,10198000000,7019000000,4413000000,-862000000,1.57
1999,21278000000,3438000000,2475000000,148517000000,10095000000,6495000000,7385000000,-819000000,1.85
2000,23675000000,3908000000,2810000000,154423000000,11684000000,5211000000,6353000000,-919000000,2.12
2001,22582000000,1596000000,1311000000,151100000000,12037000000,8288000000,5324000000,-859000000,0.99
2002,23807000000,3727000000,2671000000,157253000000,13861000000,16819000000,8674000000,-670000000,2.02
2003,25866000000,4247000000,2987000000,175001000000,15323000000,20654000000,2538000000,-1021000000,2.33
2004,22571000000,3831000000,3445000000,194216000000,16020000000,32676000000,9143000000,-740000000,2.74
2005,24404000000,4393000000,3671000000,113960000000,10549000000,30688000000,8045000000,-608000000,3.03
2006,27692000000,5073000000,3707000000,128329000000,10511000000,42655000000,9005000000,-861000000,3.06
