year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,21924000000,1151000000,856000000,21463000000,9700000000,2603000000,1077000000,-795000000,1.25
1995,19515000000,302000000,393000000,22098000000,9898000000,2344000000,1066000000,-629000000,0.57
1996,22681000000,1354000000,1095000000,27254000000,10941000000,3980000000,2223000000,-762000000,1.88
1997,45800000000,-355000000,-178000000,38024000000,12953000000,6123000000,2100000000,-1391000000,-0.18
1998,56154000000,1567000000,1120000000,36672000000,12316000000,6103000000,2367000000,-1584000000,1.16
1999,57993000000,3170000000,2309000000,36147000000,11462000000,5980000000,6224000000,-1236000000,2.52
2000,51321000000,3058000000,2128000000,42028000000,11020000000,7567000000,5942000000,-932000000,2.48
2001,58198000000,3896000000,2827000000,48343000000,10825000000,10866000000,3814000000,-1068000000,3.46
2002,54069000000,3868000000,492000000,52342000000,7696000000,12589000000,4375000000,-1001000000,0.62
2003,50485000000,449000000,718000000,53035000000,8139000000,13299000000,3881000000,-741000000,0.9
2004,52457000000,2246000000,1830000000,53963000000,11286000000,10879000000,3458000000,-978000000,2.33
2005,53621000000,2563000000,2562000000,60058000000,11059000000,9538000000,7000000000,-1547000000,3.27
2006,61530000000,3641000000,2206000000,51794000000,4739000000,8157000000,7499000000,-1681000000,2.89
