year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,13125000000,2555000000,1690000000,169604000000,11011000000,11007000000,9118000000,-327000000,1.53
1995,16309000000,2991000000,1950000000,187298000000,12801000000,17775000000,-4933000000,-307000000,1.78
1996,43387000000,9311000000,5813000000,185794000000,13709000000,22985000000,3880000000,-1183000000,2
1997,49360000000,10556000000,6542000000,570983000000,44584000000,42887000000,1425000000,-888000000,1.86
1998,51794000000,8048000000,5165000000,617679000000,45938000000,45888000000,13517000000,-437000000,1.49
1999,51632000000,12215000000,7882000000,632574000000,44432000000,60441000000,12065000000,-465000000,2.28
2000,57772000000,11788000000,7517000000,642191000000,52583000000,67547000000,5265000000,-642000000,2.28
2001,53116000000,10117000000,6792000000,621764000000,48520000000,68026000000,-12826000000,-835000000,2.13
2002,46362000000,12991000000,9249000000,660951000000,56350000000,61145000000,-12007000000,-939000000,3.04
2003,49006000000,15861000000,10810000000,736445000000,47980000000,75343000000,24313000000,-209000000,3.64
2004,64658000000,20908000000,13947000000,1110457000000,99645000000,98078000000,-3522000000,-863000000,3.71
2005,82852000000,24480000000,16465000000,1291803000000,101533000000,100848000000,-12223000000,-1228000000,4.1
2006,113578000000,31973000000,21133000000,1459737000000,135272000000,146515000000,14509000000,-748000000,4.66
