year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,18719000000,2149000000,1326000000,115297000000,8778000000,7075000000,518000000,0,6.44
1995,27267000000,3320000000,2291000000,114475000000,11878000000,9190000000,2367000000,0,9.2
1996,65101000000,11040000000,6739000000,345948000000,20736000000,24696000000,10395000000,-5756000000,12.65
1997,72306000000,10538000000,6705000000,697384000000,45126000000,58851000000,7753000000,-1533000000,29.68
1998,85925000000,10857000000,6950000000,668641000000,47168000000,48671000000,6739000000,-2135000000,13.5
1999,94396000000,17900000000,11243000000,795584000000,63210000000,107120000000,11223000000,-1750000000,22.3
2000,100031000000,19258000000,13519000000,902210000000,66206000000,134925000000,2673000000,-2249000000,26.9
2001,99160000000,20432000000,14126000000,1051450000000,81247000000,143560000000,26578000000,-1774000000,27.9
2002,92556000000,20446000000,15276000000,1097590000000,86718000000,133079000000,29885000000,-1377000000,29.9
2003,94713000000,26048000000,17853000000,1264032000000,98014000000,168759000000,-14854000000,-2354000000,34.9
2004,101639000000,22736000000,17046000000,1484101000000,109291000000,207910000000,-2109000000,-3011000000,33.2
2005,120318000000,29433000000,24589000000,1494037000000,112537000000,217499000000,31799000000,-3724000000,48.4
2006,142010000000,28489000000,21538000000,1884318000000,119783000000,288494000000,-165000000,-4035000000,43.9
