year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,14328000000,1644000000,955000000,16250000000,2911000000,4270000000,1757000000,-694000000,1.18
1995,16072000000,1974000000,1136000000,16830000000,3388000000,3964000000,2190000000,-679000000,1.43
1996,16522000000,2287000000,1361000000,18728000000,4116000000,4532000000,1782000000,-771000000,1.77
1997,18925000000,2791000000,1665000000,20756000000,4679000000,6942000000,2096000000,-1106000000,2.22
1998,20977000000,2742000000,1513000000,25128000000,5131000000,9404000000,1778000000,-1269000000,2.09
1999,19702000000,2054000000,946000000,26711000000,5465000000,9928000000,2590000000,-1280000000,1.33
2000,20175000000,2425000000,1053000000,28464000000,5600000000,11334000000,2059000000,-1388000000,1.52
2001,20450000000,1311000000,805000000,30657000000,5611000000,11291000000,1987000000,-1968000000,1.17
2002,20152000000,1324000000,798000000,32705000000,5472000000,11774000000,-3962000000,-1773000000,1.16
2003,22807000000,1670000000,1099000000,36711000000,6078000000,14546000000,-5611000000,-1765000000,1.59
2004,30306000000,2684000000,2035000000,43095000000,7467000000,15837000000,-3991000000,-2114000000,3.97
2005,36339000000,3784000000,2854000000,47553000000,8432000000,15677000000,3113000000,-2415000000,4.21
2006,41517000000,4921000000,3537000000,51449000000,6859000000,17680000000,5799000000,-2675000000,5.37
