year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,7587900000,1049400000,580200000,6142400000,1822900000,1751500000,829400000,-400800000,0.48
1995,8358200000,1125500000,172000000,7642300000,1679800000,2992000000,810200000,-431800000,0.13
1996,8749000000,1245800000,635000000,7901500000,2034100000,2786800000,917400000,-459000000,0.53
1997,9056700000,1358200000,740400000,7538700000,2178600000,2340300000,1097800000,-478500000,0.61
1998,8971600000,1484200000,848600000,7685200000,2085600000,2300600000,1178800000,-412200000,0.7
1999,9118200000,1639800000,937300000,7423100000,1833700000,2243300000,1292700000,-416900000,0.79
2000,9357900000,1720700000,1063800000,7252300000,1468100000,2536900000,1536200000,-366600000,0.91
2001,9427800000,1861300000,1146600000,6984800000,846400000,2812000000,1503900000,-340200000,1.01
2002,9294300000,2013100000,1288300000,7087200000,350300000,3210800000,1611200000,-343700000,1.17
2003,9903400000,2166000000,1421300000,7478800000,887100000,2684900000,1767700000,-302100000,1.3
2004,10584200000,2201500000,1327100000,8672900000,1506400000,3089500000,1754300000,-348100000,1.23
2005,11396900000,2370600000,1351400000,8507100000,1350100000,2918000000,1784400000,-389200000,1.27
2006,12237700000,2572400000,1353400000,9138000000,1410900000,2720400000,1821500000,-476400000,1.29
