year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,20015000000,2345000000,938000000,26545000000,10740000000,5303000000,2635000000,-1183000000,3.37
1995,20200000000,3830000000,2071000000,23582000000,9477000000,4705000000,3341000000,-1417000000,7.72
1996,20053000000,3009000000,1907000000,24673000000,10079000000,4196000000,3399000000,-1344000000,2.57
1997,20018000000,2613000000,1808000000,24040000000,8351000000,4196000000,3653000000,-1198000000,7.81
1998,19442000000,2081000000,1310000000,23830000000,8004000000,4051000000,2946000000,-1546000000,1.94
1999,19989000000,2106000000,1331000000,25499000000,9281000000,5022000000,2992000000,-1853000000,2
2000,23008000000,2147000000,1513000000,35991000000,12250000000,6613000000,1214000000,-1349000000,6.72
2001,27805000000,1168000000,-385000000,35515000000,10350000000,9266000000,1789000000,-1587000000,-1.29
2002,27609000000,1100000000,-338000000,39562000000,7992000000,11659000000,2108000000,-1623000000,-1.11
2003,32632000000,2019000000,1730000000,41891000000,9551000000,11763000000,3780000000,-1100000000,5.64
2004,40161000000,3391000000,2797000000,45885000000,12719000000,11629000000,2670000000,-1333000000,8.94
2005,46307000000,5444000000,4535000000,45934000000,15660000000,9186000000,4515000000,-1860000000,14.07
2006,49124000000,4777000000,3724000000,45581000000,17430000000,8036000000,4160000000,-1983000000,11.61
