year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,10055100000,1803500000,1110400000,12826300000,5508300000,2819300000,2807300000,-1026100000,0.23
1995,12151000000,2227000000,1380000000,14605800000,6650800000,2984300000,3510100000,-896500000,0.29
1996,18739000000,3024000000,1214000000,37306000000,16086000000,8038000000,4625000000,-1745000000,0.22
1997,22473000000,3945000000,1966000000,37776000000,17285000000,8205000000,7064000000,-1922000000,0.32
1998,22976000000,3915000000,1850000000,41378000000,19388000000,9562000000,5115000000,-2527000000,0.91
1999,23435000000,3124000000,1300000000,43679000000,20975000000,9278000000,5588000000,-2453000000,0.63
2000,25418000000,2525000000,920000000,45027000000,24456000000,6959000000,6434000000,-2104000000,0.58
2001,25172000000,2832000000,-158000000,43699000000,23054000000,8940000000,3048000000,-1795000000,-0.02
2002,25329000000,2384000000,1236000000,50045000000,23879000000,12467000000,2286000000,-1086000000,0.6
2003,27061000000,2713000000,1267000000,49988000000,24219000000,10643000000,2901000000,-1049000000,0.59
2004,30752000000,4048000000,2345000000,53902000000,26879000000,9395000000,4644000000,-1427000000,1.08
2005,31374000000,3931000000,2533000000,53158000000,27458000000,10157000000,4269000000,-1823000000,1.21
2006,33747000000,5355000000,3374000000,59998000000,33163000000,10843000000,6058000000,-1299000000,1.68
