year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,8607200000,1374600000,788500000,8215000000,4341800000,279900000,1096800000,-332300000,0.88
1995,10012900000,1599300000,907700000,9399000000,4870800000,208600000,1142400000,-420700000,1.01
1996,11149900000,1792900000,1018500000,10481000000,5353400000,772600000,1317300000,-513500000,1.14
1997,12298600000,1982100000,1121900000,11463300000,5420700000,570700000,1498600000,-575400000,1.26
1998,13447200000,2174900000,1228600000,12659800000,5803300000,1056600000,1651600000,-602600000,1.4
1999,14269500000,2305500000,1313600000,13623500000,6180500000,1317100000,1810500000,-591600000,1.52
2000,15544800000,2540900000,1422400000,15164300000,6402800000,2247700000,1839800000,-692000000,1.67
2001,15311000000,2273000000,1032000000,15046400000,6114000000,2255600000,1707700000,-554200000,1.22
2002,13748000000,1905000000,122000000,14545000000,5741000000,2990000000,1818000000,-384000000,0.14
2003,13958000000,1963000000,1089000000,15194000000,6460000000,3733000000,1731000000,-337000000,1.3
2004,15615000000,2264000000,1257000000,16361000000,7238000000,3136000000,2216000000,-400000000,1.5
2005,17305000000,2560000000,1422000000,17227000000,7400000000,3128000000,2187000000,-518000000,1.715
2006,19734000000,3006000000,1845000000,18672000000,8330000000,3128000000,2512000000,-601000000,2.26
