year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
1994,128439000000,15195000000,5308000000,219354000000,21659000000,130816000000,16629000000,-9470000000,3.16
1995,137137000000,13998000000,4139000000,243283000000,24547000000,146792000000,21171000000,-10456000000,2.28
1996,146991000000,14905000000,4446000000,262867000000,26762000000,156700000000,19257000000,-10410000000,2.37
1997,153627000000,20281000000,6920000000,279097000000,30734000000,167118000000,27634000000,-9675000000,3.66
1998,143350000000,14275000000,22071000000,237545000000,23409000000,131037000000,23100000000,-10407000000,18.17
1999,160658000000,15866000000,7237000000,276229000000,27537000000,150461000000,29811000000,-8535000000,5.99
2000,170058000000,17718000000,3467000000,284421000000,18610000000,165279000000,33764000000,-10455000000,2.34
2001,160504000000,3488000000,-5453000000,276543000000,8458000000,167035000000,22764000000,-8420000000,-3
2002,162258000000,8982000000,-980000000,289357000000,11260000000,162222000000,18633000000,-7278000000,0.47
2003,164338000000,8011000000,495000000,315920000000,12310000000,150231000000,20195000000,-7749000000,0.27
2004,172316000000,12549000000,3038000000,292654000000,16922000000,106540000000,24514000000,-9237000000,1.66
2005,176835000000,7327000000,1440000000,269476000000,14079000000,93163000000,21679000000,-7517000000,0.78
2006,160065000000,-7949000000,-12613000000,278554000000,-2306000000,109591000000,9611000000,-6848000000,-6.71
